頁碼 ,內容類型   ,內容
  25 ,Counsel    ,"Counsel: Maxwell M. Blecher, James Robert Noblin, Matthew E. Hess, Blecher & Collins, Los Angeles, California;
                  and James A. Hennefer, Hennefer & Wood, San Francisco, California, attorneys for the plaintiffs-appellants.
                  Brad D. Brian and Joseph D. Lee, Munger, Tolles & Olson LLP, Los Angeles, California; attorneys for defendant-
                  appellee General Electric Corporation.
                  Alfred C. Pfeiffer, Jr., Holly A. House, Tyler B. Theis, Brian C. Rocca, Rachel Sommovilla, Bingham McCutchen
                  LLP, San Francisco, California, Attorneys for defendant-appellee, IKON Office Solutions, Inc.
                  513 F.3d 1038, *1038; 2008 U.S. App. LEXIS 1257, **1; 86 U.S.P.Q.2D (BNA) 1150, ***1150"
  25 ,Judges     ,"Judges: Before: Andrew J. Kleinfeld and Sidney R. Thomas, Circuit Judges, and Timothy M. Burgess, * District
                  Judge."
  26 ,Opinion by ,Opinion by: Sidney R. Thomas
  38 ,Counsel    ,"Counsel:  [*1] For ROBERT L. PUGH, Individually on his own behalf and as Executor of the Estates of Bonnie
                  Barnes Pugh and Malcolm R. Pugh, ANNE CAREY, Individually on her own behalf and as Executrix of the Estate of
                  Harvey Mills Coverley, DEBORAH VAUGHN SCHOOLING, Individually on her own behalf and as Executrix of the
                  Estate of James E. Turlington, Sr., JANA ELIZABETH TURLINGTON, JIMMY BRUCE TURLINGTON,
                  CHRISTOPHER DARWYN TURLINGTON, DAVID ONLEY TURLINGTON, JAMES ELDEE TURLINGTON, JR.,
                  EDDIE DON TURLINGTON, JOYCE WRIGHT, Individually on her own behalf and as Executrix of the Estate of
                  Elvee Turlington, RUSSELL TURLINGTON, MARY KATHRYN HASSETT, Individually on her own behalf and as
                  Executrix of the Estate of Margaret Elizabeth Schutzius, WILLIAM CARL SCHUTZIUS, CATHERINE ALEXANDRIA
                  SCHUTZIUS, CHRISTOPHER MATTHEW SCHUTZIUS, JOHN BENEDICT SCHUTZIUS, ERMINE HAILEY,
                  Individually on her own behalf and as Executrix of the Estate of Patrick Wayne Huff, JAN PATILLO, Individually on
                  her own behalf and as Executrix of the Estate of James E. Huff and Janice Huff, MICHAEL HUFF, AMANDA HILL,
                  JARED HILL, JANET WARNER, Individually on her own behalf and as Executrix of the Estate of Donald J. Warner
                  and Alvin Warner,  [*2] SUSAN WARNER, SHERRY WARNER, IOANA ALIMANESTIANU, Individually on her own
                  behalf and as Executrix of the Estate of Mihai Alimanestianu, IRINA ALIMANESTIANU, JOANNA
                  ALIMANESTIANU, NICHOLAS ALIMANESTIANU, ALEXANDER ALIMANESTIANU, SERBAN ALIMANESTIANU,
                  CALIN ALIMANESTIANU, PAULINE ALIMANESTIANO, As Executrix of the Estate of Constantin Alimanestiano,
                  CARLA J. MALKIEWICZ, Individually on her own behalf and as Executrix of the Estate of Mark E. Corder,
                  THERESE CODDINGTON, Individually on her own behalf and as Executrix of the Estate of Edward A. Corder,
                  MICHAEL J. CORDER, INTERLEASE, INC., SALLY CHISHOLM JOHNSON, Individually on her own behalf and as
                  Executrix of the Estate of Georgia Mae Chisholm, ALL PLAINTIFFS, Plaintiffs: Michael Lee Martinez, Stuart H.
                  Newberger, Shari Ross Lahlou, LEAD ATTORNEYS, CROWELL & MORING, L.L.P., Washington, DC.
                  For SOCIALIST PEOPLE'S LIBYAN ARAB JAMAHIRIYA, LIBYAN EXTERNAL SECURITY ORGANIZATION, also
                  known as JAMAHIRIYA SECURITY ORGANIZATION, MUAMMAR QADHAFI, ABDALLAH SENOUSSI, AHMED
                  ABDALLAH ELAZRAGH, IBRAHIM NAELI, ARBAS MUSBAH, ISSA ABDELSALAM SHIBANI, ABDELSALAM
                  
                  
                  HAMMOUDA EL AGELI, Defendants: Arman Dabiri, LEAD ATTORNEY, LAW OFFICES OF ARMAN DABIRI &
                  [*3] ASSOCIATES, P.L.L.C., Washington, DC.
                  For UNITED STATES OF AMERICA, Interested Party: Daniel Riess, LEAD ATTORNEY, U.S. DEPARTMENT OF
                  JUSTICE, Washington, DC.
                  For LA REUNION AERIENNE, Movant: Christopher Burgess Kende, LEAD ATTORNEY, New York, NY; Peter John
                  McHugh, LEAD ATTORNEY,John F. Keating, Jr., KEATING & MCHUGH, New York, NY."
  39 ,Judges     ,"Judges: Henry H. Kennedy, Jr. United States District Judge."
  39 ,Opinion by ,Opinion by: Henry H. Kennedy
  84 ,Counsel    ,"Counsel:  [*1] For DDS, MHA James F Ripley, Plaintiff: Stephen H Kline, LEAD ATTORNEY, KLINE LAW OFFICE,
                  Cheyenne, WY.
                  For Wyoming Medical Center Inc, a Wyoming Corporation, Defendant: Scott E Ortiz, LEAD ATTORNEY, Stuart R
                  Day, WILLIAMS PORTER DAY & NEVILLE, Casper, WY.
                  For MD James Anderson, individually, MD John D Bailey, individually, Steve Chadderdon, individually, MD Thomas
                  Cunningham, individually, MD Mark Dowell, individually, Ken Eickoff, individually, Pam Fulks, individually, Bill
                  McDowell, individually, MD Mark McGinley, individually, Susie McMurry, individually, MD Steven Orcutt, individually,
                  Diane Payne, individually, Mike Reid, individually, MD Craig Smith, individually, MD Louis Steplock, individually, MD
                  Werner Studer, individually, MD Jay A Swedberg, individually, Defendants: Scott E Ortiz, LEAD ATTORNEY,
                  WILLIAMS PORTER DAY & NEVILLE, Casper, WY."
  84 ,Judges     ,"Judges: ALAN B. JOHNSON, UNITED STATES DISTRICT JUDGE."
  84 ,Opinion by ,Opinion by: ALAN B. JOHNSON
 122 ,Counsel    ,"Counsel: For FEDERAL TRADE COMMISSION, Plaintiff: Richard Alan Feinstein, LEAD ATTORNEY, BOIES,
                  SCHILLER & FLEXNER, LLP, Washington, DC.
                  For STATE OF FLORIDA, ByAttorney General Robert A. Butterworth, Plaintiff: Ann Beimdiek Kinsella, LEAD
                  ATTORNEY, MINNESOTA ATTORNEY GENERAL’S OFFICE, St. Paul, MN; Kimberly L. King, LEAD ATTORNEY,
                  OFFICE OF ATTORNEY GENERAL/FL, Tallahassee, FL; Peter H. Williams, OFFICE OF THE ATTORNEY
                  GENERAL/FL, Tallahassee, FL.
                  For STATE OF ILLINOIS, By Attorney General James E. Ryan, Plaintiff: Ann Beimdiek Kinsella, LEAD ATTORNEY,
                  MINNESOTA ATTORNEY GENERAL’S OFFICE, St. Paul, MN; Don R. Sampen, LEAD ATTORNEY, OFFICE OF
                  ATTORNEY GENERAL/IL, Chicago, IL; Robert W. Pratt, LEAD ATTORNEY, ILLINOIS OFFICE OF THE
                  ATTORNEY GENERAL, Chicago, IL.
                  For STATE OF MINNESOTA, By Attorney General Hubert H. Humprey, III, Plaintiff: Ann Beimdiek Kinsella, LEAD
                  ATTORNEY, MINNESOTA ATTORNEY GENERAL’S OFFICE, St. Paul, MN.
                  For STATE OF NEW YORK, By Attorney General Dennis C. Vacco, Plaintiff: Ann Beimdiek Kinsella, LEAD
                  ATTORNEY, MINNESOTA ATTORNEY GENERAL’S OFFICE, St. Paul, MN; John Andrew Ioannou, Robert L.
                  Hubbard, Susan F. Raitt, LEAD ATTORNEYS, ATTORNEY GENERAL OF THE STATE OF NEW YORK, New
                  York, NY.
                  For STATE OF NORTH CAROLINA, By Attorney General Michael F Easley, Plaintiff: Ann Beimdiek Kinsella, LEAD
                  ATTORNEY, MINNESOTA ATTORNEY GENERAL’S OFFICE, St. Paul, MN.
                  For STATE OF OHIO, By Attorney General Betty D. Montgomery, Plaintiff: Ann Beimdiek Kinsella, LEAD
                  ATTORNEY, MINNESOTA ATTORNEY GENERAL’S OFFICE, St. Paul, MN; Doreen Claire Johnson, LEAD
                  ATTORNEY, ATTORNEY GENERAL’S OFFICE - STATE OF OHIO, Columbus, OH; Mitchell L. Gentile, LEAD
                  ATTORNEY, OHIO ATTORNEY GENERALS OFFICE, Columbus, OH; Rajeev K. Malik, LEAD ATTORNEY,
                  NETWORK SOLUTIONS, INC., Herndon, VA.
                  For COMMONWEALTH OF PENNSYLVANIA, By Attorney General D. Michael Fisher, Plaintiff: Ann Beimdiek
                  Kinsella, LEAD ATTORNEY, MINNESOTA ATTORNEY GENERAL’S OFFICE, St. Paul, MN; Terry A. Lupia, LEAD
                  ATTORNEY, OFFICE OF ATTORNEY GENERAL/PA, Harrisburg, PA.
                  For STATE OF VEST VIRGINIA, Plaintiff: Ann Beimdiek Kinsella, LEAD ATTORNEY, MINNESOTA ATTORNEY
                  GENERAL’S OFFICE, St. Paul, MN; Douglas Lee Davis, LEAD ATTORNEY, OFFICE OF ATTORNEY GENERAL
                  STATE OF WEST VIRGINIA, Charleston, WV.
                  For STATE OF WISCONSIN, By Attorney General James E. Doyle, Plaintiff: Ann Beimdiek Kinsella, LEAD
                  ATTORNEY, MINNESOTA ATTORNEY GENERAL’S OFFICE, St. Paul, MN.
                  For ST. CHARLES HOSPITAL AND REHABILITATION CENTER, Plaintiff: Ellen Schiff Cooper, LEAD ATTORNEY,
                  OFFICE OF THE ATTORNEY GENERAL/MD, Antitrust Division, Baltimore, MD; Michael D. Hausfeld, LEAD
                  ATTORNEY, COHEN, MILSTEIN, HAUSFELD & TOLL, PLLC, Washington, DC.
                  531 F. Supp. 2d 82, *82; 2008 U.S. Dist. LEXIS 4615, **4615
                  
                  
                  For STATE OF ALASKA, Plaintiff: Daveed Schwartz, LEAD ATTORNEY, ATTORNEY GENERAL, STATE OF
                  ALASKA, Anchorage, AK.
                  For STATE OF ARKANSAS, Plaintiff: Mark Pryor, LEAD A TTORNEY, OFFICE OF THE ATTORNEY
                  GENERAL/AR, Little Rock. AR.
                  For STATE OF CALIFORNIA, Plaintiff: Natalie S. Manzo, LEAD ATTORNEY, OFFICE OF THE ATTORNEY
                  GENERAL/CA, Los Angeles, CA.
                  For STATE OF COLORADO, Plaintiff: Jennifer F. Connolly, LEAD ATTORNEY, OFFICE OF THE ATTORNEY
                  GENERAL/CO, Denver, CO; Maria E. Berkenkotter, LEAD ATTORNEY, OFFICE OF THE ATTORNEY
                  GENERAL/CO, Denver, CO.
                  For STATE OF CONNECTICUT, Plaintiff: Ann Beimdiek Kinsella, LEAD ATTORNEY, MINNESOTA ATTORNEY
                  GENERAL’S OFFICE, St. Paul, MN; Arnold B. Feigin, LEAD ATTORNEY, OFFICE OF ATTORNEY GENERAL/CT,
                  Hartford, CT; Joseph S. Betsko, LEAD ATTORNEY, OFFICE OF THE ATTORNEY GENERAL FOR
                  PENNSYLVANIA, Harrisburg, PA; MacKenzie Hall, LEAD ATTORNEY, OFFICE OF ATTORNEY GENERAL/CT,
                  Hartford, CT.
                  For DISTRICT OF COLUMBIA, Plaintiff: Donald Stuart Cameron, LEAD ATTORNEY, ATTORNEY GENERAL, DC,
                  Washington, DC; Bennett C. Rushkoff, OFFICE OF THE CORPORATION COUNSEL, Washington, DC.
                  For STATE OF IOWA, Plaintiff: John F. Dwyer, LEAD ATTORNEY, IOWA DEPARTMENT OF JUSTICE, Office of
                  the Attorney General, Des Moines, IA.
                  For STATE OF LOUISIANA, Plaintiff: Jane Bishop Johnson, LEAD ATTORNEY, LOUISIANA DEPARTMENT OF
                  JUSTICE, Baton Rouge, LA.
                  For STATE OF MAINE, Plaintiff: Stephen L. Wessler, LEAD ATTORNEY, Augusta, ME.
                  For STATE OF MICHIGAN, Plaintiff: Jennifer Granholm, LEAD ATTORNEY, ASSISTANT ATTORNEY
                  GENERAL’S OFFICE, Consumer Protection Division, Lansing, MI.
                  For STATE OF MISSOURI, Plaintiff: Michael J. Delaney, LEAD ATTORNEY, OFFICE OF ATTORNEY
                  GENERAL/MD, St. Louis, MO.
                  For STATE OF NEW MEXICO, Plaintiff: Patricia A. Madrid, LEAD ATTORNEY, ATTORNEY GENERAL OF NEW
                  MEXICO, Albuquerque, NM.
                  For STATE OF OKLAHAMA, Plaintiff: Steven J. Leippert, LEAD ATTORNEY, Oklahoma City, OK.
                  For STATE OF OREGON, Plaintiff: Andrew E. Aubertine, LEAD ATTORNEY, DEPARTMENT OF JUSTICE,
                  Assistant Attorney General, Salem, OR.
                  For STATE OF SOUTH CAROLINA, Plaintiff: C. Havird Jones, Jr., LEAD ATTORNEY, OFFICE OF THE
                  ATTORNEY GENERAL/SC, Columbia, SC.
                  For STATE OF SOUTH DAKOTA, Plaintiff: Jeffrey P. Hallem, LEAD ATTORNEY, SOUTH DAKOTA ATTORNEY
                  GENERAL’S OFFICE, Pierre SD.
                  For STATE OF TENNESSEE, Plaintiff: Dennis J. Garvey, LEAD ATTORNEY, OFFICE OF ATTORNEY
                  GENERAL/TN, Nashville, TN; J. Patrick Riceci, LEAD ATTORNEY, OFFICE OF ATTORNEY GENERAL/TN,
                  Nashville, TN.
                  For STATE OF TEXAS, Plaintiff: Kelly Garcia, LEAD ATTORNEY, OFFICE OF THE ATTORNEY GENERAL/TX,
                  Austin, TX.
                  For STATE OF UTAH, Plaintiff: Wayne Klein, LEAD ATTORNEY, OFFICE OF ATTORNEY GENERAL/UT, Antitrust
                  Section, Salt Lake City, UT.
                  For STATE OF VERMONT, Plaintiff: Julie Brill, LEAD ATTORNEY, OFFICE OF ATTORNEY GENERAL/VT,
                  Montpelier, VT; Rebecca C. Ellis, LEAD ATTORNEY, CONSUMER ELECTRONICS ASSOCIATION, Arlington, VA.
                  531 F. Supp. 2d 82, *82; 2008 U.S. Dist. LEXIS 4615, **4615
                  
                  
                  For STATE OF WASHINGTON, Plaintiff: Marta Lowv, LEAD ATTORNEY, ATTORNEY GENERAL OF
                  WASHINGTON, Seattle, WA.
                  For STATE OF MARYLAND, Plaintiff: Rajeev K. Malik, LEAD ATTORNEY, NETWORK SOLUTIONS, INC.,
                  Herndon, VA.
                  For ADVOCATE HEALTH CARE, Plaintiff: Mary N. Strimel, LEAD ATTORNEY, U.S. DEPARTMENT OF JUSTICE,
                  Antitrust Division, Washington, DC; Thomas Campbell, LEAD ATTORNEY, GARDNER, CARTON & DOUGLAS,
                  Chicago, IL.
                  For MCMAKIN ENTERPRISES, INC., doing business as MCMAKIN PHARMACY, Herbert T. Schwartz, LEAD
                  ATTORNEY, WILLIAMS, BAILEY LAW FIRM, L.L.P., Houston, TX.
                  For UNITED WISCONSIN SERVICES, INC., Plaintiff: Barbara J. Hart, Bernard Persky, Hollis L. Salzman, Ngozi
                  Okaro, LEAD ATTORNEYS, GOODKIND LABATON RUDOFF & SUCHAROW, New York, NY.
                  For DIK DRUG CO., HARVARD PILGRIM HEALTH CARE, INC., OXFORD HEALTH PLANS, INC., Plaintiffs:
                  Thomas Campbell, LEAD ATTORNEY, GARDNER, CARTON & DOUGLAS, Chicago, IL.
                  For L&J PHARMACIES, INC., doing business as KING’S PHARMACY, PRESCRIPTION MART PHARMACY, INC.
                  doing business as GENERIC PHARMACY, Plaintiffs: Herbert T. Schwartz, LEAD ATTORNEY, WILLIAMS, BAILEY
                  LAW FIRM, L.L.P., Houston, TX.
                  For LEAD PLAINTIFFS, Plaintiff: Melvin Howard Orlans, LEAD ATTORNEY, FEDERAL TRADE COMMISSION,
                  Office of General Counsel, Washington, DC; Richard Alan Feinstein, LEAD ATTORNEY, BOIES, SCHILLER &
                  FLEXNER, LLP, Washington, DC.
                  For LEAD PLAINTIFF STATE ATTORNEYS GENERAL, Plaintiff: Mitchell L. Gentile, LEAD ATTORNEY, OHIO
                  ATTORNEY GENERALS OFFICE, Columbus, OH; Rajeev K. Malik, LEAD ATTORNEY, NETWORK SOLUTIONS,
                  INC., Herndon, VA.
                  For PLAINTIFFS IN THE DIRECT PURCHASER ACTIONS, Plaintiff: John T. Cusack, LEAD ATTORNEY,
                  GARDNER, CARTON & DOUGLAS, Chicago, IL; Linda P. Nussbaum, LEAD ATTORNEY, KAPLAN FOX &
                  KILSHEIMIER LLP, New York, NY; Stanley Grossman, LEAD ATTORNEY, POMERANTZ, HAUDEK, BLOCK &
                  GROSSMAN, New York, NY; Thomas Campbell, LEAD ATTORNEY, GARDNER, CARTON & DOUGLAS, Chicago,
                  IL.
                  For PLAINTIFFS IN THE INDIRECT PURCHASER ACTIONS, Plaintiff: Bernard Persky, LEAD ATTORNEY,
                  GOODKIND LABATON RUDOFF & SUCHAROW, New York, NY; Robert S. Schachter, LEAD ATTORNEY,
                  ZWERLING, SCHACHTER & ZWIERLING, LLP, New York, NY.
                  For ARKANSAS CARPENTERS HEALTH AND WELFARE FUND, Plaintiff: Reuben A. Guttman, LEAD
                  ATTORNEY, WOLF HALDENSTEIN ADLER FREEMAN & HERZ, LLP, Washington, DC.
                  For BLUE SHIELD OF CALIFORNIA, The Individually Represented Companies, BLUE CROSS AND BLUE
                  SHIELD OF FLORIDA, BLUE CROSS & BLUE SHIELD OF MICHIGAN, The Individually Represented Companies,
                  CONSECO COMPANIES, The Individually Represented Companies, THE GUARDIAN LIFE INSURANCE
                  COMPANY OF AMERICA, The Individually Represented Companies, INDEPENDENCE BLUE CROSS, KAISER
                  FOUNDATION HEALTH PLAN, INC., The Individual Represented Companies, MUTUAL OF OMAHA INSURANCE
                  COMPANY, The Individual Represented Companies, TRIGON BLUE CROSS & BLUE SHIELD, The Individually
                  Represented Companies, TRUSTMARK INSURANCE COMPANY, The Individually Represented Companies,
                  Plaintiffs: Robert T. Rhoad, LEAD ATTORNEY, Crowell & Moring LLP, Washington, DC.
                  For CLASS PLAINTIFFS, Plaintiff: Robert S. Schachter, LEAD ATTORNEY, ZWERLING, SCHACHTER &
                  ZWIERLING, LLP, New York, NY.
                  For HEALTH CARE SERVICE CORPORATION (HCSC), Plaintiff: Thomas O. Gorman, LEAD ATTORNEY,
                  PORTER, WRIGHT, MORRIS & ARTHUR, Washington, DC; Thomas Joseph Poulin, ROBINS, KAPLAN, MILLER
                  & CIRESI, LLP, Boston, MA.
                  531 F. Supp. 2d 82, *82; 2008 U.S. Dist. LEXIS 4615, **4615
                  
                  
                  For BLUE CROSS BLUE SHIELD OF MINNESOTA, Plaintiff: Frances Fotini Makris, W. Scott Simmer, Thomas
                  Joseph Poulin, LEAD ATTORNEYS, ROBINS, KAPLAN, MILLER & CIRESI, L.L.P., Washington, DC; Jeffrey John
                  Downey, LEAD ATTORNEY, Washington, DC.
                  For FEDERATED MUTUAL INSURANCE COMPANY, BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,
                  Plaintiffs: W. Scott Simmer, LEAD ATTORNEY, ROBINS, KAPLAN, MILLER & CIRESI, L.L.P., Washington, DC;
                  Thomas Joseph Poulin, ROBINS, KAPLAN, MILLER & CIRESI, LLP, Boston, MA.
                  For DOROTHY KENDRICK, Plaintiff: Patrick D. McMurtray, McMurtray & Armistad, P.A., Jackson, MS; Robert K.
                  Jenner, JANET, JENNER & SUGGS, LLC, Baltimore, MD.
                  For MYLAN LABORATORIES, INC., Defendant: Baron Grier, LEAD ATTORNEY, Columbia, SC; Craig C. Harley,
                  LEAD ATTORNEY, Atlanta, GA; David Hensler, LEAD ATTORNEY, HOGAN & HARTSON, LLP, Washington, DC;
                  David Park, James Miller, John K. Carroll, Martin Seidel, LEAD ATTORNEYS, CLIFFORD CHANCE ROGERS &
                  WELLS, LLP, New York, NY; Diane Kelleher, LEAD ATTORNEY, U.S. DEPARTMENT OF JUSTICE, Civil Division,
                  Washington, DC; Hollis L. Salzman, LEAD ATTORNEY, GOODKIND LABATON RUDOFF & SUCHAROW, New
                  York, NY; Joseph J. Simons, LEAD ATTORNEY, PAUL, WEISS, RIFKIND, WHARTON & GARRISON LLP,
                  Washington, DC; Kerri L. Ruttenberg, LEAD ATTORNEY, DEWEY & LEBOEUP LLP, Washington, DC; Kevin
                  Richard Sullivan, LEAD ATTORNEY, KING & SPALDING, Washington, DC; Linda P. Nussbaum, LEAD
                  ATTORNEY, KAPLAN FOX & KILSHEIMIER LLP, New York, NY; Meredyth Smith Andrus, LEAD ATTORNEY,
                  OFFICE OF THE MARYLAND ATTORNEY GENERAL, Baltimore, MD; Michael Orth Ware, LEAD ATTORNEY,
                  MAYER BROWN LLP, New York, NY; Mitchell E. Zamoff, LEAD ATTORNEY, HOGAN & HARTSON, L.L.P.,
                  Washington, DC; Peter M. Todaro, LEAD ATTORNEY, KING & SPALDING, Washington, DC; Robert S. Schachter,
                  LEAD ATTORNEY, ZWERLING, SCHACHTER & ZWIERLING, LLP, New York, NY; Stephen I. Klimjack, LEAD
                  ATTORNEY, JACKSON, TAYLOR, MARTINO & HEDGE, Mobile, AL; Steven A. Newborn, LEAD ATTORNEY,
                  WEIL, GOTSHAL & MANGES, Washington, DC; Brian Robert Meiners, Melissa Bezanson Shultz, Antony Richard
                  Petrilla, Kristen Ceara Limarzi, KING & SPALDING, LLP, Washington, DC; Emily Shepard Smith, Gideon A. Schor,
                  Jonathan M. Jacobson, Seth C. Silber, Susan A. Creighton, WILSON SONSINI GOODRICH & ROSATI, New York,
                  NY.
                  For CAMBREX CORPORATION, Defendant: Charles D. Atkins, LEAD ATTORNEY, DEBEVOISE & PLIMPTON,
                  Washington, DC; Kevin R. Sullivan, LEAD ATTORNEY, KING & SPAULDING, Washington, DC; Peter M. Todaro,
                  LEAD ATTORNEY, KING & SPALDING, Washington, DC; Brian Robert Meiners, KING & SPALDING, LLP,
                  Washington, DC; Melissa Bezanson Shultz, Kristen Ceara Limarzi, KING & SPALDING, LLP, Washington, DC.
                  For PROFARMACO S.R.L., Defendant: Charles D. Atkins, LEAD ATTORNEY, DEBEVOISE & PLIMPTON,
                  Washington, DC.
                  For CYMA LABORATORIES OF AMERICA, INC., Defendant: Kevin R. Sullivan, LEAD ATTORNEY, KING &
                  SPAULDING, Washington, DC; Peter Dean Isakoff, LEAD ATTORNEY, WELL, GOTSHAL & MANGES, LLP,
                  Washington, DC; Peter M. Todaro, LEAD ATTORNEY, KING & SPALDING, Washington, DC; Brian Robert
                  Meiners, Melissa Bezanson Shultz, Kristen Ceara Limarzi, KING & SPALDING, LLP, Washington, DC.
                  For SST CORPORATION, Defendant: Lewis Farberman, Michael P. Bowen, Sidney Samuel Rosdeitcher, LEAD
                  ATTORNEYS, Robert N. Kravitz, PAUL, WEISS, RIFKIND, WHARTON & GARRISON, New York, NY.
                  For MYLAN PHARMACEUTICALS INCORPORATED, Defendant: David Hensler, LEAD ATTORNEY, HOGAN &
                  HARTSON, LLP, Washington, DC; Kerri L. Ruttenberg, LEAD ATTORNEY, DEWEY & LEBOEUP LLP,
                  Washington, DC; Kevin Richard Sullivan, LEAD ATTORNEY, KING & SPALDING, Washington, DC; Peter M.
                  Todaro, LEAD ATTORNEY, KING & SPALDING, Washington, DC; Brian Robert Meiners, Melissa Bezanson Shultz,
                  KING & SPALDING, LLP, Washington, DC; Seth C. Silber, WILSON SONSINI GOODRICH & ROSATI, New York,
                  NY; Antony Richard Petrilla, Kristen Ceara Limarzi, KING & SPALDING, LLP, Washington, DC; Mitchell E. Zamoff,
                  HOGAN & HARTSON, L.L.P., Washington, DC.
                  For UDL LABORATORIES INC, Defendant: David Hensler, LEAD ATTORNEY, HOGAN & HARTSON, LLP,
                  Washington, DC; Mitchell E. Zamoff, HOGAN & HARTSON, L.L.P., Washington, DC.
                  531 F. Supp. 2d 82, *82; 2008 U.S. Dist. LEXIS 4615, **4615
                  
                  
                  For MILAN PUSKAR, Defendant: Carl Stephen Rauh, Robert Stephen Bennett, LEAD ATTORNEYS, SKADDEN,
                  ARPS, SLATE, MEAGHER & FLOM, LLP, Washingtton, DC.
                  For AETNA US HEALTHCARE, Movant: Mark C. Hansen, LEAD ATTORNEY, KELLOGG, HUBER HANSEN,
                  TODD & EVANS, P.L.L.C., Washington, DC.
                  For CHAMBER COMMERCE OF THE UNITED STATES, Movant: Bertram Walter Rein, LEAD ATTORNEY, WILEY
                  REIN & FIELDING, LLP, Washington, DC.
                  For UNITED HEALTH GROUP, Movant: Ross H. Garber, Vaughan Finn, LEAD ATTORNEYS, SHIPMAN &
                  GOODWIN, Hartford, CT.
                  For HEALTH NET INC, Movant: Arthur Norman Lerner, LEAD ATTORNEY, CROWELL & MORING, L.L.P.,
                  Washington, DC.
                  For SMITH DRUG COMPANY, Movant: Natalma M. McKnew, LEAD ATTORNEY, LEATHERWOOD, WALKER,
                  TODD & MANN, P.C., Greenville, SC.
                  For ELMER L. RITCHIE, Movant: Dianne M. Nast, LEAD ATTORNEY, KOHN, SAVETT, KLEIN & GRAF, P.C.,
                  Philadelphia, PA.
                  For WALGREEN COMPANY, Movant: Mary N. Strimel, LEAD ATTORNEY, U.S. DEPARTMENT OF JUSTICE,
                  Antitrust Division, Washington, DC.
                  For RANDALL’S FOOD & DRUG, Movant: Jerome Charles Schaefer, LEAD ATTORNEY, O’BRIEN, BUTLER,
                  MCCONIHE & SCHAEFER. PLLC, Washington, DC.
                  For BELLCO DRUG CO, Movant: Frederick Robinson, LEAD ATTORNEY, FULBRIGHT & JAWORSKI LLP,
                  Washington, DC.
                  For CARDINAL HEALTH INC, Movant: Frederick Wilson Chockley, LEAD ATTORNEY, BAKER & HOSTETLER,
                  L.L.P., Washington, DC.
                  For MORVILLO, ABRAMOWITZ, GRAND, IASON & SILBERBERG, P.C., CLIFFORD CHANCE US LLP, formerly
                  known as CLIFFORD CHANCE ROGERS & WELLS LLP, Movants: Kevin Michael Hodges, LEAD ATTORNEY,
                  WILLIAMS & CONNOLLY, Washington, DC.
                  For MEDCO HEALTH SERVICES, INC., Movant: William Edward McDaniels, LEAD ATTORNEY, WILLIAMS &
                  CONNOLLY, Washington, DC.
                  For STEVEN ARONSON, Movant: Hollis L. Salzman, LEAD ATTORNEY, GOODKIND LABATON RUDOFF &
                  SUCHAROW, New York, NY; Robert S. Schachter, LEAD ATTORNEY, ZWERLING, SCHACHTER & ZWIERLING,
                  LLP, New York, NY.
                  For BRANDY ASHCRAFT, SHARON BOUERASSA, ETTA BROCKNEY, MARY BULLOCK, GOERGETTE
                  CAVALLO, CHARLES CAVALLO, JENNIFER COLLINS, SHOSHANA DATLOW, LAWRENCE DEARMAN, ELAINE
                  DUNKEL, NATALIE ELDREDGE, PEGGIE HARTWELL, ALLISON LAROSE, PHILLIP LEARD, MONA LESNICK,
                  JOSEPH L. MASON, ELLEN MCLAUGHLIN, NATHAN MIGDEN, EILEEN MILLENDER, DOROTHY
                  MOREHOUSE, RITA PETTIT, IRENE SCHULMAN, NORMAN SCHULMAN, ELLIOT SILVERMAN, FRANCES
                  SILVERMAN, EDWARD STUPCA, DEBORAH H. SWAIN, On behalf of J. Edward Swain and Lois A. Swain,
                  PHILLIP TARNOFFSKY, RICHARD TUMPOWSKY, WILLIAM WILDONER, WILLIAM C. WRIGHT, Movants: Robert
                  S. Schachter, LEAD ATTORNEY, ZWERLING, SCHACHTER & ZWIERLING, LLP, New York, NY.
                  For CATHY SHIRLEY, RONALD WEINFRAUB, LILIE MAE BOONE, Movants: Edward W. Coehran, LEAD
                  ATTORNEY, Shaker Heights, OH; N. Albert Bacharach, Jr., LEAD ATTORNEY, Gainesville, FL.
                  For COMMONWEALTH OF PUERTO RICO, Movant: Judith Martinez-Fortier, LEAD ATTORNEY, PR.
                  DEPARTMENT OF JUSTICE- PUERTO RICO, Antitrust Division, Dorado, PR.
                  For HEALTH PLUS OF MICHIGAN, INC., Movant: Michael S. Cafferty, LEAD ATTORNEY, VANDER, MALE,
                  BELLAMY, GILCHRIST, VANEVUSSE & CAFFERTY, P.C., Detroit, MI.
                  531 F. Supp. 2d 82, *82; 2008 U.S. Dist. LEXIS 4615, **4615"
