頁碼,內容類型,內容
27,Counsel,"Counsel:  [*1] For United National Maintenance, Inc., a Nevada Corporation, Plaintiff: Dylan O Malagrino, LEAD 
ATTORNEY, UC Davis School of Law, Davis, CA; Jacob M Slania, James R Lance, LEAD ATTORNEYS, Kirby 
Noonan Lance & Hoge LLP, San Diego, CA; Jeffrey A Leon, Kristopher J. Stark, LEAD ATTORNEYS, Ungaretti 
and Harris, Chicago, IL; Theodore Tetzlaff, LEAD ATTORNEY, Ungaretti and Harris LLP, Chicago, IL.
For San Diego Convention Center Corporation, Inc, a California corporation, Defendant: John H L'Estrange, Jr, 
Joseph Thomas Ergastolo, LEAD ATTORNEYS, Andrew Edward Schouten, Wright and L'Estrange, San Diego, CA."
27,Judges,"Judges: Hon. Anthony J. Battaglia, U.S. District Judge."
27,Opinion by,Opinion by: Anthony J. Battaglia
40,Counsel,"Counsel:  [*1] For Adobe Systems Incorporation, a Delaware Corporation, Plaintiff, Counter-defendant: Robert 
Steinberg, LEAD ATTORNEY, Latham & Watkins, Los Angeles, CA; Charles Peregrine Courtenay, David B 
Hazlehurst, Ryan Ephraim Hatch, Latham and Watkins LLP, Los Angeles, CA; Jennifer L. Barry, Latham & Watkins 
LLP, San Diego, CA.
For Coffee Cup Partners Inc, formerly known as Wowza Media Systems, Inc., Wowza Media Systems LLC, a 
Delaware Corporation, Defendants: Alyssa Yung-Lan Liang, Kirkland and Ellis LLP, Palo Alto, CA; Barry F Irwin, 
Brent P. Ray, PRO HAC VICE, Christopher Randall Freeman, PRO HAC VICE, Jamie Heather Wicks, PRO HAC 
VICE, Kirkland and Ellis LLP, Chicago, IL; Joseph Patrick O'Malley, Fliesler Meyer LLP, San Francisco, CA.
For Wowza Media Systems, Inc., a California Corporation, Counter-claimant: Barry F Irwin, LEAD ATTORNEY, 
Kirkland and Ellis LLP, Chicago, IL; Joseph Patrick O'Malley, Fliesler Meyer LLP, San Francisco, CA.
For Adobe Systems Incorporation, a Delaware Corporation, Counter-defendant: Robert Steinberg, LEAD 
ATTORNEY, Latham & Watkins, Los Angeles, CA; Jennifer L. Barry, Latham & Watkins LLP, San Diego, CA; Ryan 
Ephraim Hatch, Latham and Watkins LLP, Los Angeles,  [*2] CA.
For Wowza Media Systems, Inc., a California Corporation, Counter-claimant: Joseph Patrick O'Malley, Fliesler 
Meyer LLP, San Francisco, CA.
For Coffee Cup Partners Inc, Wowza Media Systems LLC, a Delaware Corporation, Counter-claimant: Alyssa 
Yung-Lan Liang, Kirkland and Ellis LLP, Palo Alto, CA; Barry F Irwin, Brent P. Ray, Christopher Randall Freeman, 
Jamie Heather Wicks, Kirkland and Ellis LLP, Chicago, IL; Joseph Patrick O'Malley, Fliesler Meyer LLP, San 
Francisco, CA."
40,Judges,"Judges: CLAUDIA WILKEN, United States District Judge."
40,Opinion by,Opinion by: CLAUDIA WILKEN
68,Counsel,"Counsel:  [**1] Attorneys Present for Plaintiff(s): Not Present.
Attorneys Present for Defendant(s): Not Present."
68,Judges,"Judges: The Honorable Philip S. Gutierrez, United States District Judge."
68,Opinion by,Opinion by: Philip S. Gutierrez
100,Counsel,"Counsel:  [*1] For United States of America, Plaintiff: Mark W Ryan, LEAD ATTORNEY, U.S. Department of 
Justice - Antitrust Division, Washington, DC; Carrie Ann Syme, U.S. Department of Justice, Antitrust Division (NY), 
New York, NY; Daniel McCuaig, U.S. Department of Justice, Antitrust Div(DC5thSt), Washington, DC; Lawrence 
Edward Buterman, US Department of Justice, Antitrust Division, Washington, DC; Mary Beth McGee, Nathan P. 
Sutton, Owen M Kendler, William H. Jones, United States Litigation III Section, Washington, DC; Stephanie A. 
Fleming, Stephen Thayer Fairchild, U.S. Department of Justice, Antitrust Division, Washington, DC.
For Apple, Inc., Defendant: Andrew Jay Frackman, LEAD ATTORNEY, O'Melveny & Myers LLP, New York, NY; 
Daniel S. Floyd, Daniel G. Swanson, PRO HAC VICE, Gibson, Dunn & Crutcher LLP (CA2), Los Angeles, CA; 
Edward Nathaniel Moss, O'Melveny & Myers, LLP(NYC), New York, NY; Hane Lee Kim, Gibson, Dunn & Crutcher, 
LLP (NY), New York, NY; Jagannathan P Srinivasan, Gibson, Dunn & Crutcher LLP, Los Angeles, CA; Richard 
Parker, PRO HAC VICE, O'Melveny & Myers LLP, Washington, DC.
For Hachette Book Group, Inc., Defendant: Walter B. Stuart, IV, LEAD ATTORNEY, Samuel Joseph Rubin, 
Freshfields  [*2] Bruckhaus Deringer LLP, New York, NY.
For HarperCollins Publishers L.L.C., Defendant: Shepard Goldfein, LEAD ATTORNEY, Paul Madison Eckles, 
Skadden, Arps, Slate, Meagher & Flom LLP (NYC), New York, NY; Clifford Hank Aronson, Skadden, Arps, Slate, 
Meagher & Flom, New York, NY.
For Verlagsgruppe Georg Von Holtzbrinck GMBH, Defendant: Joel M. Mitnick, LEAD ATTORNEY, Sidley Austin 
LLP, New York, NY; Alexandra Shear, Sidley Austin LLP(NY), New York, NY.
For Holtzbrinck Publishers, LLC, doing business as, Macmillan, Defendant: Joel M. Mitnick, LEAD ATTORNEY, 
Sidley Austin LLP, New York, NY; Alexandra Shear, John J. Lavelle, Sidley Austin LLP (NY), New York, NY.
For The Penguin Group, A Division of Pearson PLC, Penguin Group (USA), Inc., Defendants: Allison Sheedy, Akin 
Gump Strauss Hauer & Feld, LLP, Washington, DC; Daniel F. McInnis, Akin, Gump, Strauss, Hauer & Feld, LLP 
(DC), Washington, DC.

 
For Simon & Schuster, Inc., Defendant: Helene Debra Jaffe, Jennifer R. Scullion, LEAD ATTORNEYS, Proskauer 
Rose LLP (NY), New York, NY; James W. Quinn, Yehudah Lev Buchweitz, LEAD ATTORNEYS, Weil, Gotshal & 
Manges LLP (NYC), New York, NY.
For American Booksellers Association, Inc., Barnes & Noble, Inc.,  [*3] Amicus: David Neal Wynn, LEAD 
ATTORNEY, Arent Fox LLP(New York), New York, NY.
For Bob Kohn, Amicus: Steven Brower, LEAD ATTORNEY, Buchalter Nemer, Irvine, CA.
For The Authors Guild, Inc., Amicus: Jan Friedman Levien, The Authors Guild, Inc., New York, NY."
