Case Index,Core Terms
Case 1,"sports, basketball, football, Antitrust, student-athletes, recruits, declarations, reconsideration, prominent, college 
education, summary judgment, relevant market, athletic, procompetitive, attending, restrictive alternative, 
redistribute, restrictions, consumers"
Case 2,"skee-ball, confidentiality agreement, parties, motion to dismiss, alleges, trademark, monopoly, leagues, good faith, 
BREWSKEE-BALL, statute of frauds, fair dealing, quotation, fails, marks, antitrust, oral contract, unfair competition, 
relevant market, anticompetitive, use of a term, market power, consolidated, covenant, lawsuit, games, monopoly 
power, counterclaims, breach of contract claim, confidential information"
Case 3,"cards, Plaintiffs', statute of limitations, license, antitrust claim, district court, damages, Defendants', four-year, 
injunctive relief, anti trust law, Clayton Act, laches, overt act, speculative"
Case 4,"subpoena, disclosure, nonparty, confidential, discovery, confidential source, files, drywall, communications, 
manufacturers, documents, protective order, pricing, conversations, undue burden, disclose, network, protections, 
producing, redaction, defendant manufacturer, intellectual property, alleged conspiracy, motion to quash, trade 
secret, proprietary, attributed, e-mails, compliance, journalist"
Case 5,"damages, generic, overcharge, purchasers, motion in limine, prices, umbrella, Shoe, Plaintiffs', bypass, 
wholesalers, antitrust, indirect, anti trust law, manufacturers, decisions, courts, buyer, competitors, pass-on, cases, 
parties, anticompetitive conduct, speculative, benefitted, metaxalone, branded, reasons, argues, causal connection"
Case 6,"carriers, e-mail, pricing, conspiracy, collusion, plaintiffs', wireless, increased price, meetings, message, increases, 
spoliation, bad faith, destroyed, notebooks, moves, analyses, defendants', minutes, adverse inference, price-fixing, 
antitrust, documents, deleted, cases, customers, collude, direct evidence, bundled, missing"
Case 7,"gym, phone number, texts, cases, express consent, membership, text message, consented, joined, unfair, 
summary judgment, consumers, contacted, brand, cellphone number, cancellation, card, summary judgment 
motion, telephone number, confirmation, message, filled, lapse"
Case 8,"trucks, express warranty, warranty, unfair, particular purpose, allegations, terms, motion to dismiss, cause of action, 
leave to amend, Practices, pled"
Case 9,"wholesalers, customers, district court, summary judgment, non-compete, antitrust, per se violation, compete, 
grocery, class certification, distribution center, formula, regions, anticompetitive, genuine, prices, terms, antitrust 
violation, overt act, competitor, supplied, targeted, partial"
Case 10,"alleges, appraisal, cause of action, unfair, unconscionability, mortgage, lender, consumer, declaratory relief, 
borrower, contends, Lending, representations, fraudulent, practices, loans, foreclosure, concealment, violations, 
unfair business practice, business practice, misrepresentations, defendants', speculative, leave to amend, 
demurrer, deceit, notice, terms, fair market value"
Case 11,"allegations, patent, fraudulent, infringing, defendants', technology, concealed, unfair competition, licensing, unfair, 
misled, patent infringement, disrupt, mislead, camera, amend, prong"
