Case Index,Core Terms
Case 1,"swimmers, Swimming, wear, Team, disparagement, antitrust, suits, summary judgment, coach, competitors, 
promotion, coercion, switched, Lanham Act, endorsement, induce, antitrust violation, trade association, genuine 
issue, consumers, elite, contractual relationship, nonmoving party, anti trust law, material fact, collaboration, 
swimsuit, argues, coerce, faster"
Case 2,"eBay, auction, online, sellers, antitrust, format, Plaintiffs', market power, fixed-price, Reply, class certification, 
anticompetitive, listings, platform, relevant market, prices, overcharge, buyers, summary judgment, monopolization, 
submarket, elasticity, monopoly power, supracompetitive, products, causal, card, summary judgment motion, 
transactions, retailers"
Case 3,"patients, providers, antitrust, Sherman Act, Ski, plaintiffs', anti trust law, consumers, submarket, allegations, 
monopolization, monopoly, relevant market, damages, captive, profits, antitrust violation, defendants', rivals, staff, 
enforcers, factors, joint venture, competitor, discharged, reciprocal, mountains, prices, terms, advertising"
Case 4,"patent, antitrust, counterclaims, pulse, sensors, bifurcation, oximetry, discovery, cables, monitors, technology, 
oximeter, anticompetitive, patient, anti trust law, third party, exclusionary, Electronics, manufacture, infringing, 
settlement, contends, products, juror"
Case 5,"gap, credit transaction, insurance product, tying arrangement, antitrust, buyer, alleges, approved list, dealers, 
financing, purchases, fails, Sherman Act, reciprocal-dealing, exclusive-dealing, vendor, lending, subsidiary, bank 
holding company, anti trust law, tied product, sells, alleged facts, extend credit, car dealer, car buyer, products, 
counts, buy"
Case 6,"blanket, locking, patent, compressible, counterclaims, anvil, coupled, specification, Defendants', antitrust, channel, 
motion to dismiss, die cutter, Plaintiffs', geographic, interlock, relevant market, probability, cutting, invention, 
consumer, manufactured, rotary, failure to state a claim, disputed term, allegations, inequitable conduct, extrinsic 
evidence, monopoly power, elasticity"
Case 7,"preparation, fraudulent concealment, four year, courses, allegations"
Case 8,"district court, alleges, amend, anti trust law, leave to amend, manufacturers, competitors, threats, seller, third 
amended complaint, patent infringement, illegal conspiracy, high prices, horizontal, customers, effective, chemical, 
commerce, buyers, futile, volume, costs, fails"
Case 9,"disqualified, antitrust, entertain, disqualification, impartial, anti trust law"
Case 10,"declarations, district court, resort, summary judgment, jury verdict, antitrust, expert testimony, relevant market, legal 
standard, large portion, lay opinion, Sherman Act, illogical, purported, portions"
Case 11,"coverage, disparagement, advertising injury, duty to defend, Antitrust, bodily injury, property damage, bidding, 
damages, insured, defamation, allegations, products, personal injury, occurrence, summary judgment, seek 
damages, Umbrella, no duty, indemnify, slander, libel, provisions, defamatory, policy period, reputation, collusion, 
summary judgment motion, treble damages, bidders"
Case 12,"swimmers, Swimming, wear, Team, disparagement, suits, summary judgment, antitrust, competitors, promotion, 
endorsement, switched, Lanham Act, coercion, antitrust violation, trade association, genuine issue, consumers, 
induce, elite, contractual relationship, nonmoving party, anti trust law, material fact, collaboration, comments, 
swimsuit, argues, coerce, faster"
Case 13,"allegations, overtime, minimum wage, meal, failure to pay"
Case 14,"Recommendation, motion to dismiss, state law claim, magistrate judge, Memorandum, Sherman Act, district court, 
portions, allegations, privileges, grounds, novo"
Case 15,"confession of judgment, plaintiffs', antitrust, allegations, notice, state court, Counts, defendants', state actor, 
properties, deprivation, harms, collection, provisions, loans, private right of action, federal claim, meanwhile, 
motions, rights, complaint alleges, motion to dismiss, state action, partnership, proceedings, violations, intervene, 
injuries, merits, dismissal with prejudice"
