Case Index,Core Terms
Case 1,"affirmative defense, infringement, copyright infringement, notice, damages, statutory damages, deny a motion, 
motion to strike, creative, mitigate, misuse, fair notice, abandonment, allegations, quotation, marks"
Case 2,"fuel, pricing, station, competitors, grocery, unfair, trial court, customers, practices, discount, promotions, below-cost, 
target, sales, programs, costs, anti trust law, harming, margins, chains, Card, destroy the competition, loss leader, 
contends, Rewards, retail, injure a competitor, grocery business, fuel-discount, compete"
Case 3,"regression, mushroom, agnostic, variables, damages, antitrust, reliability, defendants', overcharge, Reply, 
statistical, expert testimony, farm, estimated, assumptions, percent, prices, free period, methodology, unreliable, 
geographic, econometrics, benchmark, anticompetitive conduct, class certification, fresh, sales data, calculating, 
motion to exclude, effects"
Case 4,"antitrust, motion to dismiss, Defendants', personal jurisdiction, alleges, donations, fails, conspiracy, media, leave to 
amend, anti trust law, general jurisdiction, Sherman Act, contacts, card, expectancy, Clayton Act, service-of-
process, processing, sufficient facts, market place, factors, percent, redress, harmed, venue, tortious interference, 
establish standing, restraint of trade, concerted effort"
Case 5,"generic, settlement agreement, patent, antitrust, Plaintiffs', launch, manufacturer, no-AG, settlement, new trial, filer, 
brand, district court, anticompetitive, damages, jury trial, arbitration, courts, rights, injunctive relief, infringement, 
causation, pharmaceutical, first-filer, clauses, antitrust violation, forfeiture, questions, summary judgment motion, 
consumers"
Case 6,"space, Root, alleges, domain name, conspiracy, registries, trademark, district court, infringement, Sherman Act, 
antitrust, member of the board, unfair competition, users, tortious interference, relevant market, business model, 
insiders"
Case 7,"helmets, concussions, reduction, Plaintiffs', technology, marketing, Youth, consumer fraud, football, misleading, 
advertising, unjust enrichment, amended complaint, allegations, incidence, motion to dismiss, consumers, exposed, 
players, pleaded, unfair, deceptive, premium, ascertainable loss, flaws, declaratory relief, quotations, website, 
business practice, misrepresentations"
Case 8,"LIBOR, plaintiffs', tolling, manipulation, counterparties, banks, personal jurisdiction, unjust enrichment, suppression, 
swap, cases, class-action, inquiry notice, tortious interference, statute of limitations, entities, appointment, 
defendants', traded, parties, discovery rule, allegations, contracts, time-barred, complaints, persistent, accruing, 
antitrust, affiliates, class action"
Case 9,"duty free, products, false advertising, competitors, airport, allegations, space, airport authority, Lanham Act, 
contributory, Travel, antitrust, quotation, beauty, display, Retail, international airport, district court, inventory, 
brands, Ski, disparagement, inducement, customers, injunctive relief, anti trust law, restrictions, monopolize, lease, 
tortious interference"
Case 10,"software, place-and-route, alleges, affirmative defense, verification, leave to amend, antitrust, customers, 
competitors, Sherman Act, monopolization, acquisition, quotation, fails, interoperability, acquirer, methanol, argues, 
misuse, Clayton Act, anticompetitive, Counterclaims, consumers, producers, products, violates, license, unfair, 
sales, motion to dismiss"
Case 11,"bottled water, Robinson-Patman Act, prices, antitrust, alleges, relevant market, plaintiff's claim, buyers, Clayton Act, 
purchasing, business relationship, supermarket, commerce, anti trust law, tortious interference, quotation, marks, 
unfair competition, anticompetitive, competitor, geographic, customers, Donnelly Act, brokerage, predatory, 
commercial bribery, motion to dismiss, Sherman Act, violations, cause of action"
Case 12,"foreclosure, motion to dismiss, non-judicial, alleges, trust deed, promissory note, successor, initiate, preemption, 
cause of action, foreclosing, courts, federal savings, quiet title, notice, federal savings association, notice of default, 
real party, Savings, default, intentional deceit, motion to strike, leave to amend, regulations, mortgagee, deadline, 
recorded, lender, unfair"
Case 13,"Cristal, Plaintiffs', unjust enrichment, allegations, titanium dioxide, Defendants', consumer protection, antitrust, 
purchaser, indirect, Domestic, leave to amend, factors, motion to dismiss, Architectural, decisions, products, cases, 
marks, quotation, Coatings, contacts, subsidiary, personal jurisdiction, antitrust claim, courts, paint, discovery, state 
law, pricing"
Case 14,"distributors, antitrust, conspiracy, anti trust law, manufacturer, alleges, antitrust claim, Sherman Act, contracts, 
discovery, products, unfair, announcement, purchaser, pled, fail to state a claim, unfair competition, concerted 
action, district court, product line, Cartwright Act, Clayton Act, anticompetitive, competitor"
Case 15,"purchasers, generic, payors, patent, unjust enrichment, allegations, antitrust, settlement, manufacturer, consumer 
protection, anticompetitive, indirect, state law, unjustified, consumers, products, motion to dismiss, End-Payor, 
License, antitrust claim, infringed, class action, reverse-payment, certification, conspiracy, brand-name, launched, 
monopolization, Plaintiffs', courts"
Case 16,"license, medicine, public health, medical practice, health profession, safe, registration, profession, licensure, 
accreditation, disciplinary, proficiency, training, legitimate public purpose, task force, postgraduate, promulgate, 
asserts, postgraduate education, clinical training, due-process, completing, conditions, programs, vested property 
right, declaratory judgment, medical education, competent manner, writ of mandamus, circuit court"
Case 17,"antitrust, anti-assignment, purchasers, motion to dismiss, products, cause of action, obligations, assigned, rights, 
allegations, violations, indirect"
Case 18,"Driver, Removal, Notice, non-diverse, unfair competition, Antitrust, transportation, Amend, fraudulent joinder, 
federal court, state court, parties, diversity jurisdiction, monopolization, allegations, original jurisdiction, laws and 
regulations, conspired, diversity, glimmer, succeed, courts, unfair, Taxi"
Case 19,"magazines, publishers, wholesalers, retailers, inventory, distributors, Defendants', surcharge, conspiracy, costs, 
increased price, email, competitors, Counterclaim, communications, prices, announced, distribute, single-copy, 
dark, antitrust, terms, self-interest, Plaintiffs', deliveries, telephone, meetings, factors, alleged conspiracy, anti trust 
law"
Case 20,"conspiracy, Plaintiffs', fraudulent concealment, Defendants', allegations, employees, concealment, High-Tech, 
email, studios, recruiting, motion to dismiss, affirmative act, Animation, misleading, alleged conspiracy, factual 
allegations, salary, pretextual, conspirator, suppress, human resources, secret, anti-solicitation, competitors, 
meetings, co-conspirators, documents, Digital, poach"
Case 21,"antitrust, patients, surgical services, geographic, privileges, surgery"
Case 22,"district court, state-court, deprive, turnover order, state court, abuse-of-process, tortious-interference, allegations, 
state-law, merits, rights, judgment of dismissal, factual allegations, Abuse Act, proceedings, restitution, conspiracy, 
conversion, complain, turnover, asserts, supplemental jurisdiction, federal jurisdiction, arbitration award, federal 
claim, subject-matter, antitrust, entities, injuries, vacate"
Case 23,"patent, declaratory judgment, overt, substantial controversy, declaratory judgment action, difference of opinion, 
controlling question, substantive grounds, minimum level, invalidity, patentee, allegations, interlocutory appeal, 
antitrust, parties, motion to dismiss, procurement, applicable standard, enforcement action, motion to amend, certify"
Case 24,"Shipping, state law, Dealer, preemption, ocean, Clayton Act, carrier, Truck, motion to dismiss, common carrier, anti 
trust law, Complaints, Consolidated, preempted, regulation, legislative history, antitrust, maritime, damages, unfiled, 
Indirect, class action, Purchaser, effective, commerce, injunctive relief, antitrust action, transportation, restrictions, 
reductions"
Case 25,"conspiracy, antitrust, Insurers, summary judgment, patient, competitor, monopolization, Sherman Act, market share, 
ambulatory, surgery, surgery center, attendance, e-mails, argues, monopoly power, no evidence, exclusionary, 
conspired, provider, conspiracy to monopolize, transfer agreement, material fact, in-network, employees, canceled"
Case 26,"antitrust, contractors, competitors, contracts, factors, conspiracy, damages, injury to business, proximate cause, 
prior order, Defendants', bids, contract work, second hearing, subcontracts"
Case 27,"damages, Notice, deceptive, auction, foreclosure, occurrence, unfair, subject property, consumer, accrued, bidder, 
violations, four-year, terms"
Case 28,"settlement, notice, Pool, class member, class action, Products, parties, antitrust, predominance, Manufacturer, 
purchasers, damages, appoint, certification, commonality, plaintiffs', expenses, costs, class representative, 
attorney's fees, state law, recommendation, defendants', overcharge, defenses, settlement agreement, consumer 
protection, settlement fund, approving, indirect"
Case 29,"conspiracy, third amended complaint, allegations, health insurance, rates, damages, motion to dismiss, class 
certification, purchaser, court of appeals, competitors, class member, supracompetitive, indirect, small group, 
argues, antitrust, prices, factual allegations, putative class, ascertainability, class action, overcharge, plaintiffs', co-
conspirator, transferred, subsidiary, customers, injury in fact, provider"
Case 30,"settlements, attorney's fees, awards, multiplier, expenses, class representative, lodestar, class member, million 
settlement, Plaintiffs', preliminary approval, rates, percentage-of-recovery, Defendants', motions, final approval, 
reimbursement, cases, requests, lodestar method, benchmark, megafund, Declaration, class action, per person, 
documents, factors, records, unreimbursed, approve"
Case 31,"removal, federal law, plaintiffs', recalls, federal question, state court, docket entry, Notice, federal jurisdiction, cause 
of action, state law, well-pleaded, discovery, Buggies, circuit court"
Case 32,"Defendants', alleges, pricing, relevant market, processing, costs, witnesses, monopolization, parties, predatory, 
prepaid, convenience, processing solution, motion to dismiss, customers, monopoly, antitrust claim, antitrust, 
judicial notice, venue, geographic, platform, mobile phone, competitors, leveraging, documents, district court, 
market power, self-supply, billing"
Case 33,"Alarm, subscriber, monitoring, ordinance, alleges, fire alarm, District Act, signals, antitrust, Station, Counts, 
monopoly, customers, transmitters, assign, argues, statute of limitations, transmission, residential building, multi-
unit, wireless, fire protection district, communications center, remote, supervising, connect, prices, anti trust law, 
anticompetitive, conspiracy"
Case 34,"guidelines, chiropractors, chiropractic, allegations, motion to dismiss, referrals, immunity, contracts, Sherman Act, 
rights, compensated, supervision, courts, renew, chiropractic treatment, patients, lawsuit, parties, maximum, entity, 
legislative power, retaliation claim, service agreement, impairment, quotation, policies, redress, marks, instant case, 
anticompetitive"
Case 35,"steel, damages, conspiracy, steel products, class member, predominance, antitrust, Plaintiffs', prices, class action, 
class certification, class-wide, products, regression, furnace, calculate, reliable, variable, methodology, factors, 
levels, alleged conspiracy, steel industry, Commonality, producers, violation of antitrust laws, proposed class, 
certify, common question, estimated"
