Page,Label,Text
22,1, Dr. Prakash's wholly owned corporation that sold herbal non-tobacco cigarettes. ECF No. 3 at ¶¶ 18 and 33.
22,2," See 
http://ttabvue.uspto.gov/ttabvue/v?qt=adv&procstatus=All&pno=91169175&propno=&qs=&propnameop=&propname=&pop=&pn
=&pop2=&pn2=&cop=&cn= "
23,3," Plaintiff's ""First Amended Pleading"" (ECF No. 37) was stricken from the record.  [*6] See Memorandum Opinion and Order 
(ECF No. 52)."
23,4," Individual Defendants are Gary R. Ellis, Lewis I. Rothman, Charles W. Grimes, Ronald O. Perelman, Theo W. Folz, James L. 
Colucci, and George Gershel."
23,5," Plaintiff, in both briefs, has, for the most part, presented the Court with a laundry list of cases in a summary fashion and without 
setting forth any developed analysis or meritorious explanation as to why the Joint Motion of All Defendants should be denied. 
He also restates  [*8] a series of allegations from the Amended Complaint (ECF No. 3) in single-spaced blocks of text. See ECF 
No. 61 at 21-27. Additionally, Plaintiff makes statements that are not on point. For example, Plaintiff writes: ""Opposing counsels' 
arguments that all elements of prima facie case against defendants are lacking is thus not supported by law."" ECF No. 61 at 17. 
No such argument regarding the McDonnell Douglas elements of a prima facie case of discrimination is made in ECF No. 26. "
24,," Finally, Plaintiff seeks to rely on the First Amended Pleading (ECF Nos. 53-1 and 2). See ECF No. 58 at 11. However, the Court 
has not yet ruled on his Motion for Leave to File an Amended Pleading in Lieu of Brief in Response to Defendants' Motions 
Under Rule 12(b) (ECF No. 53). Accordingly, the First Amended Pleading (ECF Nos. 52-1 and 2) is not properly before the 
Court. "
25,6," Defendants Gary R. Ellis, Lewis I. Rothman, Theo W. Folz,  [*12] and James L. Colucci assert that they ""must be dismissed 
from this case with prejudice for lack of personal jurisdiction."" ECF No. 29-1 at 12. A similar assertion is made in Defendant 
George Gershel's motion. See ECF No. 30-1 at 14. A dismissal for lack of personal jurisdiction, however, is without prejudice. 
Intera Corp. v. Henderson, 428 F.3d 605. 620 (6th Cir. 2005). "
27,7, http://www2.sos.state.oh.us/pls/bsqry/f?p=100:7:673032241987595::NO:7:P7_CHARTE_R_NUM:1510866
27,8," According to Plaintiff, ""Somya Inc. had effectively assigned all its legal rights and interests in the subject matter of this civil 
action to Rohit Prakash in March 2006."" ECF No. 58-1 at ¶ 6. But, he provides no proof of the assignment. "
30,9," Nor does Plaintiff have standing for his state law claims (Counts 8, 9, and 10) and Count 11 to the extent that the ""derivative 
liability"" against Individual Defendants is based on the Lanham Act."
30,10," Noerr-Pennington immunity principles are derived from the holdings of the United States Supreme Court in Eastern Railroad 
Presidents Conference v. Noerr Motor Freight. Inc., 365 U.S. 127, 81 S. Ct. 523, 5 L. Ed. 2d 464 (1961), and United Mine 
Workers v. Pennington, 381 U.S. 657, 85 S. Ct. 1585, 14 L. Ed. 2d 626 (1965). "
32,11," 47 allegedly ""Cuban"" marks; three other ""Cuban"" marks-ROYAL CUBAN, ROYAL HAVANA  [*36] and HAVANA SWEETS; 
four DUTCH MASTERS marks; DUTCHIES; and, DUTCH TREATS. "
33,12, Plaintiff's only argument in opposition is merely to recite the language of 15 U.S.C. S 1119. See ECF No. 58 at 28. 
35,13," The Clayton Act contains a provision that authorizes service of process on a corporate defendant in any judicial district in 
which the defendant may be found, 15 U.S.C.A. § 22, but that section contains no provision authorizing service on individual 
defendants. Brink's Mat Ltd. v. Diamond, 906 F.2d 1519. 1522 (11th Cir. 1990). "
36,14," 15 U.S.C. § 22 provides: Any suit, action, or proceeding under the antitrust laws against a corporation may be brought not only in the judicial district 
whereof it is an inhabitant, but also in any district wherein it may be found or transacts business; and all process in such 
cases may be served in the district of which it is an inhabitant, or wherever it may be found (emphasis added). Although this statute provides for nationwide service of process, ""proper venue is still required in order to confer personal 
jurisdiction."" Hyland v. Homeservices of America, Inc., No. 3:05 CV 612 R, 2007 U.S. Dist. LEXIS 47502, 2007 WL 1959158, at 
*3 (W.D.Ky. June 28, 2007)."
36,15," Ohio courts are deemed to have personal jurisdiction over a person ""as to a cause of action arising from the person's ... 
[c]ausing tortious injury by an act or omission in"" Ohio or from the person's ""[c]ausing tortious injury to any person by a criminal 
act, any element of which takes place in [Ohio], which he commits or in the commission of which he is guilty of complicity."" "
37,," Plaintiff merely recites the language from § 2307.382(A)(7) in ¶ 15 of the Amended Complaint (ECF No. 3). rather than allege 
specific facts concerning any alleged criminal act or element thereof that took place in Ohio. "
39,16," Plaintiff served a summons on Commonwealth Brands, naming it as the agent of Defendant Imperial Tobacco Group PLC for 
accepting service of process. ECF No. 4 at 7-8 and 26. According to Defendant Imperial Tobacco Group PLC, any assertion that 
Commonwealth Brands is Imperial's agent is incorrect. See ECF No. 28-1 at 11 n. 4. "
40,17, Plaintiff agrees that Defendant Imperial Tobacco Group PLC cannot be found in this district. See  [*66] ECF No. 59 at 15. 
41,18, See ECF No. 28-2 at ¶ 7. 
42,19, 18 U.S.C. § 1957(d)(2) provides: The circumstances referred to in subsection (a) are--
42,*," * * that the offense under this section takes place outside the United States and such special jurisdiction, but the defendant is 
a United States person (as defined in section 3077 of this title, but excluding the class described in paragraph (2)(D) of 
such section) (emphasis added)."
42,20," Fed. R. Civ. P. 4(k)(2) provides: For a claim that arises under federal law, serving a summons or filing a waiver of service establishes personal jurisdiction 
over a defendant if: (A) the defendant is not subject to jurisdiction in any state's courts of general jurisdiction; and (B) exercising jurisdiction is consistent with the United States Constitution and laws. "
43,21," Ohio courts are deemed to have personal jurisdiction over a person ""as to a cause of action arising from the person's . . . 
[c]ausing tortious injury by an act or omission in"" Ohio or from the person's ""[c]ausing tortious injury to any person by a criminal 
act, any element of which takes place in [Ohio], which he commits or in the commission of which he is guilty of complicity."" "
45,22," See n. 13, supra. "
46,23, Plaintiff served a summons on Defendant George Gershel in Florida. See Return of Service (ECF No. 10). 
50,24," The RICO allegations in the Amended Complaint (ECF No. 3) merely  [*98] assert in non-factual, conclusory fashion that 
Defendants Cuban Cigar Brands, N.V., Altadis Holdings U.S.A. Inc., and 800-JR Cigar, Inc. illegally owned and/or sold certain 
trademarks and/or illegally derived profits therefrom."
50,25," See n. 13, supra. "
52,26," See Return of Service (ECF No. 4) at 5-6, and 23. "
55,27," Defendant Max Rohr, Inc. was served in Wilmington, Delaware. See Return of Service (ECF No. 21). "
57,28," In their Memorandum in Opposition (ECF No. 54), Defendants argue that ""Plaintiff's Motion for Leave to Amend should be 
denied because Plaintiff has unduly delayed in seeking leave to amend. Defendants submit that Plaintiff seeks leave now in an 
attempt to delay responding to the pending motions to dismiss."" ECF No. 54 at 3. Given the Court's prior ruling, see ECF No. 57, 
this argument is moot. "
66,1," The Defendants filed their Motion to Dismiss the Indirect Purchaser Plaintiffs' Claims for Damages Barred by the Statutes of 
Limitations of Various States at Docket No. 331. The Plaintiffs' response is at Docket No. 353, and the Defendants' reply brief is 
at Docket No. 384. The parties also submitted several supplemental  [*2] materials to the Court. The transcript of the oral 
argument on the motion is contained in the record at Docket No. 597."
66,2," Certain claims in the IPSAC are not, or are no longer, subject to this motion. Defendants have not moved to dismiss as time-
barred the Sherman Act claim, the Wisconsin antitrust and unjust enrichment claims, the California unjust enrichment claim, and 
all claims brought under the laws of Massachusetts, Nevada, New Mexico, and West Virginia. See Defs.' Mot. at 3 n.4. Certain 
other claims also are not subject to this motion: those state claims which the Court dismissed by granting in part the Defendants' 
prior Motion—the consumer protection claims arising under the laws of Kansas and New York, the North Dakota unjust 
enrichment claim, and the Plaintiffs' Utah Antitrust Act claim with respect to alleged damages occurring prior to May 1, 2006—
and those claims that Plaintiffs voluntarily withdrew, namely, all claims brought under Maine or Puerto Rico law, and the 
consumer protection claims brought under the laws of Michigan, South Dakota, and Wisconsin. To the extent that the motion sub 
judice sought to dismiss one of these claims that are no longer a part of the case,  [*3] the Court does not address that aspect of 
this motion."
