Page,Label,Text
22,1," The ""Flying J Plaintiffs"" include Flying J, Inc., TCH LLC, Transportation Alliance Bank, Inc., and TON Services, Inc."
22,2," Earlier  [*3] in the case, the Flying J Plaintiffs agreed to dismiss all claims against Defendants TA Operating Corporation and 
TravelCenters of America LLC. The order granting their joint motion for dismissal was entered on May 5, 2008 (see Dkt # 335). 
Accordingly, the Defendants now consist of the Pilot Defendants (Pilot Travel Centers LLC and Pilot Corporation) and Comdata."
22,3," Comdata moves to strike under Federal Rule of Civil Procedure 12(f), which allows the court to ""strike from a pleading an 
insufficient defense or any redundant, immaterial, impertinent, or scandalous matter."""
22,4," The Pilot Defendants did file a Reply, but it is, at least in part, improper because it relies on responses to interrogatories, which 
are not appropriate for consideration on a motion to dismiss. The court disregards those materials outside the pleadings that are 
presented by the Pilot Defendants."
22,5, The first five claims for relief also name the Pilot Defendants.
22,6," Because the First Amended Complaint refers to the Settlement Agreement (indeed both Comdata and Flying J attach it to their 
respective briefs), its contents may be considered part of the allegations the court considers when determining whether to grant "
23,," the 12(b)(6) motion to dismiss. See GFF Corp. v. Associated Wholesale Grocers, Inc., 130 F.3d 1381, 1384 (10th Cir. 1997) 
(holding that where a written contract is referred to in a complaint and is central to a breach of contract claim, but is not 
submitted for judicial review, an indisputably  [*6] authentic copy of the contract may be considered on a motion to dismiss 
without converting motion to one for summary judgment)."
23,7," Flying J does not allege violations under each of the other forty-five state antitrust acts. It simply provides the citation to each 
statute. Because the court should apply the law of the forum in which it sits (Utah), Flying J cannot maintain its alternative claims 
under other states' statutes. Indeed, the Plaintiffs say they ""alleged alternative claims under the applicable statute of each state 
that prohibits the unlawful conduct complained of in the FAC as protection in the event that this Court finds that the antitrust law 
of Utah is not the governing state law applicable  [*8] to Defendants' conduct. While Plaintiffs realize that applying the law of 
every one of these states to the claims in this case is not feasible (and Plaintiffs have no intention of attempting to proceed to 
trial under each of these state statutes), asserting alternative state law claims ensures that Plaintiffs will have recourse to state 
antitrust law if this Court were to find that the law of Utah does not apply."" (Pls.' Opp'n at 38.) Accordingly, the court dismisses 
those causes of action that do not arise out of Utah or federal antitrust laws. "
26,8," The Clayton Act provides the private cause of action  [*18] to sue under the Sherman Act and allows for monetary and 
injunctive relief. See 15 U.S.C. § 12 (called the Clayton Act, it nevertheless defines ""Antitrust Laws"" to include the Sherman Act); 
§ 15 (Clayton Act Section 4) (allowing for damages to person injured by antitrust violation); § 26 (Clayton Act Section 16) 
(allowing injunctive relief for private parties). "
27,9," ""Truck Fleets"" does not include local truck fleets and local truck drivers whose routes do not require an overnight stay away 
from home. "
28,10," Flying J notes that Comdata's request to dismiss any claim relating to the POS Systems Market is moot because the Plaintiffs 
do not allege harm to competition in that market. "
37,1," In the caption of the notice of appeal and appellate briefs, plaintiff did not include any reference to Corsaw Log & Lumber, Inc., 
or Illinois River Holdings, Inc. Accordingly, we consider Edwards, as the sole appellant. "
43,2," In the petition for reconsideration filed with this court on October 6, 2008, Edwards admits ""this action was brought by Kenin 
Edwards individually and as sole stockholder of his corporate entities."" (Emphasis added) "
50,1," Apple requests that the Court take judicial notice of several documents. For the reasons that follow, this order resolves Apple's 
motion without recourse to those documents. The request is therefore moot. "
51,2," Psystar's tying claim arises under Section 1 of the Sherman Act. It is unclear how Section 1 is applicable, as Psystar alleges 
only single-firm anticompetitive conduct. Apple, however, does not challenge the counterclaim on this basis. In any event, courts 
also allow tying theories under Section 2, at least where there is monopolization or attempted monopolization. "
