Page,Label,Text
26,1," Defendant USGI requested oral argument, but plaintiff CISSI indicated that it was unnecessary. The Court agrees in view of the 
extensive briefing and the excellent presentation of evidence by both parties. "
28,2," Plaintiff's claim also asserts violation of RCW 19.86.040, which essentially follows section 2 of the Sherman Act. The parties 
rely almost exclusively on federal cases."
28,3," Leveraging (use of market power in one market to gain advantage in another market) may violate antitrust law. Key 
Enterprises of Delaware, Inc. v. Venice Hospital., 919 F.2d 1550 (11th Cir. 1990), vacated, 979 F.2d 806 (11th Cir. 1992); but 
see Catlin v. Washington Energy Co., 791 F.2d 1343, 1346 (9th Cir. 1986) (reserving judgment' on the issue of monopoly 
leveraging as separate antitrust claim). "
30,4," Washington law recognizes that this statute is patterned after the Sherman Antitrust Act, and that the Legislature ""anticipated 
our courts would be guided by the interpretation given by the federal courts to the corresponding federal statutes. RCW 
19.86.920."" Ballo v. James S. Black Co., 39 Wash. App. 21, 692 P.2d 182 (1984)."
30,5," In Jefferson Parish, the Court's analysis was premised on section 1 of the Sherman Act. It is well to remember that in the 
instant case, the Court is examining an attempted exclusive dealing as it relates to Washington law. In doing so, it is relying on 
federal cases relying on federal antitrust law, but an attempt at exclusive dealing would probably fall under section 2 of the 
Sherman Act dealing with attempted monopolization, rather than section 1 (contracts, combinations and conspiracies). "
31,6," The Kodak case, supra, was analyzed generally under section 1 (prohibition against contracts, combinations and conspiracies) 
and unlike this case involved a clear requirement that purchasers of Kodak duplicating machines, purchase Kodak services. 
Moreover, Kodak had prevented the supply of parts to non-Kodak service agencies. Thus there was an obvious tying 
arrangement. The issue remanded on the district court's grant of summary judgment, however, was whether or not the tying was 
illegal -- that is, that it was not justified by business reasons."
31,7," Most of the cases refer to ""per se"" illegal tying arrangement, but not all tying arrangements are declared illegal. In her 
concurring opinion in Jefferson, supra, Justice O'Connor explained the history of this apparent anomaly and argued for 
abandoning the per se label: Some of our earlier cases did indeed declare that tying arrangements serve ""hardly any purpose beyond the suppression of 
competition."" Standard Oil Company v. United States, 337 U.S. 293, 305-306, 93 L. Ed. 1371, 69 S. Ct. 1051 (1949) 
(dictum). However, this declaration was not taken literally even by the cases that purported to rely upon it. In practice, a tie 
has been illegal only if the seller is shown to have ""sufficient economic power with respect to the tying product to 
appreciably restrain free competition in the market for the tied product . . ."" Northern Pacific RR. Co., 356 U.S. at 6."
31,466, U.S. at 32. 
42,1," In evaluating the merits of these motions, this court also considered the papers submitted by the Hospital Association of the 
State of New York, the New York State Society of Anesthesiologists and the Medical Society of the State of New York, which 
were granted permission to file amicus curiae briefs in this action."
42,2," HN1[
] Section 1 of the Sherman Act, 15 U.S.C. § 1, provides, in pertinent part: Every contract, combination in the form of trust or otherwise, or conspiracy, in restraint of trade or commerce among the 
several States, or with foreign nations, is declared to be illegal. "
44,3," With respect to this second element, there are several factors which a court may consider. These factors include: 1) the 
potential for duplicative recovery; 2) the existence of more direct victims of the alleged antitrust violation; 3) the directness of the 
injury; 4) whether the claim for damages rests on some abstract conception or speculative measure of harm; 5) the nature of the 
plaintiff as a consumer or a competitor in the relevant market; and 6) the causal connection between the asserted antitrust 
violation and the harm to the plaintiff. Associated Gen'l Contractors of Calif., Inc. v. California State Council of Carpenters, 459 
U.S. at 537-45, 103 S. Ct. at 908-12, 74 L. Ed. 2d 723; see also Cargill, Inc. v. Monfort of Colo., Inc., 479 U.S. 104, 110, 111 n.6, 
107 S. Ct. 484, 489, 490 n.6, 93 L. Ed. 2d 427 (1986); Blue Shield of Va. v. McCready, 457 U.S. 465, 474-85, 102 S. Ct. 2540, 
2545-51, 73 L. Ed. 2d 149 (1982); Eastway Constr. Corp. v. City of New York, 762 F.2d 243, 250-51 (2d Cir. 1985); Triple M 
Roofing Corp. v. Tremco, Inc., 753 F.2d 242, 247 (2d Cir. 1985). "
45,4," The court notes that Balaklaw's allegations regarding the ""sham"" nature of the due process hearing that was conducted prior to 
his ouster appear to the court to be more appropriate in the context of a breach of contract or intentional interference with 
contractual relations action, rather than an antitrust claim. See, e.g., Chuz v. St. Vincent's Hosp. & Medical Ctr., 186 A.D.2d 
450, 589 N.Y.S.2d 17 (1st Dep't 1992); Saha v. Record, 177 A.D.2d 763, 575 N.Y.S.2d 986, 988 (3d Dep't 1991); Giannelli v. 
St. Vincent's Hosp. & Medical Ctr., 160 A.D.2d 227, 553 N.Y.S.2d 677 (1st Dep't 1990). "
46,5," See generally amended complaint, PP 21-39. "
48,6," The letter of December 5, 1991 which was jointly signed by Mr. Lovell as Hospital President and Mr. Wesley D. Stisser as 
Chairman of the Board of Trustees and addressed to the members of the Medical Staff, provided, in part, as follows: The Board of Trustees, in a specially held meeting on December 3, 1991, approved a resolution that directs the President 
of the Hospital to elicit proposals from anesthesiologists, both in our community and in a much broader geographic area. 
The intent of the Board of Trustees is to contract exclusively with one group to provide all anesthesia services at our 
Hospital. . . . After the group awarded the exclusive contract is in place, any other anesthesiologists now having privileges at the Hospital 
will be unable to utilize those privileges to provide anesthesia care at Cortland Memorial. . . . See Exhibit F of the Seymour Declaration. "
57,1," Also known as the Automobile Franchise Act, 15 U.S.C. §§ 1221-1225. For convenience, this Act will be referred to hereinafter 
as the ""Dealers' Act""."
57,2," New York Vehicle and Traffic Law § 460 et seq., referred to hereinafter as the ""New York Franchise Act"". "
61,3," This market is District 42 of GM's New York Marketing Center, which comprises a number of upstate New York and 
Pennsylvania counties. See Sergo Affid., exh. G. "
63,6, The court also noted that the Brigadier line accounted for over 70% of GM's heavy duty truck sales in 1987. 
