Case Index ,Core Terms
Case 1     ,"grid, monopolize, termination, distributor, distributorship, antitrust, products, contracts, summary judgment, tying
            arrangement, breach of contract, Sherman Act, manufactured, probability, dealership, parties, refers, plaintiff's
            claim, relevant market, three-year, commerce, monopoly, prices"
Case 2     ,"conspiracy, antitrust, medical staff, anti trust law, Sherman Act, defendants', anesthesia, summary judgment
            motion, amended complaint, anti-competitive, allegations, conspired, exclusive contract, competitors, geographic,
            conscious, parties, staff, plaintiff's claim, summary judgment, injunction, privileges, purposes, alleged conspiracy,
            parallelism, assertions, injuries, lawsuit, genuine issue of material fact, unreasonable restraint"
Case 3     ,"franchise, trucks, heavy duty, dealer, addendum, termination, plaintiff's claim, summary judgment, damages,
            summary judgment motion, manufacturers, Sherman Act, conspiracy, Memorandum, alleges, defendants',
            distributor, calculate, cancelled, Reply, admissible evidence, Stock, cause of action, dealership, papers,
            anticompetitive, market share, antitrust, adduced, Dealers' Act"
Case 4     ,"sham, lawsuit, probable cause, antitrust, competitor, immunity, baseless, sham exception, anticompetitive, genuine,
            merits, cases, summary judgment, infringement, motivation, objectively reasonable, government action, videodiscs,
            courts, copyright infringement, realistically, motion picture, Sherman Act, proceedings, repetitive, subjective intent,
            judicial process, anti trust law, collateral, discovery"
Case 5     ,"costs, district court, noticed"
Case 6     ,"chocolates, boxed, drugstores, chain, manufacturers, retail, merchandisers, products, Memorandum, gift,
            acquisition, preliminary injunction, parens patriae, confectionery, purposes, anti trust law, marketers, market share,
            competitor, antitrust, compete, sales, branded, prices, outlets, shelf, space, relevant market, regional, injunction"
Case 7     ,"forum-selection, clauses, motion to dismiss, Importer, parties, Robinson-Patman Act, prices, amended complaint,
            antitrust claim, contract claim, allegations, negotiated, discovery, dealers, termination, disputes, courts, continental
            united states, antitrust, retailers, seller, inconvenience, contractual, forum non conveniens, summary judgment, anti
            trust law, public policy, sells, cause of action, convenient"
Case 8     ,"summary judgment, district court, prima facie case, antitrust, supplemental brief, grant summary judgment,
            competitors, Petroleum, parties, sales"
Case 9     ,"media, damages, distributor, pound, manufacturer, sales, conspiracy, Robinson-Patman Act, antitrust, new trial,
            terminated, prices, resale price, Sherman Act, customer, wholesale price, district court, stock, retail price, products,
            dealer, discount, vertical, dollars, kickbacks, plant, designation, projections, delivery, profits"
Case 10    ,"settlement, district court, damages, antitrust claim, antitrust, purchaser, purchase agreement, aircraft, overcharge,
            Jet, fee award, attorney's fees, setoff, summary judgment, settlement agreement, settle, parties, trebled, plane,
            offset, assigned, general assignment, anti trust law, pretrial, Clayton Act, manufacturers, transferred, mandatory,
            allocate, rights"
Case 11    ,"dock, damages, railroads, steel, steel company, district court, conspiracy, self-unloader, rates, antitrust, transport,
            handling, iron ore, vessels, competitors, trucking, anti trust law, trucking company, claim for damages, non-railroad,
            plaintiffs', lake, causation, factors, lease, limitations period, the will, calculation, asserting, savings"
Case 12    ,"trial court, plaintiffs', banking, discovery, documents, intellectual property rights, trial court's dismissal, racketeering,
            diskettes, grant summary judgment, intellectual property, duplication, collateral, practices, summary judgment
            motion, fraudulent concealment, outstanding loan, antitrust claim, communications, antitrust, infringe, patents,
            security interest, summary judgment, circumstances, inducement, ownership, loans"
Case 13    ,"tests, pricing, monopoly power, merits, leveraging, purchasers, blood, preliminary injunction, monopolize,
            monopoly, argues, percent, technology, centers, package, buy, customer, alleges, switch, irreparable harm,
            Sherman Act, markets, serious question, negotiate, irreparable injury, software, buyer, competitive advantage, tied
            product, anti-competitive"
Case 14    ,"privileges, patients, radiology, referrals, conspiracy, clinic, bylaws, exclusive contract, Diagnostic, antitrust,
            membership, Pathologists, radiologist, negotiations, internal medicine, specimen, needle, staff, recommendation,
            accommodate, specialty, breast, no evidence, competitors, practicing, undisputed, placement, courtesy,
            defendants', termination"
Case 15    ,"anti-tying, stock, limitations period, district court, damages, benefits, argues, promissory note, purchase stock, four
            year, third-party, four-year, buy, statute of limitations, anti trust law, limitations, speculative, unprovable, correctly,
            evidenced, occurring, borrower, mortgage, latest"
Case 16    ,"software, customer, market power, hardware, suppliers, tying product, switching, matter of law, aftermarkets,
            manufacturer, prices, minicomputers, automotive, derivative, consumer, package, costs, district court, locked-in,
            license"
Case 17    ,"Settlement, cause of action, unfair trade practice, preliminary approval, state antitrust law, alleged violation,
            punitive damages, final judgment, best interest, insurance law, class member, common law, prosecuting, equitable,
            trebled, costs"
