Case Index ,Core Terms
Case 1     ,"statute of limitations, expo, defendants', motion to dismiss, relevant market, allegations, fraudulent concealment,
            monopolize, plaintiff's claim, discovery rule, equitable tolling, market power, Sherman Act, anti-competitive,
            antitrust, concealed, violations, tolled, equitable estoppel, franchise tax, advertising, due diligence, radio station,
            Additionally, discovery, venture, attempt to monopolize, motion to strike, limitations, conspiracy"
Case 2     ,"patent, sales, inequitable conduct, antitrust, district court, beads, prior art, omission, ice cream, temperature, steps,
            counterclaim, patentee, infringement, fraudulent, serving, unenforceability, summary judgment, attorney's fees,
            
            
            Page 2 of 14
            
            critical date, Clayton Act, noninfringement, invalid, comprising, practiced, disclose, misrepresentation, free-flowing,
            alimentary, deceptive"
Case 3     ,"tools, relevant market, manufacturing, amended complaint, antitrust, brand, motion to dismiss, microchip,
            interchangeable, refurbished, monopolization, buyers, Sherman Act, monopoly, products, allegations, tortious,
            pleaded"
Case 4     ,"conspiracy, prices, cost-plus, plaintiffs', purchaser, communications, output, antitrust, contracts, summary judgment,
            defendants', collusive, alleged conspiracy, direct evidence, emails, pre-existing, circumstantial evidence,
            competitors, summary judgment motion, manufacturers, participated, overcharge, exhibits, seal, market share,
            auction, pass-on, price-fixing, Declaration, hearsay"
Case 5     ,"Recommendation, Defendants', license, property interest, conscience, shock, district court, due process,
            substantive due process, violations, rights, procedural due process claim, shutdown, immunity, camps, motion to
            dismiss, retaliation claim, deprived, substantive due process claim, foster child, allegations, antitrust, employees,
            contends, lobbying, grounds, entity, foster"
Case 6     ,"registers, copies, records, Sherman Act, immunity, deeds, public body, state-action, district court, enhanced, public
            record, anticompetitive, authorizes, bulk, non-paper, contracts, reproduction, municipality, discount, state policy,
            articulated, foreseeable, purchasers, inspection, powers, anticompetitive conduct, unofficial, no-resale, digital,
            challenged practice"
Case 7     ,"patents, antitrust, Counterclaims, alleges, sham, patentee, infringement, tests, motion to dismiss,
            misrepresentation, antitrust violation, anti-competitive, declarations, procurement, compounds, immunity, generic"
Case 8     ,"electricity, wholesale, rates, regulation, antitrust, energy, preemption, damages, market-based, filed rate doctrine,
            tariffs, prices, anti trust law, federal preemption, defendants', plaintiffs', principles, markets, demurrer, refunds,
            preempted, trial court, court of appeals, charges, manipulation, federal court, anticompetitive conduct, transmission,
            interstate, violations"
Case 9     ,"affirmative defense, matter of law, antitrust, duty to mitigate, Preservation, notice, mitigate, enterprise, preempts,
            courts"
Case 10    ,"discount, wholesalers, distributors, cigarettes, customers, brands, purchasers, sales, target, price discrimination,
            pricing, competitors, plaintiffs', savings, volume, products, manufacturer, fourth-tier, Robinson-Patman Act, retail,
            dealers, quantity, buyer, favored, district court, best price, formula, levels, take advantage, commodities"
Case 11    ,"Plaintiffs', allegations, permission, rights, Defendants', conspiracy, employees, limitations, damages, reasonable
            accommodation, breach of contract, motion to dismiss, cause of action, contractual, complaints, exhaustion,
            grievances"
Case 12    ,"patent, Plaintiffs', purchasers, indirect, preempted, argues, sham, cases, competitors, federal patent law, standing
            to bring, parties, antitrust, motion to dismiss, inequitable conduct, lack standing, patent holder, patent law,
            Defendants', state law, infringement, customers, Consolidated, antitrust claim, monopolization, marketplace, bad
            faith, cause of action, federal law, allegations"
Case 13    ,"royalties, antitrust, lease, settlement, Plaintiffs', mineral, Ownership, anti trust law, anticompetitive, summary
            judgment, competitors, sections, Stream, allegations, consumers, lessor, oil, antitrust claim, drainage, extract,
            genuine, parties, lessee, seller, terms"
Case 14    ,"allegations, commerce, subject matter jurisdiction, motion to dismiss, contends, prices, state law claim,
            microprocessors, antitrust, Sherman Act, domestic, reasonably foreseeable, consumer"
Case 15    ,"licenses, infringing, Software, install, sales, counts, patent, products, injunction, user, spreadsheet, per unit, escrow,
            royalty, customers, permanent injunction, functionality, reexamination, database, damages, dollars, eBay,
            irreparable harm, parties, irreparable injury, circumstances, discovery, licensees, Dissolve, contempt"
Case 16    ,"Bath, depo, plaintiffs', boycott, antitrust, conspiracy, horizontal, competitors, tableware, defendants', rollout,
            manufacturers, conspire, group boycott, damages, cases, alleged conspiracy, department store, summary
            judgment, retailers, vertical, anti trust law, products, summary judgment motion, motive, chain, circumstantial
            evidence, alleged agreement, collusion, suppliers"
Case 17    ,"website, trial court, counterfeit, surgeries, sanctions, default, cross-complaint, documents, damages, medicine,
            terminating sanctions, public affairs, preliminary injunction, patients, unfair, cause of action, propria persona, court
            rule, discovery, exemption, contends, likeness, training, vascular, vexatious litigant, punitive damages, attorney's
            fees, domain name, injunction, persuasive"
Case 18    ,"alleges, website, monopolization, search engine, advertising, user, relevant market, Internet, motion to dismiss,
            antitrust, leave to amend, public forum, anticompetitive, competitors', sites, argues, unfair, state action, asserts,
            public interest, Blockage, termination, purposes, Web, Sherman Act, manipulation, exclusionary, anti-SLAPP,
            defamation, Deflation"
Case 19    ,"Google, advertising, allegations, proposed complaint, motion to dismiss, monopolization, pricing, website, relevant
            market, monopolies, leave to amend, Sherman Act, Internet, appears, Cartwright Act, Donnelly Act, consumer,
            click, amended complaint, discriminatory, practices, keyword"
Case 20    ,"anti-SLAPP, Defendants', alleges, counterclaim, motion to dismiss, merits, litigation privilege, termination, amended
            complaint, motion to strike, malicious, summary judgment motion, privacy, prong, leave to amend, personnel file,
            Lanham Act, retaliation, discovery, official proceedings, definite statement, abuse of process, discriminatory, quasi-
            judicial, declaration, motions, argues, amend, costs, facie"
Case 21    ,"antitrust, dealers, consumers, allegations, complaints, conspiracy, consumer fraud, plaintiffs', indirect"
Case 22    ,"plaintiffs', class action, prices, antitrust, arbitrage, statewide, ending, certification, discovery, consumer, damages,
            class certification, consumer protection, federal court, conspiracy, named plaintiff, certify"
Case 23    ,"providers, preferred provider, insurers, subscribers, antitrust, physical therapy, restrictions, geographic, contracting,
            rates, anti trust law, negotiate, immunity statute, healthcare, efficient-sized, formation, plans, unfair competition,
            patients, health care service plan, violates, compete, costs, physical therapist, Cartwright Act, regulations,
            immunized, forces"
Case 24    ,"arrest, district court, qualified immunity, chair, summary judgment, photographs, domestic battery, scratched,
            probable cause, overturned, responded, Hello, summary judgment motion, police officer, downstairs, insolent,
            angry, juice, touch, jail, neck, rude"
Case 25    ,"antitrust, products, distributor, allegations, resale price, consumer, anti trust law, manufacturer, competitor, prices,
            amended complaint, retailers, motion to dismiss, enforcer, damages"
Case 26    ,"customers, mergers, Tunney Act, amici, proposed settlement, final judgment, public interest, connections, antitrust,
            Divestiture, network, factors, parties, carriers, remedies, settlements, complaints, mockery, harms, divested,
            markets, firms, last-mile, Reply, violations, fiber, district court, merging, judicial power, competitors"
Case 27    ,"targeting, exemption, projects, anti trust law, antitrust, self-interest, wages, summary judgment, bargaining, Davis-
            Bacon Act, contractors, conspiracy, violates, subsidy, steel, hire"
