Case Index,Core Terms
Case 1,"antitrust, allegations, Air, government contract, municipal, immunity, relevant market, motion to strike, defendants', 
violations"
Case 2,"suspension, cases, precautionary, antitrust, immunity, clinic, defamation claim, confidentiality, recommendation, 
privileges, tortious interference, corrective action, patients, quality of care, staff, summary judgment motion, 
moonlighting, questions, parties, defendants', damages, reasonable belief, medical staff, nurses, breach of contract 
claim, reasonable jury, charts, notice, reasonable effort, summary judgment"
Case 3,"multiplier, superior court, lodestar, enhancement, attorney's fees, calculated, settlement agreement, face value, 
common fund, parties, common fund doctrine, class member, rates, awards, class action, risks, cases, abuse of 
discretion, lodestar figure, cy pres, factors, abused, common fund case, fee-shifting, prevailing, settlement, antitrust, 
courts, prevailing party, purchasers"
Case 4,"Cigarettes, retail, discounts, domestic, prices, brands, consumers, reimported, selling, trademarks, additives, 
products, sales, district judge, manufacturers, antitrust, customers, wholesale price, district court, producers, 
material difference, conspiracy, discovery, abroad, market power, gray market, Lanham Act, horizontal, documents, 
dealers"
Case 5,"payphones, franchise, install, res judicata, telecommunications, regulation, plaintiff's claim, advertising, allegations, 
recommended, providers, damages, franchise agreement, immunity, pay telephone, antitrust, motion to dismiss, 
curb line, sidewalks, statute of limitations, amended complaint, respectfully, telecommunications service, rights, 
anticompetitive, provisions, entity, private right of action, asserts, municipality"
Case 6,"antitrust, Defendants', Sherman Act, conspiracy, fails, Otolaryngology, motions, antitrust claim, anti trust law, 
anticompetitive, geographic, allegations, motion to dismiss, relevant market, essential element, medical staff, failure 
to state a claim, motion for judgment, Pleadings, on-call, staff privileges, conclusory, monopolize, conspired"
Case 7,"Defendants', printing, supplements, res judicata, collateral estoppel, antitrust, motion to dismiss, advertising, 
sanctions, lawsuit, allegations, newspaper, plaintiff's claim, Sherman Act, violations, Editorial, parties, legal theory, 
injunctive, monopoly"
Case 8,"summary judgment, state actor, health system, recommendation, Defendants', antitrust, Credentials, allegations, 
privileges, motion to dismiss, staff privileges, patients, genuine issue of material fact, supplemental jurisdiction, 
Sherman Act, conspiracy, medical staff, peer review, amended complaint, private entity, affiliation, concerted action, 
district court, state action, no evidence, revocation, staff, cases, clinical privileges, sub judice"
Case 9,"chipsets, technology, patents, license, competitor, monopolization, alleges, antitrust, amended complaint, 
manufacture, anti trust law, markets, anticompetitive conduct, terms, Sherman Act, acquisition, monopoly, 
anticompetitive, licensees, cell phone, discounts, monopoly power, foreclose, asserts, Clayton Act, commerce, 
seller, buyers, coercion, products"
Case 10,"antitrust, cable, acquisitions, Plaintiffs', geographic, Sherman Act, swap, statute of limitations, competitors, alleges, 
monopolization, subscribers, clusters, prices, motion to dismiss, markets, transactions, anticompetitive, anti trust 
law, cable system, argues, damages, relevant market, franchise, antitrust violation, Defendants', allocations, 
horizontal, courts, merger"
Case 11,"electrical, punitive damages, light fixture, foreseeability, summary judgment, stairwell, hazard, infliction of emotional 
distress, severe emotional distress, wanton conduct, concert, ticket, no evidence, willful, summary judgment motion, 
light most favorable, emotional distress, corporate veil, negligent act, convincing, outrageous, bifurcate, proximate, 
arrived, factors, friends, notice, plaza"
Case 12,"ophthalmologists, optometrists, provider, managed care, facilities, surgical, panels, conspiracy, antitrust, enrollees, 
privileges, patients, seller, tied product, conspire, plans, termination, complaints, district court, economic interest, 
tying product, buyer, healthcare provider, tying arrangement, Sherman Act, products, concerted action, summary 
judgment, healthcare, monopolize"
Case 13,"unfair methods of competition, physician-plaintiff, practices, arbitration, unfair, allegations, Participating, patients, 
reimbursement, circuit court, deceptive act, tortious interference, pleadings, prospective economic advantage, 
marks, arbitration clause, quotation, motion for judgment, dispute resolution, resources, plaintiffs', inter alia, 
consumers, parties, antitrust, exhaust, disputes, organizational, inasmuch, damages"
Case 14,"Anesthesia, antitrust, anticompetitive, Anesthesiologists, exclusive contract, defendants', district court, summary 
judgment, anti trust law, pain management, anesthesiology, practicing, antitrust violation, starting point, conspiracy, 
injuries, chain, Sherman Act, subcontract, effects, factors, prices, cases"
Case 15,"circuit court, tying arrangement, Anti-Trust, class action, class certification, counterclaim, subject-matter"
Case 16,"beer and wine, retailers, policies, sales, enjoining, pending appeal, enforce a law, below-cost, prices, public interest, 
wholesalers, producers, liter, wine, irreparable harm, sale of beer, manufacturers, distributors, tier, antitrust, 
products, regular, session"
Case 17,"caskets, funeral home, consumers, conspiracy, motion to dismiss, allegations, market power, Plaintiffs', antitrust, 
prices, group boycott, disparagement, Sherman Act, anticompetitive, manufacturers, rule of reason, horizontal, 
boycott, funeral, sales, alleged conspiracy, consolidated, overcharges, monopolize, conspired, compete, conspiracy 
to monopolize, unfair competition, standing to sue, price-fixing"
Case 18,"technology, relevant market, software, Networks, allegations, users, interchangeable, Defendants', continuity, 
predicate act, Digital, license agreement, amended complaint, file-sharing, antitrust, rights, amend, pattern of 
racketeering activity, racketeering activity, Sherman Act, monopolization, fraudulent, consumers, right of first 
refusal, motion to dismiss, claim for relief, cross-elasticity, conspiracy, disabling"
Case 19,"antitrust, alleges, defendants', cardiology, conspiracy, staff, patients, anticompetitive, cardiac, economic interest, 
anti trust law, competitor, lab, relevant market, catheters, practices, purposes, courts"
Case 20,"products, antitrust, distributors, customers, competitor, allegations, vertical, manufacturer, termination, prices, 
conspiracy, geographic, conspired, motion to dismiss, relevant market, argues, rule of reason, courts, antitrust 
claim, anti trust law, antitrust violation, Sherman Act, deceptive trade practices, power transmission, unilateral, 
unfair"
Case 21,"allegations, relevant market, student-athletes, products, colleges and universities, motion to dismiss, Basketball, 
geographic, Football, athletes, cap, interchangeable, compete, schools, buyers"
Case 22,"Lease, Tenant, circuit court, good faith, Premises, summary judgment motion, counterclaim, rent, unfair 
competition, fair dealing, amended complaint, Convenience, termination, practices, damages, summary judgment, 
emotional, negotiate, covenant, orders, unfair, unfair methods of competition, obligations, consumer, guaranty, 
parties"
Case 23,"manufacturer, dealer, distributor, vertical, replacement part, terminated, summary judgment, dealerships, horizontal, 
phones, sells, brand name, discovery, restraint of trade, rule of reason, Sherman Act, cases"
Case 24,"cigarettes, defendants', plaintiffs', smokers, damages, conspiracy, causation, predicate act, smoking, lights, 
purchaser, tar, enterprise, summary judgment, commit, Brick, certification, Appeals, mail, fraudulent, wire fraud, 
misrepresentations, indirect, cases, class action, target, costs, summary judgment motion, class certification, 
racketeering"
Case 25,"cigarettes, smokers, damages, plaintiffs', defendants', tar, smoking, class action, lights, nicotine, descriptor, 
consumers, statute of limitations, cases, disclosures, brands, courts, class member, regular, conspiracy, 
advertising, marketing, Appeals, parties, class representative, summary judgment, matter of law, enterprise, 
estimate, collateral estoppel"
Case 26,"fluid recovery, Cigarettes, Defendants', damages, court of appeals, Tobacco, Smoking, cases, class action, 
settlement, Nicotine, Tar, class member, courts, Marketing, district court, Youth, consumer, notice, Addiction, 
Smokers, parties, witnesses, grounds, aggregate, fluid, distributed, Enterprise, plaintiffs', certification"
Case 27,"trademark, declaratory judgment, real estate, infringement, motion to dismiss, alleges, antitrust, counterclaim, 
immune, exclusive right, inter alia, marks, products, brokerage services, injunctive, register, generic, suffix"
Case 28,"domestic, effects, commerce, contends, allegations, Sherman Act, microprocessors, customers, subject matter 
jurisdiction, monopolization, sales, foreign commerce, export, foreign nation, give rise, antitrust claim, anti trust law, 
direct effect, world-wide, antitrust, causation, alleged conduct, foreign country, lost sales, foreseeable, import"
Case 29,"antitrust, distributor, anti trust law, manufacturer, competitors, monopolization, aggregate, Defendants', 
anticompetitive, integration, monopoly, lack standing, consumers, producers, motion to dismiss, relevant market, 
middleman, Plaintiffs', damages, prong, Clayton Act, Sherman Act, derivative, monopolist, vertically, enforcer, 
Stone, alleged injury, district court, injuries"
Case 30,"manuals, fair use, aircraft, maintenance-tracking, factors, secondary market, infringement, copying, purposes, 
weighed, misuse, copyrighted work, derivative work, customers, argues, anticompetitive, antitrust, tracking, sales"
Case 31,"cartridges, remanufacturers, microchips, antitrust, toner, claim for relief, relevant market, consumers, supplier, 
competitors, alleges, Counterclaim, antitrust violation, selling, antitrust claim, customers, printers, damages, factors, 
Unfair, inter alia, Lanham Act, conspiracy, indirect, affirmative defense, prudential standing, anti trust law, 
anticompetitive, users, deceptive trade practices"
Case 32,"commissions, tickets, termination, airline, override, customers, competitors, selling, antitrust, prices, travel, volume, 
sales"
Case 33,"Medicare, transports, ambulance, contracts, rates, discount, patients, provider, billing, contract rate, Defendants', 
remuneration, fair market value, Payor, costs, ambulance service, summary judgment, negotiated, quick-pay, willful, 
reimbursement, referrals, reimbursement rate, kickback scheme, expert testimony, adduced, invoice, knowingly and 
willfully, regulations, provisions"
Case 34,"allegations, Lawyers, Movie, amended complaint, antitrust, asserts, conspiracy, lawsuit, motion to dismiss, compact 
disc, defendants', license, predicate act, mail, Counts, abstention, consumer, abstain, induced, cases, complaints, 
technology, prices, conflicting interest, parties, fails, wire, breach of fiduciary duty, purchase agreement, anti trust 
law"
Case 35,"discovery, copper, tube, class certification, plumbing, merits, motions, bifurcation, plaintiffs', consolidated, 
defendants', parties, amended complaint, motion to dismiss, conspiracy, antitrust, jurisdictional issue, class action, 
personal jurisdiction, depositions, prices, conditions, geographic, reply, lack of personal jurisdiction, dispositive 
motion, challenging, personam, alleges, staying"
Case 36,"insurers, Broker, conspiracy, enterprise, contingent, Complaints, allegations, steering, commissions, insurance 
business, Plaintiffs', commission agreement, bid-rigging, entities, practices, conspired, insurance company, alleged 
conspiracy, premium, bids, Defendants', fiduciary, commercial insurance, motion to dismiss, anti trust law, Sherman 
Act, antitrust, exemption, Broker-Centered, particularity"
Case 37,"cosmetics, plaintiffs', products, Retail, Defendants', terminate, preliminary injunction, promissory estoppel, anti trust 
law, competitors, injunction, promise, merits, antitrust, brand, irreparable harm, manufactured, sales, substantial 
likelihood, provisional remedy, implied contract, allegations, establish standing, retail outlet, distributors, franchise, 
temporary restraining order, status quo, distributorship, reinstatement"
Case 38,"antitrust, shareholder, district court, Dealer, anti trust law, conspiracy, dealership, competitor, manufacturer, injuries, 
antitrust violation, automobile dealer, motion to dismiss, damages, franchise agreement, antitrust claim, relevant 
market, conspirators, allegations, investors, consumer, selling"
Case 39,"bid, auction, relevant market, antitrust, anti trust law, district court, competitor, acquisition, monopoly, lessen, 
allegations, consumers, purchaser, bowling, merger, violation of antitrust laws, monopolist, violations, steel"
Case 40,"conspiracy, leaks, meetings, tanks, conspired, defendants', antitrust, petitioning activity, plaintiffs', exchanging 
information, conspiratorial, summary judgment, detection, factors, costs, sites, alleged conspiracy, anti trust law, 
memorandum, exchanges, gasoline, lobbying, jointly, Oil, competitors, clean-up, shielded, upgrade, amended 
complaint, contamination"
Case 41,"public disclosure, allegations, antitrust, privileges, anti trust law, fraudulent, pediatric, faculty, Anti-kickback, funding, 
on-call, qui tam, improprieties, enumerated, referrals, patients, regulation, clinical, teaching, financial relationship, 
antitrust violation, peer review, certifications, conspirators, competitor, disclosure, hired, referring physician, 
transactions, termination"
Case 42,"motion to dismiss, watch, branding, global, personal jurisdiction, products"
Case 43,"Cooperatives, patronage, plaintiffs', district court, refunds, rates, electric, antitrust, state law, contracts, judicial 
review, derivative, state-law, records, distributing, shareholders, contractual, constitutional claim, purposes, courts, 
breach of fiduciary duty, property interest, immunity, pre-suit"
Case 44,"preliminary injunction, district court, manufacturers, tobacco, Escrow, escrow deposit, federal court, products, 
delisting, join, Allocable Share Amendment"
Case 45,"franchisees, retailers, anti trust law, monopolize, prices, consumers, bottlers, soft drink, courts, brand, commerce, 
region, markets, antitrust, relevant market, competitors, damages, advertising, presume, anticompetitive, 
carbonated, products, no evidence, display, cases, space, restraint of trade, competing product, federal court,"
