Case Index,Core Terms
Case 1,"Carbone, tolling, products, class action, electrical, motion to dismiss, antitrust, purchases, statute of limitations, 
Plaintiffs', commerce, conspiracy, prices, principal place of business, fraudulent concealment, limitations, domestic, 
Global, personal jurisdiction, allegations, contacts, Sherman Act, concealment, damages, cartel, federal claim, 
subject matter jurisdiction, plaintiff's claim, nationwide, notice"
Case 2,"domestic, Plaintiffs', allegations, amended complaint, prices, anti-competitive, effects, Sherman Act, conspiracy, 
antitrust, fraudulent concealment, chemicals, motion to dismiss, injuries, rubber, individual defendant, 
anticompetitive conduct, Defendants', give rise, price-fixing, damages, subject matter jurisdiction, due diligence, 
commerce, markets, causal, statute of limitations, but-for, abroad, comity"
Case 3,"casinos, tunica, district court, concerted action, competitors, horizontal, conspiracy, domain name, per se rule, 
cases, summary judgment, boycott, conspirators, group boycott, antitrust, lease, restraint of trade, concerted 
refusal, anticompetitive, advertise, per se violation, antitrust claim, website, email"
Case 4,"Purchaser, Bidder, Bidding, Prevailing, Lease, Notice, Cure, executory contract, Selling, Auction, parties, Dura, 
Affiliates, Liens, Landlord, Tenant, bankruptcy court, termination, transactions, obligations, consummate, terms, 
approving, Environmental, assign, warranties, documents, license, rights, Stalking"
Case 5,"plea agreement, movants, grand jury, carve, co-conspirators, grand jury investigation, employees, disclosure, 
injunction, unindicted, cooperate, press release, proceedings, provisions, accusations, Antitrust, ongoing, 
subsidiaries, Intervene"
Case 6,"conspiracy, antitrust, damaged, insurer, motion to dismiss, allegations, prices, repair, immovable property, 
calculating, horizontal, market price, price fixing, databases, anti-competitive, Defendants', price-fixing, adjuster, 
terms, breach of contract claim, insurance contract, repair service, homeowner's, injuries, payout, class action 
allegations, computer software, replacement cost, market value, fair market"
Case 7,"movants, plea agreement, co-conspirators, provisions, carve, Air, Antitrust, accusations, cooperation, wrongdoing, 
employees, seal, transportation, subsidiaries, unindicted"
Case 8,"arbitration, arbitration agreement, multiple damages, statute of limitations, consumer, severing, waivable, class 
action, damages, antitrust statute, parties, limitations period, treble damages, provisions, ambiguity, customers, 
contractually, four-year, one-year, statutory right, discretionary, vindicating, waived, remedies, compel arbitration, 
direct conflict, first instance, antitrust, willful, cable"
Case 9,"purchasers, indirect, antitrust, consumer protection, unfair, superior court, consumers, defendants', damages, bring 
suit, allegations, practices, pricing, injured person, plaintiffs', deceptive, tobacco, anticompetitive, persuasive, 
monopoly, indirectly, pleadings, parties, unfair methods of competition, plain language, actual damage, class action, 
commerce, injuries, purposes"
Case 10,"casket, monopolization, purchasers, anti trust law, indirect, antitrust, class certification, named plaintiff, Plaintiffs', 
motion to dismiss, allegations, lack standing, fraudulent concealment, cause of action, standing issue, standing to 
bring, federal court, state law, funeral, highest court, certification, parties"
Case 11,"medical group, cause of action, termination, trial court, plaintiffs', prospective economic advantage, defendants', 
anesthesiologists, corporate practice, medicine, termination notice, summary judgment, corporate practice doctrine, 
anesthesia, negotiate, summary judgment motion, grant summary judgment, documents, parties, unfair competition, 
Cartwright Act, anesthesiology, first amended complaint, judicial notice, anesthetist, antitrust, ban, discovery, 
injuries, triable issue of fact"
Case 12,"downtime, Inland, plaintiffs', summary judgment motion, inventory, conspiracy, opportunity cost, purchases, tolling, 
prejudgment interest, damages, machine, linerboard, antitrust, Defendants', prices, statute of limitations, 
Memorandum, Container, containerboard, corrugated, conspire, increased price, class member, tons, class period, 
direct-action, tends, act independently, class action"
Case 13,"allegations, motion to dismiss, Realtors, arbitration, Counts, expectancy, Antitrust, Sherman Act, tortious 
interference, conspiracy, parties, defamation, defendants', derogatory statement, ethics, interstate commerce, 
definite statement, interfered, non-profit, bylaws, code of ethics, anticompetitive, boycott, specific allegation, 
contends, reasonable expectation, encouragement, motion to compel arbitration, subject to arbitration, arbitration 
agreement"
Case 14,"insurers, conspiracy, brokers, Antitrust, contingent, incumbent, amended complaint, broker-centered, horizontal, 
commissions, plaintiff's claim, consolidated, allegations, global, alleged conspiracy, customers, premium, Plaintiffs', 
renewal, conspiring, disclosure, disclose, Particularity, competitors, exemption, practices, markets, motion to 
dismiss, anti trust law, Sherman Act"
Case 15,"purchaser, attorney general, indirect, parens patriae, plaintiffs', antitrust statute, Antitrust, defendants', natural 
person, allegations, consumer protection, Cartwright Act, damages, political subdivision, state agency, suits, 
government entity, intrastate, consumers, motion to dismiss, cases, bring suit, state law, residents, provisions, 
commerce, non-California, claim for relief, monetary damages, out-of-state"
Case 16,"technology, patent, chipset, monopolization, monopoly power, monopoly, deceptive, antitrust, markets, district 
court, license, anticompetitive conduct, standard-setting, terms, anticompetitive, competitors, relevant market, anti 
trust law, Sherman Act, acquisition, manufacturers, inclusion, consumers, practices, prices, market share, 
allegations, probability, proprietary, commerce"
Case 17,"discounts, bundled, pricing, products, costs, rival, price discrimination, insurers, secondary, predatory, 
anticompetitive, district court, competitor, monopolization, antitrust, seller, exclusionary, producer, tertiary, coercion, 
variable, cases, primary-line, preferred provider, anti trust law, below-cost, purchasing, package, rebates, consumer"
Case 18,"elevators, allegations, conspiracy, Sherman Act, anticompetitive, competitors, monopolize, antitrust, conspiracy 
claim, district court, unilaterally, prices, maintenance services, defendants', misconduct, markets"
Case 19,"cause of action, customer, alert, credit report, bureaus, affiliates, trade libel, barge, prospective economic 
advantage, damages, entity, Tug, third amended complaint, end user, demurrer, unfair competition, Cartwright Act, 
argues, leave to amend, do business, interfering, conspiracy, sufficient to constitute, trial court, allegations, prices, 
sells, contractual relationship, economic relations, competitor"
Case 20,"cause of action, soliciting, alleges, asserts, statute of limitations, promise, confidential information, motion to 
dismiss, fails, estoppel, parties, reasons, unfair, verbal"
Case 21,"Settlement, class plaintiff, interchange, notice, damages, fee increase, defendants', parties, merchants, 
transactions, card, network, banks, Plaintiffs', class member, credit card, motion to dismiss, anti trust law, debit 
card, notice of pendency, allegations, pleadings, class action, consolidated, bargain, debit, claim for damages, 
summary judgment, cases, anticompetitive"
Case 22,"clean-up, plenary, summary judgment, removal, technologies, conspiracy, working group, Network, e-mail, relevant 
market, no evidence, Requests, revised, specifications, summary judgment motion, antitrust, attend, state law 
claim, inclusion, features, damages, alleged conspiracy, restraint of trade, Coordination, genuine, session, phone"
Case 23,"patents, license, motion to dismiss, declaratory judgment, inequitable conduct, allegations, tortious interference, 
common law fraud, denies, third-party, merger, fraudulent transfer, counterclaims, affirmative defense, motion to 
strike, unenforceability, monopolization, assigned, failure to state a claim, good faith, Licensors, fair dealing, Notice, 
argues, breach of duty, fraudulent, prospective economic advantage, particularity, defenses, rights"
