­¶½X,¤º®e
7,"Judges:  [*1] The Honorable Richard E.L. Strauss, Coordination Trial Judge."
7,Opinion by: Richard E.L. Strauss
22,"Judges:  [*1] The Honorable Richard E.L. Strauss, Coordination Trial Judge."
22,Opinion by: Richard E.L. Strauss
38,"Counsel:  [*1] For Plaintiffs: Leonard B. Simon (58310), Frank J. Janecek, Jr. (156306), Christopher Collins 
(189093), LERACH COUGHLIN STOIA GELLER RUDMAN & ROBBINS, LLP, San Diego, CA.; William Bernstein 
(065200), Joseph R. Saveri (130064), Barry R. Himmelstein (157736), Eric B. Fastiff(182260), Daniel E. 
Barenbaum (209261), LIEFF, CABRASER, HEIMANN & BERNSTEIN, LLP, San Francisco, CA.; Raymond P. 
Boucher (115364), KIESEL, BOUCHER & LARSON, L.L.P., Beverly Hills, CA.; Robert J. Hanna (66105), James B. 
Gilpin (151466), BEST BEST & KRIEGER LLP, San Diego, CA.; James C. Krause (66478), Ralph B. Kalfayan 
(133464), KRAUSE & KALFAYAN, San Diego, CA.
For Plaintiffs and the Class:: FRANK J. JANECEK, JR., Dennis Stewart (99152), Christopher M. Burke (214799), 
MILBERG WEISS BERSHAD HYNES & LERACH LLP, San Diego, CA.; Patricia A. Meyer, Matthew T. Poelstra, 
PATRICIA A. MEYER & ASSOCIATES APC, San Diego, CA.; Harvey Levine, Richard A. Huver, LEVINE, 
STEINBERG, MILLER & HUVER, San Diego, CA."
38,"Judges: The Honorable Joan M. Lewis, Coordination Trial Judge, Judge of the Superior Court, County of San 
Diego."
38,Opinion by: Joan M. Lewis
78,"Counsel:  [*1] For Plaintiffs: LERACH COUGHLIN STOIA GELLER, RUDMAN & ROBBINS, LLP, Leonard B. 
Simon(58310), Frank J. Janecek, Jr. (156306), Christopher Collins (189093), San Diego, LIEFF, CABRASER, 
HEIMANN & BERNSTEIN, LLP, William Bernstein (065200), Joseph R. Saveri (130064), Barry R. Himmelstein 
(157736), Eric B.Fastiff(182260), Daniel E. Barenbaum (209261), San Francisco, CA, KJESEL, BOUCHER & 
LARSON, L.L.P., Raymond P. Boucher(l 15364), 8648 Wilshire Boulevard, Beverly Hills, CA, BEST BEST & 
KRIEGER LLP Robert J. Hanna (66105), James B.Gilpin (151466), 402 West Broadway, 13th Floor, San Diego, CA 
92101-3568, Telephone: (619)525-1300, Facsimile: (619)233-6118, KRAUSE & KALFAYAN, James C. Krause 
(66478), Ralph B. Kalfayan (133464), San Diego, CA.
For Plaintiffs: FRANK J. JANECEK, JR., MILBERG WEISS BERSHAD HYNES & LERACH LLP Leonard B. Simon 
(58310), Dermis Stewart (99152), Frank J. Janecek, Jr. (156306), Christopher M. Burke (214799), San Diego, CA, 
LIEFF, CABRASER, HEIMANN & BERNSTEIN, LLP, William Bernstein, Joseph R. Saveri, Barry R. Himmeistein, 
EricB. Fastiff, Daniel E. Barenbaum, San Francisco, CA, KIESEL, BOUCHER & LARSON, L.L.P., Raymond P. 
Boucher, Beverly Hills, CA, BEST BEST & KRIEGER [*2]  LLP, Robert J. Hanna, I James B. Gilpin, San Diego, CA, 
KRAUSE & KALFAYAN, James C. Krause, Ralph B. Kalfayan, San Diego, CA, PATRICIA A. MEYER & 
ASSOCIATES APC, Patricia A. Meyer, Matthew T. Poelstra, San Diego, CA, LEVINE, STEINBERG, MILLER & 
HUVER, Harvey Levine, Richard A. Huver, San Diego, CA."
78,Judges: The Honorable Joan M.Lewis.
78,Opinion by: Joan M.Lewis
119,"Counsel:  [*1] For BAYER CORPORATION, Defendant: Fred H. Bartlit, Jr., Peter B. Bensinger, Jr., Michael J, 
Valaik, Paul J. Skiermont, BARTLIT BECK HERMAN PALENCHAR & SCOTT LLP, Chicago, IL."
119,"Judges: Hon. Richard E.L. Strauss, Judge of the San Diego Superior Court."
119,Opinion by: Richard E.L. Strauss
149,"Judges:  [*1] WILLIAM H. FOLLETT, J."
149,Opinion by: WILLIAM H. FOLLETT
157,"Counsel:  [*1] GREGORY S. GILCHRIST (State Bar No. 111536), HOLLY GAUDREAU (State Bar No. 209114), 
KILPATRICK TOWNSEND & STOCKTON LLP, San Francisco, CA, STEVEN F. BENZ (Admitted Pro Hac Vice), 
JAMES M. WEBSTER (Admitted Pro Hac Vice), IGOR HELMAN (Admitted Pro Hac Vice), JUSTIN M. PRESANT 
(Admitted Pro Hac Vice), KELLOGG, HUBER, HANSEN, TODD, EVANS & FIGEL P.L.L.C., Washington, D.C., 
Attorneys for Plaintiffs, GO COMPUTER, INC. and S. JERROLD KAPLAN.
ROBERT A. ROSENFELD, JESSICA S. PERS, RUSSELL P. COHEN, ORRICK, HERRINGTON & SUTCLIFFE 
LLP, Attorneys for Defendant, MICROSOFT CORPORATION.
Richard Grossman, Eugene Crew, Townsend & Townsend & Crew, Attorneys at Law, San Francisco, CA, Craig 
Corbitt, Jeff Topor, Zelle, Hofmann, Voelbel, Attorneys at Law, San Francisco, CA, Josef Cooper, Cooper & 
Kirkham, Attorney at Law, San Francisco, CA, For the Plaintiff.
Robert Rosenfeld, Aaron Armstrong, Heller, Ehrman, White, Attorneys at Law, San Francisco, CA, Richard Wallis, 
Microsoft Corporation, Attorney at Law, Redmond, WA, Charles Curtis, Jr., Heller, Ehrman, White, Attorney at Law, 
Madison, WI, For the Plaintiff.
EUGENE L. CREW, ESQ., RICHARD L. GROSSMAN, ESQ., TOWNSEND AND TOWNSEND AND CREW, TWO 
EMBARCADERO [*2]  CENTER, SAN FRANCISCO, CA, COUNSEL FOR PLAINTIFFS.
MICHELE C. JACKSON, ESQ., LIEFF, CABRASER, HEIMANN & BERNSTEIN, SAN FRANCISCO, CA, 
COUNSEL FOR PLAINTIFFS.
STEVEN J. AESCHBACHER, ESQ., SENIOR CORPORATE ATTORNEY, MICROSOFT CORPORATION, ONE 
MICROSOFT WAY, REDMOND, WA, FOR DEFENDANTS.
JOSEF COOPER, ESQ., COOPER & KIRKHAM, SAN FRANCISCO, CA, FOR DEFENDANTS.
FRANCIS SCARPULLA, ESQ., LAW OFFICES OF FRANCIS O. SCARPULLA, SAN FRANCISCO, CA, FOR 
DEFENDANTS."
