文件名稱         ,頁碼 ,內容類型   ,內容
0101 (1).pdf     ,  29 ,Counsel    ,"Counsel: Charles M. Ullman, New York, New York, David L. Foster, New York, New York, Frederick L. McKnight,
                                    New York, New York, for Appellant.
                                    Frederick P. Furth, San Francisco, California, Arthur L. Martin, San Francisco, California, John H. Boone, San
                                    Francisco, California, Thomas E. Schatzel, Santa Clara, California, for Appellee."
0101 (1).pdf     ,  29 ,Judges     ,"Judges: Brown, Chief Judge, and Jones and Goldberg, Circuit Judges. John R. Brown, Chief Judge, dissenting in
                                    part and concurring in part."
0101 (1).pdf     ,  29 ,Opinion by ,Opinion by: GOLDBERG
0101 (1).pdf     ,  68 ,Counsel    ,"Counsel: O'Connell & Brown, for the plaintiff.
                                    Tyler, Cooper, Grant, Bowerman & Keefe, for the defendant Anesthesia Associates of New Haven, and for the
                                    individual defendants D'Elia, DelPizzo, Golia, and Kazsanjian.
                                    W. W. Walsh, for the defendant Hospital of St. Raphael, and for the defendant Sister Louise Anthony."
0101 (1).pdf     ,  68 ,Judges     ,"Judges: Mignone, J."
0101 (1).pdf     ,  68 ,Opinion by ,Opinion by: MIGNONE
0101 (1).pdf     ,  76 ,Opinion by ,Opinion by:  [*1]  KINNEARY
0101 (1).pdf     ,  82 ,Judges     ,"Judges: Pell, Tone and Bauer, Circuit Judges."
0101 (1).pdf     ,  82 ,Opinion by ,Opinion by: PER CURIAM
0101 (1).pdf     ,  86 ,Counsel    ,"Counsel: Paul H. Due, Baton Rouge, of Counsel, for South-West Utilities.
                                    Victor A. Sachse, Baton Rouge, Herschel L. Abbott, Jr., New Orleans, of Counsel for South Central Bell and Murray
                                    C. Fincher.
                                    William Sneirson, New York City, of Counsel for Western Elec. Co.
                                    Clarence M. Dunnaville, New York City, of Counsel for Am.Tel. & Tel. Co.
                                    Thomas W. Moore, Birmingham, Ronald W. Tweedel, James W. Hammett, New Orleans, of Counsel for South
                                    Central Bell."
0101 (1).pdf     ,  86 ,Judges     ,"Judges: Sartain, Chiasson and Edwards, JJ."
0101 (1).pdf     ,  86 ,Opinion by ,Opinion by: SARTAIN
0101 (1).pdf     ,  96 ,Counsel    ,"Counsel:  [***1]  Gary S. Stein, for plaintiff (Messrs. Stein and Kurland, attorneys).
                                    Michael M. Rosenbaum for defendant, Borg-Warner Corporation (Budd, Larner, Kent, Gross, Picillo and
                                    Rosenbaum, attorneys).
                                    Charles M. James, for defendant Tek-Bearing Co., Inc. (Messrs. James and Addas, attorneys)."
0101 (1).pdf     ,  97 ,Judges     ,"Judges: Petrella, J.S.C."
0101 (1).pdf     ,  97 ,Opinion by ,Opinion by: PETRELLA
