Case Index,Core Terms
Case 1,"anti trust law, rates, regulation, tariff, immune, antitrust, exempt, Sherman Act, telephone, interconnection, 
customers, terminal, public utility, anticompetitive, articulated, impliedly, displace, monopoly, charges, regulatory 
scheme, telephone company, state action, telephone terminal, light bulb, acquisition, pervasive, repeal, cases"
Case 2,"installation, outfitting, aircraft, defendants', anti trust law, customer, Sherman Act, plaintiffs', plane, unfair 
competition, exclusionary, violations, employees, market power, termination, monopolize, antitrust, competitor, 
interior, lawsuits, damages, outfitter, practices, percent, bribes, merger, trial court, allegations, package, cases"
Case 3,"cartel, documents, uranium, interrogatories, discovery, trial court, answers, Regulations, records, sanctions, default 
judgment, antitrust, first set, contends, partnership, courts, good faith, second set, bad faith, contracts, producers, 
Energy, act of state doctrine, discovery order, orders, allegations, recitals, anti trust law, questions, parties"
Case 4,"Antitrust, anti trust law, district court, competitor, antitrust violation, treble damages, time of sale, divest, harmed"
Case 5,"wheeling, transmission, municipal, competitors, substation, condemnation, retail, monopoly power, Sherman Act, 
customers, electric, lines, monopolist, transformation, distribution system, borderline, feeders, transmission line, 
generation, Antitrust, load, acquisition, bulk, million dollars, service area, anticompetitive, negotiate, courts, prices, 
delivery point"
Case 6,"energy, district court, purposes, antitrust, energy policy, DOE Act, agencies, parties, financial report, improper 
purpose, summary judgment, federal agency, FEA Act, See Administrative Procedure Act, energy-producing, 
energy-related, Plaintiffs', disseminate, suggestions, disclosure, provisions, planning, directs, elicit"
Case 7,"conspiracy, milk, rule of reason, producers, farmers, trial court, per se rule, embezzlement, competitor"
Case 8,"anti-competitive, boycott, antitrust, anti trust law, government action, gasoline, immunity, regulating, suggests, 
courts, rights"
Case 9,"date of entry, motor carrier, notice"
Case 10,"cemetery, memorial, grave, space, monument, interment, installation, dealer, defendants', buyer, tie-in, sells, 
monopolization, perpetual, prepare, markers, interstate commerce, resetting, Clayton Act, Sherman Act, 
employees, ownership, products, charges, endowed, Burial, agrees, billed, buried"
Case 11,"lease, summary judgment, involvement, antitrust, anti trust law, district court, summary judgment motion, antitrust 
action, defendants', opposing party, treble damages, declaratory, hotel"
Case 12,"coal, illegality, purchase-of-coal, district court, antitrust, parties, labor law, collective bargaining agreement, hot 
cargo, violates, anti trust law, unenforceable, remedies, clauses, courts, contracts, unfair labor practice, attorney's 
fees, purchases, onions, federal court, Sherman Act, void, contributions, producers, signatories, enforcing, funds, 
bargaining, employees"
Case 13,"flight, commuter, carriers, monopolist, connecting, air carrier, schedules, certificated, airlines, publish, listings, 
monopoly, FTC Act, passengers, Sherman Act, disadvantage, manufacturer, user, discriminate, advertising, 
arbitrarily, parties, traffic, argues, desist, travel, unfair, cases, cease, air"
Case 14,"patent, trade secret, invention, negotiations, royalty, confidential, damages, confidential disclosure, gross sales, 
take place, misappropriation, manufacturer, disclosure, tube, air"
Case 15,"monopolize, conspiracy, summary judgment, Sherman Act, participating, hospital service, monopoly, conspiracy 
claim, specific intent, third party"
Case 16,"copper, prices, scrap, refined, antitrust, damages, causal, low price, fabricators, purchaser, target area, decisions"
Case 17,"purchasers, interstate commerce, anti trust law, indirect, interstate, wiring, antitrust statute, federal court, 
commerce, imported, federal law, cases, manufactured, regulation, damages, courts, thousand dollars, intrastate, 
antitrust"
Case 18,"copier, estimated, buyer, net worth, earnings, annual, arrive, net profit"
Case 19,"wheeling, contracts, transmission, customers, modification, provisions, energy, Village, public interest, antitrust, 
electric energy, municipalities, wholesale, electric, orders, commission's jurisdiction, electric utility, public utility, 
anticompetitive, charges, interstate commerce, territorial limits, transmitting, conditions, modify, rates, electric 
power, facilities, regulation, terms"
Case 20,"patent, copier, marketing, damages, district court, machines, rental, million dollars, offering, causal, antitrust 
violation, anti trust law, manufacture, antitrust, coated, trial court, exclusionary, financing, practices, causation, 
lease"
