頁碼 ,內容類型   ,內容
  31 ,Counsel    ,"Counsel:  [**1]  Robert A. Susk, G. Joseph Bertain, Jr., Leslie J. Mann, San Francisco, California, for Plaintiff.
                  John F. Downey, Sacramento, California, David S. Kaplan, Sacramento, California, Ronald F. Lipp, Cloverdale,
                  California, for Defendant."
  31 ,Judges     ,"Judges:  Karlton, District Judge."
  31 ,Opinion by ,Opinion by: KARLTON
  60 ,Counsel    ,"Counsel: Rufus W. Oliver, III, Houston, Texas, H.  K. Alexander, Jr., Houston, Texas, Donald F.  Melhorn, Toledo,
                  Ohio, for Appellant.
                  Wayne H. Paris, Houston, Texas, for Appellee."
  60 ,Judges     ,"Judges: Garza, Politz and Johnson, Circuit Judges."
  60 ,Opinion by ,Opinion by: POLITZ
  72 ,Counsel    ,"Counsel:  [**1]  David B. Zlotnick, Richard D. Greenfield, Greenfield & Chimicles, Bala Cynwyd, Pennsylvania, for
                  plaintiff.
                  Daniel E. Bacine, Leonard Barrack, Barrack, Rodos & Bacine, Philadelphia, Pennsylvania, for defendants."
  73 ,Judges     ,"Judges: Hannum, District Judge."
  73 ,Opinion by ,Opinion by: HANNUM
  88 ,Counsel    ,"Counsel:  [*1]  Roderick G. Dorman, of Cox, Castle & Nicholson, Los Angeles, Cal., for Springs Ambulance, for
                  plaintiff
                  Richard R. Terzian of Burke, Williams & Sorensen, Los Angeles, Cal., for Rancho Mirage, Palm Desert Indian Wells
                  and Cove Communities Commission; Joyce Manulis Reikes, County counsel, Riverside County, Cal., for County of
                  Riverside, for defendants"
  88 ,Opinion by ,Opinion by: MARSHALL
