Page,Core Terms
21,mail
24,"prices, cable, bid, sheets, conspiracy, civil penalty, competitors, violations, employees, discounting, adhere, 
settlement, contacts, compliance, new price, adders, phone, deterrence, orders, continuing violation, increased 
price, cease-and-desist, conversation, price-fixing, decisions, effects, freight, conditions, antitrust, collusion"
47,"defendants', damages, injunction, warrants, remedies, plaintiffs', equitable, lenders, equitable relief, amended 
complaint, courts, injunctive relief, expressly provided, summary judgment, divestiture, plaintiff's claim, equitable 
remedy, right of action, loan agreement, racketeering, enterprise, rescission, violations, ordering, stock"
58,"territorial, franchise, franchisees, restaurants, antitrust, defendants', summary judgment motion, plaintiffs', 
franchisor, horizontal, Distributors, monopoly, anti trust law, allocated, Sherman Act, tie, tying product, vending, 
anticompetitive, vertical, summary judgment, supplemental, discovery, relevant market, restrictions, products, 
damages, entitled to summary judgment, financial interest, probative evidence"
78,"conspiracy, Sherman Act, wholly owned subsidiary, subsidiary, integration, affiliation, conspiring, intra-enterprise, 
Cab, affiliated corporation, anticompetitive, concerted, enterprise, unilateral, cases, acquisition, antitrust, effected, 
entities, tubing, combinations, coordinated, compete, common ownership, competitor, restrain, unreasonable 
restraint, antitrust liability, restraint of trade, parent corporation"
107,"resin, pipe, polybutylene, damages, statute of limitations, fraudulent concealment, antitrust, ascertainable, 
manufacturing, plant, competitors, limitations, extrusion, alleges, conceal, speculative, toll, supply contract, 
wrongdoing, supplying, sever, accrued cause of action, tolling statute, due diligence, trade secret, misappropriation, 
anticompetitive, calculated, supplier, argues"
117,"retailers, products, customers, allegations, facilities, antitrust, Clayton Act, purchasing, damages, direct-purchasing, 
defendants', cause of action, discriminated, wholesaler, advertising, electronics, allowances, deliveries, violations, 
supplier, profits, sales, antitrust violation, retailer-customers, alleged violation, retail customer, proportionately, 
discriminatory, duplicate, injuries"
128,"stroller, conspiracy, distributor, terminate, retailers, manufacturer, juvenile, summary judgment, customers, selling, 
products, conspired, prices, east side, antitrust, discount, Upper, suggested retail price, vertical, do business, 
Sherman Act, complaints, repair, rule of reason, territorial, horizontal, purchaser, maternity, adhered, alleges"
160,"dealers, manufacturer, advertising, tie-in, consumers, trademark, exclusive territory, retail price, prices, antitrust, 
buy, territorial, products, anti trust law, district judge, integrated, retail, advertised price, markets, cases, special 
master, vertical integration, vertically, franchise, package, maximum price, resale price, fixing, prefabricated, 
competitors"
173,"carriers, newspapers, subscription, prices, district court, subscribers, rates, retail, practices, plans, resale price, 
home-delivery, subscription price, per se violation, antitrust, customers, producer, distributors, conspiracy, papers"
180,"prices, predatory, customers, Robinson-Patman Act, solicit, sanitary, preliminary injunction, discounts, seller's, 
merits, costs, acquisition costs, discriminatory, confidential, irreparable, third-party, injunctive, ranging, selling, sales"
188,"fares, advice, lawsuit, disqualification, proceedings, disqualified, antitrust, matters, parties, airline, confidences, 
participated, memorandum, Disciplinary Rule, allegations, confidential information, negotiations, defendants', 
carriers, charter, disqualification motion, government service, Confidentiality, representations, conspiracy, traffic, 
substantial relation, similarities, rulemaking, tariffs"
205,"pricing, interconnection, monopoly power, views, district judge, public interest, anti trust law, specialized, predatory, 
memorandum opinion, common carrier, carriers, costs, argues, copied, clearly erroneous, total cost, charges, 
facilities, bias, present case, private line, cases, fact finding, microwave, antitrust, witnesses, tariffs, trial judge, 
intercity"
237,"television, games, athletics, football, college football, broadcasters, networks, output, rights, institutions, telecasts, 
intercollegiate, schools, amateurism, Sherman Act, sports, teams, regulations, attendance, programs, 
anticompetitive, compete, enhance, appearances, competitors, attractive, antitrust, procompetitive, audience, 
consumer"
270,"discovery, sanctions, documents, good faith, discovery order, compliance, default, noncompliance, recommended, 
disclosure, bad faith, factors, discovery request, exemption, contempt, nondisclosure, antitrust, failure to comply, 
anti trust law, district court, blocking, parties, negate, appropriate sanction, failure to provide, national interest, 
refuse to comply, default judgment, circumstances, authorities"
282,"state claims, pendent, district court, shot, four-state, sales, unfair competition, relevant market, antitrust claim, 
geographic, rule of reason, distributors, consumer, unfair, federal claim, antitrust, directed verdict, abuse of 
discretion, state law claim, factors, costs, conspired, customers, employees, prices, statute of limitations, federal 
court, convenience, suppliers, transport"
304,"anti-competitive, monopoly power, monopolistic, primers, replace, manufacturing, Sherman Act, monopolization, 
purchases, prices, customers, insufficient evidence, district court, antitrust, shipped"
312,"producers, eggs, economic power, broiler, interrogatory, feed, integrated, economic advantage, hatcheries, chicken, 
antitrust, Grain, firms, tying product, competitors, breeding, flock, hatching, tying arrangement, seller"
317,"pricing, variable, predatory, Adjusters, costs, rental, replacement, monopolize, competitors, barriers, antitrust, 
exhibits, rental rate, monopolist, charging, monopoly, hiring, firms, anticompetitive, predation, output, 
anticompetitive conduct, trial judge, Sherman Act, plaintiffs', marginal, losses"
330,"invention, infringement, specimen, interferometer, measuring, mirror, patent, surface, thickness, travel, distance, 
beam, film, peak, radiation, radiation-reflective, instruments, misuse, scan, prejudgment interest, new trial, 
interferogram, emanating, duPont, argues, lost profits, trial judge, presumed, invalid, optical"
345,"ticket, skiing, sub-market, instructions, relevant market, district court, geographic, products, monopolization, 
grounds, season, mountains, damages, attorney's fees, matter of law, downhill, estimate, four-mountain, 
assumptions, facilities, antitrust, four-area, multi-day, objected, costs, directed verdict, circumstances, destination, 
Reply, actual use"
367,"franchise, conspiracy, cable television, municipal, Interrogatory, city council, anti trust law, trial court, 
anticompetitive, antitrust, answer to an interrogatory, conspirators, territory, cable, immunity, competitor, compete, 
divide, merits, non-conspirators, co-conspirator, businessmen, sham, circumstantial evidence, unreasonable 
restraint, qualified immunity, proximate cause, public interest, rule of reason, reconciliation"
387,"Diet, franchise, franchisees, products, trademark, royalty, tied product, tying product, market power, tying 
arrangement, package, franchisor, customer, consumer, prices, price discrimination, competitors, antitrust, costs, 
tie, anti trust law, license fee, comparable, calculate, submarket, charges, outlet, fair market value, summary 
judgment, relevant market"
403,"figures, antitrust, importation, counterclaims, practices, retailers, conspiracy, anticompetitive, distributors, anti trust 
law, lack standing, drawings"
409,"organized crime, racketeering, predicate act, enterprise, courts, indictable, cases, criminal conviction, civil remedy, 
violations, treble damages, chargeable, legislative history, racketeering activity, civil action, provisions, prior 
criminality, damages, prior conviction, standing requirement, anti trust law, punitive, Clayton Act, purposes, 
safeguards, antitrust, decisions, suits, preponderance of evidence, liberal construction"
438,"enterprise, racketeering, antitrust, pattern of racketeering activity, predicate act, organized crime, district court, 
treble damages, anti trust law, racketeering activity, attorney's fees, cases, terms, legislative history, slip opinion, 
negotiated, remedies, Bankers, courts, mail, civil remedy, arbitration, defendants', plaintiffs', provisions, remarks, 
garden, wire"
449,"dealers, counterclaims, allegations, motion to dismiss, infringement, trademark, boxes, first amended complaint, 
replacement part, consent decree, antitrust, argues, lift, affirmative defense, motion to strike, circumstances, 
confidential, manufactured, appearance, unmarked, concealment, defenses, truck, summary judgment motion, 
Lanham Act, impression, collected, documents, stricken, copied"
461,"collateral estoppel, district court, relevant market, estoppel, parties, anti trust law, relitigating, antitrust, prima facie, 
antitrust action, consent decree, jury verdict, Clayton Act, interconnection, courts, decree, final judgment, prior 
judgment, Modification, collateral, preclusive, estopped, waived, application of collateral estoppel, preclude 
relitigation, motion to dismiss, consent judgment, monopoly power, jury finding, settlement"
474,"quota, dealer, defendants', economic power, alleges, products, terminated, sales, seller, matter of law, tying 
product, competitors, territory, Counts, possessed, Sherman Act, tie-in, tying arrangement, installation, 
manufactured, dealership, provisions, customers, buyers, terms, summary judgment motion, branch office, 
distributor, trademark, prices"
493,"gasoline, plaintiffs', trademark, coercion, defendants', lessee-dealers, tie-in, summary judgment, lease, buyer, class 
action, cases, damages, conspiracy, motions, lessor, service station, seller, court of appeals, economic power, 
summary judgment motion, tying arrangement, decertification, self-interest, antitrust, fungible, genuine issue, class-
wide, conditioning, deposition"
508,"patents, allegations, infringement, frame, tack-welded, lids, original complaint, relevant market, competitor, Gold, 
anti trust law, antitrust, supplier, damages, reasonable apprehension, declaratory judgment, case or controversy, 
fraudulently, manufacture, grounds, invalid"
515,"divestiture, hot, final judgment, merger, cold rolled, sheet, steel, strip, purchaser, Buyer, stainless, plant, imports, 
concentration, producer, alloy, bands, carbon, markets, cold, divested, parties, rolled, public interest, stainless steel, 
finished, sheet steel, accomplished, competitor, largest"
535,"sublicense, kilns, defendants', damages, financing, antitrust, patent, termination, conspiracy, technical information, 
drying, rights, injunctive relief, license, new trial, conspired, projections, documents, inducing breach of contract, 
punitive damages, affiliated, sales, anti trust law, circumstances, competitor, know-how, notified, amount of 
damages, jury award, assumptions"
567,"conspiracy, antitrust, collateral estoppel, bid, anti trust law, fraudulent concealment, argues, Sherman Act, courts, 
relitigation, bidder, summary judgment motion, antitrust claim, public contract, parties, statute of limitations, injury-
in-fact, Plants, wrongful concealment, relevant market, self-concealing, circumstances, exemption, contract award, 
decisions, cases, summary judgment, transfer station, cause of action, genuine issue"
593,"investors, stock, legislative history, enterprise, racketeering, defendants', violator, allegations, federal court, 
acquisition, financing, omissions, acquire, pattern of racketeering activity, estate's assets, predicate act, book value, 
misrepresentation, convicted, venture, corporate opportunity, sale of securities, plaintiff's claim, funding, courts"
602,"enterprise, amended complaint, racketeering, mail, racketeering activity, district court, products, asserts, inventory, 
suppliers, accounting firm, wire fraud, confirmation, allegations, fraudulent, damages, letters, audit"
609,"termination, summary judgment, antitrust, Sherman Act, insurance company, brokering, wholly owned subsidiary, 
insurance code, competitors, horizontal, products, Tube, district court, anticompetitive, subsidiary, concerted, 
conspire, boycott"
619,"municipalities, exemption, state policy, supervision, powers, solid waste, disposal, district court, ordinance, finance, 
waste disposal, articulated, displace, state action, anticompetitive, immune, regulation, delegated, sovereign, 
antitrust, state legislature, authorization, state supreme court, government agency, facilities, home-rule, monopoly, 
monopolize, projects, plant"
637,"settlement, attorney-client, conspiracy, documents, license, patents, motion to compel, prima facie case, work 
product doctrine, negotiate, anti trust law, joint defense, infringed, machines, work product protection, burden of 
establishing"
644,"Trades, antitrust, picketing, summary judgment, exemption, conspiracy, collective bargaining, working conditions, 
anti trust law, non-statutory, subcontract, contractor, employees, immune, wages, non-union, rule of reason, 
anticompetitive, defendants', predatory, antitrust liability, attendance, bargaining, secondary, terminate, meetings, 
demands, proviso, hire"
659,"preliminary injunction, dealer, injunction, cases, district court, terminated, merits, abuse of discretion, construction 
equipment, irreparable harm, distributor, harms, manufacturer, parties, district judge, reviewing court, factors, 
adequate remedy at law, appellate review, exclusive-dealing, dealership, distributorship, preliminary injunctive 
relief, competitor, Antitrust, decree, standard of review, deference, percent, slip opinion"
683,"counts, motion to dismiss, sale of land, defendants', purchaser, lawsuit, golf, individual member, requested relief, 
memberships, subdivision, antitrust, predicate"
688,"escheat, class member, district court, reserve fund, deposited, funds, settlement, claimants, nonclaiming, 
unclaimed, late claim, anti trust law, antitrust, unclaimed property, five year, appeals"
695,"treble damages, anti trust law, receiver, damages, statutory construction, Clayton Act, deceased's estate, punitive 
damages, double damages, injured person, state law, disproportionate, compensatory, provisions, Racketeer, 
survive, courts, cases"
699,"distributor, products, manufacturer, Sherman Act, prices, summary judgment motion, appliances, alleges, summary 
judgment, antitrust, group boycott, conspiracy, brand, competitors, termination, ovens, price fixing, 
recommendations, damages, anti trust law, anticompetitive, Wholesale, household, cooking, relevant market, 
differentials, antitrust violation, amended complaint, rule of reason, distributorship"
719,"customers, haulers, market share, containerized, industrial, competitors, merger, firms, collection, prices, trucks, 
ease, district court, municipalities, residential, geographic, entrants, trash collection, trash, prima facie, appraising, 
containers, disposal, acquire, compete, market power, non-containerized, subsidiary, constrain, increases"
728,"tourists, damages, defendants', statute of limitations, limitations period, Pollution, antitrust, rebates, gift shop, 
concerted refusal, four year, conspiracy, permanent"
735,"merger, music, prerecorded, preliminary injunction, district court, joint venture, effects, concentration, distributors, 
anticompetitive, collusion, decisions, present evidence, recorded, injunctive relief, relevant market, 
recommendations, acquisition, percent, tapes, weak, likelihood of success, deliberative process, legal standard, 
deliberative, distributes, disclosure, barriers, parties, merits"
748,"gases, acetylene, prices, atmospheric, Liquid, industrial, manufacturers, distributor, terminated, argon, district court, 
total cost, purchases, monopolization, bulk, tying arrangement, antitrust, customers, predatory, cylinder, variable, 
tying product, products, plant, price discrimination, tied product, anticompetitive, argues, buyer, sales"
760,"commerce, defendants', import, antitrust, export, domestic, distributors, Sherman Act, wholesalers, foreign 
manufacturer, pharmaceutical, manufacturing, transactions, jobbers, reasonably foreseeable, foreign nation, 
expiration, inflated, products, alleges, abroad, patent, prices"
766,"coal, railroad, shippers, export, exemption, market power, carriers, rates, transportation, effective, factors, traffic, 
rents, regulation, pricing, constrain, costs, price discrimination, reasonable rate, monopolistic, predicted, 
deregulation, intermodal, producer, port, delivery price, world market, captive, conditions, geographic"
790,"dealers, replacement part, tying arrangement, products, franchise, trademark, economic power, passenger car, 
tying product, seller, manufacturer, cases, tied product, coercion, contends, tie, per se standard, purchaser, 
genuine, summary judgment, distributors, tie-in, quality control, consumers, business justification, per se rule, 
conspiracy, market power, customer, monopoly"
809,"trucks, Leasing, firms, preliminary injunction, markets, compete, Music, truck-leasing, Broadcast, repairs, output, 
customers, trademark, cartel, franchisee, reciprocal, antitrust, consumers, restrictions, advertising, territorial, 
franchises, injunction, composers, promoting, expelled, dealers, license, member of the association, anticompetitive"
819,"dealers, sales, hardware, software, market share, percent, manufacturer, products, orders, discounting, 
negotiations, summary judgment, rule of reason, restrictions, computer system, upgrade, preliminary injunction, 
complete system, added value, direct sale, end user, interbrand, practices, vertical, argues, retail, monopolization, 
cancellation, concerted activity, Sherman Act"
832,"merchant, banks, card, issuer, cardholder, costs, interchange, rule of reason, antitrust, courts, treble damages, joint 
venture, merchant bank, transactions, effects, anticompetitive, member bank, cases, market power, bank credit, 
compete, relevant market, consumer, anti trust law, contracts, damages, credit card, methodology, proprietary, 
purchasers"
868,"appraisal, prices, fixed-percentage, bylaw, customers, cartel, competitors, price fixing, antitrust, charges, seller, 
gem, preliminary injunction, price competition, anticompetitive, boycott, percent, appraisal fee, merits"
875,"prices, wholesalers, wine, liquor, Sherman Act, anti trust law, retailers, resale price, posting, regulation, brand, fair 
trade contract, anticompetitive, adherence, discounts, invalid, price information, importation, price schedule, 
consumers, licensed, facial, alcoholic beverage, per se violation, provisions, authorize, distilled, immunity, prevail, 
cases"
891,"licensees, damages, territories, manufacturing, post-verdict, equitable relief, plant, acquisitions, injunction, parties, 
district court, decree, res judicata, prayer, equitable, products, enjoin, injunctive relief, intrabrand, centers, repair, 
anti trust law, future damage, pre-verdict, conditions, antitrust, passover, charges, right of first refusal, additional 
evidence"
902,"distributors, retailers, brewers, territorial, beer, conspiracy, Wine, wholesalers, prices, plaintiffs', exclusive territory, 
vertical, rule of reason, class certification, effects, anticompetitive, products, discounts, horizontal, membership, 
quantity, cases, defendants', antitrust, price-fixing, distributorships, benefits, brand, written agreement, class action"
943,"bid, antitrust, damages, preparing, motion in limine"
948,"district court, proceedings, cesarean, recommended, consultations, patients, interstate commerce, ad hoc 
committee, Sherman Act, defendants', contends, post-graduate, privileges, conspired, charts, peer, medical record, 
out-of-state, discovery, interfere, sections, revoked"
956,"shares, stock, merger, tender offer, shareholder, Exchange Act, stockholder, damages, private right of action, 
money damages, plaintiffs', per share, offeror, conspiracy, injunction, Counts, indirectly, alleged violation, 
competitor, enjoin, material fact, Williams Act, circumstances, defendants', misleading, belonging, parties, cases, 
moot, private cause of action"
977,"dentists, dental, participating, monopolize, charges, price-fixing, district court, provider, conspiracy, subscriber, 
appellants', Sherman Act, horizontal, boycott, non-participating, purchaser, dental services, subclass, 
reimbursement, allowance, vertical, per se violation, summary judgment, cooperating, certify, screen, concerted 
action, associations, contracts, parties"
