Page,Core Terms
21,"arbitration, arbitration clause, Charter, parties, conspiracy, district court, contracts, tanker, shipping, disputes, 
parcel, antitrust claim, Sherman Act, horizontal, matters, cases, allegations, damages, subject to arbitration, 
arbitration panel, antitrust, quotation, terms, broad arbitration clause, adhesion contract, price-fixing, signatory, 
customers, vertical, vessel"
41,"settlement, settlement agreement, funds, earthquake, public policy, insurers, purposes, proceedings, charitable, 
unrelated, parties, powers, terms, charitable foundation, regulation, licensing, summary judgment, trial court, 
donated, courts, earthquake damage, cause of action, negotiations, disputes, Italics, triable, void, violate public 
policy, policyholders, conditions"
53,"network, Defendants', foreclosure, providers, customers, antitrust, relevant market, anti trust law, percent, 
competitors, employees, vendors, summary judgment, outlets, plans, sales, insurance provider, anticompetitive, 
supplier, rentals, foreclosed, reimbursed, consumers, purchases, monopoly power, effects, costs, lease, 
monopolization, capitation"
71,"documents, discovery, pricing, conspiracy, refinishing, automotive, paint, antitrust, Defendants', competitors, price-
fixing, domestic, Clarification, Plaintiffs', trade association, reflecting, worldwide, requests, markets, global, 
anticompetitive, geographic, entity"
81,"brochures, patent, prior art, argues, summary judgment, infringement, deposition, invalid, summary judgment 
motion, inequitable conduct, relevant market, license, parties, affirmative defense, counterclaim, modular, patent 
misuse, anticipated, declaration, integrated, pleaded, hip, size and shape, matter of law, prostheses, prosthesis, 
bodies, clear and convincing evidence, printed publication, procurement"
95,"allegations, vendors, purchasers, price discrimination, leave to amend, Robinson-Patman Act, cigarette, notice"
102,"claim preclusion, issue preclusion, antitrust, anti trust law, state court, conspiracy, antitrust claim, antitrust suit, 
district court, final judgment, federal court, res judicata, courts, previous proceedings, architectural firm, antitrust 
action, state law, homebuilding, allegations, preclusion, judgments, estoppel, falling, grounds, merits, hire"
107,"Funeral, caskets, photographs, website, copies, plaintiffs', fair use, images, summary judgment, consumers, 
registration, infringing, deposit, links, license, internet, purposes, copyright infringement, advertising material, 
webpage, implied license, advertising, dealers, display, misuse, subject matter jurisdiction, funeral home, antitrust, 
condition precedent, copyrighted work"
126,"predatory, hiring, monopolization, antitrust, employees, competitor, monopoly power, antitrust claim, allegations, 
consultants, staffing, accuses"
130,"copiers, allegations, prices, machines, high volume, interchangeability, anticompetitive, argues, refurbished, costs, 
anticompetitive conduct, motion to dismiss, consumers, providers, software, license, switch, anti trust law, products, 
Skiing, challenged conduct, replacement part, relevant market, diagnostic, end-users, compete, brand, sales, 
antitrust claim, new machine"
141,"statute of limitations, motion to dismiss, abuse of process, limitations, cause of action, malicious, pleaded, 
disparagement, allegations, antitrust, raid, defendants', software, lawsuit, malicious prosecution, antitrust claim, 
licensing, limitations period, advertisement, documents, newspaper, one-year, amend, malicious prosecution claim, 
patent infringement, accusation, two-year, accrued cause of action, tortious interference, limitations bar"
159,"promoters, games, relevant market, antitrust, district court, teams, anti trust law, tournaments, submarket, rule of 
reason, anticompetitive, college basketball, school-scheduled, quick-look, basketball, compete, purposes, 
injunction, exempt, season, permanent injunction, restraint of trade, institutions, abbreviated, scheduling, consumer, 
injuries, effects, schools, confer"
174,"anesthesia, Clinic, monopolization, plaintiffs', monopoly power, patients, defendants', antitrust, primary source, 
percent, market share, summary judgment motion, consumer, geographic, competitor, relevant market, surgical 
procedure, providers, anticompetitive conduct, possessed, anti trust law, achieving, market power, 
anesthesiologists, probability, contracts, monopoly, on-call, specific intent, twenty-four"
198,"natural gas, preempt, regulation, federal law, exclusive jurisdiction, preemption, Plaintiffs', energy, federal question, 
state law, tariff, cases, cause of action, federal court, state court, manipulation, markets, federal jurisdiction, 
electricity, rates, sales, district court, anti-competitive, Motions, removal, Notice, prices, state law claim, 
Defendants', violations"
221,"seller, antitrust, tied product, training, tying arrangement, district court, economic benefit, tying agreement, tying 
product, allegations, anti trust law, impermissible"
229,"patent, purchaser, nabumetone, drugstore, antitrust, anticipation, wholesalers, Payor, summary judgment, 
compound, solid, plaintiffs', probable cause, entities, baseless, generic, overcharge, chemist, invalid, sham, 
summary judgment motion, methoxy, bypass, scientists, immunity, genuine, parties, ketone, oil, inequitable conduct"
250,"regulatory scheme, prices, Liquor, wholesalers, Sherman Act, regulations, posted price, distributors, unilateral, 
retailers, hybrid, suppliers, pleadings, beer and wine, state law, wine, alleges, Robinson-Patman Act, out-of-state, 
discounts, preempted, adhere, anti trust law, effective, violates, parties, argues, cases, state law claim, state official"
262,"open house, trial court, cause of action, federal court, unfair, tentative ruling, brokers, collateral estoppel, federal 
decision, demurrer, unfair competition, district court, federal rule"
267,"merger, statute of limitations, market power, hub, Clayton Act, continuing violation, merged, airlines, acquisition, 
firms, future damage, entrants, limitations period, four year, exploitation, Machinery's, violating, carriers, premium, 
restart, anti trust law, district court, anti-competitive, damages, pricing, Sherman Act, holding-and-use, airport, file 
suit, overt act"
289,"consumer protection, deception, motion to dismiss, purchasers, indirect, consumers, plaintiffs', unconscionable, 
practices, dealers, commerce, unfair, antitrust, deceptive act, conspiracy, antitrust claim, prohibits, defendants', 
restitution, damages, anti trust law, allegations, prices, misrepresentation, courts, fraudulent, antitrust statute, FTC 
Act, violations, omission"
376,"Certificate, Solicitation, solid waste, procurement, bid, small business, collection, contracting, Sole-Source, protest, 
recycling, offeror, disposal, bidder, regulations, contractor, administrative record, collection company, Notice, 
rational basis, injunction, immunity, compete, rates, collection service, irreparable harm, waste management, 
articulated, supervised, set-aside"
416,"rates, immunity, inflated, bids, allegations, environmental consultant, government agency, reimbursement, 
petitioning activity, defendants', plaintiffs', conspiracy, surveys, motion to dismiss, anticompetitive, environmental, 
nonprofit, conduit, damages, pricing, filed rate doctrine, boycott, environmental services, artificially, petitioning, 
regulation, cleanup, reimbursement rate, reasonable rate, collusive"
432,"cyclers, suppliers, thermal, licensing, patent, prices, competitors, price fixing, price-fixing, Gypsum, conspiracy, 
licensee, anti trust law, join, manufacturers, antitrust, summary judgment, license fee, horizontal, products, royalty, 
authorization, patent holder, infringement, discounting, customers, unpatented, patentee, argues, output"
449,"licensing, cycler, thermal, royalty, total sale, authorization, patent, supplier, customers, end user, patent misuse, 
infringement, negotiations, conditioning, actual use, licensee, inducing, patent rights, manufacturers, fields, rights, 
summary judgment, machines, genuine, alternative proposal, performing, Radio, matter of law, no evidence, 
certification"
466,"patent, license, cyclers, monopolization, thermal, exclusionary, infringement, monopoly, monopoly power, end user, 
disparagement, induced, supplier, sham, conspiracy to monopolize, authorization, manufacturer, unpatented, 
customers, summary judgment motion, anticompetitive, leveraging, products, royalty, argues, rights, infringement 
claim, anti trust law, process patent, patent holder"
483,"cause of action, surgery, defendants', patients, exclusive contract, monopolization, ambulatory, referral, effects, 
conspiracy, outpatient, anticompetitive, monopoly power, negotiations, contracting, antitrust, alleges, rates, relevant 
market, restraint of trade, summary judgment, anti trust law, summary judgment motion, rule of reason, competitors, 
alleged conspiracy, factors, market share, benefits, fact finder"
520,"customers, contracts, Copier, relevant market, declaratory relief, argues, alleges, market power, declaratory 
judgment, motion to dismiss, claim for relief, Lanham Act, contractual, declaration, financing, Pizza, leave to amend, 
replacement, antitrust, practices, parties, lease, cure, mail, terms of the contract, district court, affirming, relations, 
products, costs"
533,"purchaser, consumer, defendants', factors, merchants, indirect, damages, courts, antitrust, antitrust violation, 
financial services, target area, Consumer Fraud Act, remote, costs, motion to dismiss, lack standing, debit card, 
weighs"
537,"Cab, antitrust claim, franchise, political subdivision, charter city, futile, anti trust law, disposed, premature, briefing, 
charter"
