Page,Core Terms
21,"calsil, relevant market, antitrust, market power, anticompetitive, Updated, damages, direct evidence, rule of reason, 
monopoly power, effects, distributors, reliability, expert witness, supracompetitive, indirect evidence, challenged 
conduct, substitution, calculation, competitors, products, factors, output, harms, antitrust violation, methodology, 
insulation, argues, sees, confirmed"
34,"alleges, prong, unfair, motion to dismiss, dealers, dealership, fraudulent, advertising, licensed, costs, competitors, 
misleading, fails, original complaint, leave to amend, alleged facts, misrepresentations, heightened, pleads, prices"
40,"Defendants', summary judgment, relevant market, cross-elasticity, recommendation, elasticity, non-ezetimibe, 
drugs, cross-price, products, generic, antitrust, cholesterol-reducing, constrained, pricing, reasons, market power, 
demonstrating, novo, nonmoving party, grant a motion, genuine"
54,"drivers, antitrust, class member, settlement, named plaintiff, Plaintiffs', Subclass, damages, class action, Expedited, 
predominate, training, class certification, certification, Defendants', opted, conspiracy, classwide, questions, certify, 
cases, waivers, wages, suppression, hire, class representative, employment contract, proposed class, class period, 
deducted"
78,"distributors, alleges, manufacturers, conspiracy, competitor, Defendants', motion to dismiss, brands, lighting, 
products, sales representative, horizontal, anticompetitive, antitrust, prices, fails, vertical, agrees, specifications, 
contractors, Presentation, boycott, Reply, geographic, sales, rule of reason, controls, pleads, cases, hub-and-spoke"
99,"alleges, antitrust, credit report, amended complaint, credit reporting, Consumer, motion to dismiss, credit bureau, 
unlawful conduct, alleged injury, monopolization, inextricably intertwined, futile, relevant market, injuries, target, fail 
to state a claim, original complaint, leave to amend, monopolistic, traceable, monopoly, asserts, Format, fails"
107,"Bottling, trademark, products, exclusive territory, soft drink, bottlers, rights, motion to dismiss, distribute, alleges, 
parties, licensed, territory, tortious interference, transshipping, customer, consumers, retailers, damages, cause of 
action, Wholesale, principal place of business, business relationship, duly registered, declaratory, geographic, 
asserts, license agreement, unauthorized, manufacture"
122,"conspiracy, Defendants', allegations, Plaintiffs', prices, cuts, capex, class period, unilateral, factors, market share, 
concentrated, conscious, decrease, parallelism, coordinate, preceding, signaling, amended complaint, public 
statement, district court, competitors, announced, antitrust, analyst, manufacturers, purported, leader, 
unprecedented, encouraging"
135,"abuse-of-process, removal, immune, allegations, courts, right of petition, abuse of process, misrepresentation, 
baseless, punitive damages, sham-litigation, lawsuit, probable cause, city manager, tort claim, antitrust, motives, 
motion to dismiss, sham"
141,"trademarks, VOLUME, marks, defendants', antitrust, motion to dismiss, infringement, products, fair dealing, 
anticompetitive, parties, good faith, rescission, alleges, subject matter jurisdiction, relevant market, monopolization, 
duty of good faith, rule of reason, consumers, team, trademark infringement, implied duty, contractual, declaratory, 
obligations, football, register, license, courts"
153,"consumer, motion to dismiss, insureds, purchases, purposes, unfair, drugs, antitrust, practices, courts, Reply, 
consumer transaction, consumer protection, damages, screws, deceptive act, legal entity, personal use, bring suit, 
competitors, deceptive, resident, qualify, rights, cases, ascertainable loss, household purposes, alternative claim, 
bring an action, state law"
171,"firms, interim, Appoint, resources, investigating, Antitrust, no-poach, matters, believes, putative class, consolidated, 
aerospace, proposals, factors"
