Page,Core Terms
21,"dealers, sales commission, sponsored, oil company, overt, economic power, coercion, tires, suppliers, effects, 
percent, service station, anti-competitive, cases, wholesale, oil, outlets, sales, rubber company, distributors, 
batteries, contracts, petroleum, coercive, products, station, buy, tying arrangement, manufacturers, orders"
38,"dealers, discounters, associations, conspiracy, sales, franchised, Sherman Act, customer, collaborative, unilateral, 
promise, prices, manufacturer, price competition, establishments, repurchase, antitrust, retailing, referral, concert, 
outlets"
53,"patent, burner, invention, plate, infringement, anti-trust, plaintiffs', teaching, prior art, perforations, block, mixing, trial 
court, ceramic, surface, ratio, invalid, novelty, patent office, heat, tile, Infra-Red, air, specifications, variables, 
inventor, counterclaim, damages, figures, anticipated"
75,"merger, chains, Markets, concentration, Food, competitors, acquisitions, grocery, firms, Shopping, retail, largest, 
sales, single-store, top, market share, horizontal, Giant, lessen competition, grocery store, Clayton Act, combined, 
market-extension, monopoly, chain store, incipiency, arresting, smaller, legislative history, large number"
96,"shoes, unfair, franchise, dealers, retail, customers, franchise agreement, practices, declare, Federal Trade 
Commission Act, competitors, lines"
104,"merger, railroads, carriers, conditions, transportation, anti trust law, monopoly, employees, antitrust, public interest, 
Railway, consolidation, facilities, interstate commerce, elimination, benefits, provisions, approve, national 
transportation policy, present case, preserving, regulation, transit service, district court, instant case, Sherman Act, 
geographic, terminals, healthy, plenary"
131,"court of appeals, merger, Writs, district court, injunction, proceedings, cases, preliminary injunction, enjoin, Clayton 
Act, appellate jurisdiction, preliminary relief, courts, acquisition, temporary, merits, orders, consummation, 
restraining, appeals, parties, administrative agency, appellate court, antitrust, decisions, vested, staff, authorization, 
vertical, milk"
155,"bank holding company, banking, acquisitions, Clayton Act, concentration, monopoly, stock, provisions, anti trust 
law, antitrust, commerce, district court, monopolistic, regulation, merger, Pages, Hearings, factors, legislative 
history, public interest, bank stock, court of appeals, holding company, consolidation, proceedings, facilities, 
violating, acquire, cases, saving clause"
179,"labor dispute, district court, manufacturers, leaf-letting, buy, millinery, non-union, retailers, antitrust violation, 
restraint of trade"
185,"hosiery, allegations, conspiracy, customers, interstate, antitrust, counts, induce, retail, commerce"
