Page,Core Terms
21,"Align, scanner, iTero, dental practice, termination, Dental, allegations, antitrust, contracts, monopoly power, 
discount, orders, plaintiffs', patent, markets, interoperability, anticompetitive, patients, prices, competitors, 
monopolist's, purchases, scans, teeth, manufacturers, inflated, products, anticompetitive conduct, infringement, 
conceivable"
32,"generic, settlement, patent, anticompetitive, effects, brand, procompetitive, restrictive alternative, benefits, 
manufacturer, infringement, reformulated, antitrust, delayed, expiration, oxymorphone, anti trust law, invalid, parties, 
paying, generic drug, extended-release, consumers, monopoly, pharmaceutical, feasibility, competitor, negotiator, 
no-payment, percent"
50,"Designation, complex business, hog, mandatory, anti trust law, alleges"
54,"conspiracy, price-fixing, competitors, horizontal, antitrust, Sherman Act, pricing, conspiracy claim, support services, 
bare assertion, Cartwright Act, interpretations, acquire, courts"
57,"unfair, alleges, consumer, motion to dismiss, unfair practice, reporting, balancing test, inaccurate, practices, 
summary judgment, match"
63,"allegations, customers, trade secret, amended complaint, confidential information, employees, contracts, 
misappropriated, intentional interference, preempted, disruption, interfered, contractual relationship, motion to 
dismiss, contends, solicitation, unfair, prospective economic advantage, reasons, Counts, intentionally, conclusory, 
preemption, profession, interfere, practices"
78,"DFO, Global, allegations, argues, brand, false advertising, trademark infringement, false designation, website, 
agrees, unfair competition, leave to amend, prong, service mark, fraudulent, unfair, fraudulent concealment, 
consumers, promotion, trademark, relates, economic loss doctrine, false statement, reputation, goodwill, parties, 
motion to dismiss, cause of action, judicial notice, infringement"
93,"helmet, Manufacturer, Add-on, certification, allegations, conspiracy, football, Defendants', motion to dismiss, 
expectancy, license agreement, void, products, testing, restraint of trade, press release, Sherman Act, business 
relationship, tortious interference, circumstantial evidence, speculation, Athletic, factors, unreasonable restraint, 
Counts, Sports, fails"
105,"antitrust, class certification, predominance, class member, foreclosure, bid, parties, foreclosure sale, bid-rigging, 
conspiracy, certify, damages, declaration, properties, bidder, class action, plaintiffs', discovery, cleaned, renewed"
111,"allegations, user, fraudulent concealment, removal, diligence, notice, statute of limitations, developers, antitrust, 
documents, exemption, network, reasons, particularity, advertising, pled, motion to dismiss, give rise, Friends, 
argues, platform, publicly, continuing violation, limitations, third-party, misconduct, Messaging, cases, constructive 
knowledge, judicial notice"
125,"fuel, fence, Airport, statute of limitations, Sherman Act, Hangar, Reply, continuing violation, erected, lease, motion 
to dismiss, summary judgment, Defendants', accrue, sales, restrictive covenant, antitrust claim, matter of law, pre-
existing, inserted, monopoly"
132,"consumer, products, packaging, Plaintiffs', allegations, advertising, fill, deceptive, cause of action, labels, box, Mix, 
slack, healthy, prong, misleading, ingredients, online, preservatives, defense motion, artificial, marketing, unfair, 
fraudulent, additives, deceived, argues, misrepresentation, non-GMO, motion to dismiss"
181,"video game, charging, alleges, anti trust law, Sherman Act, monopoly, movies, exclusive contract, different price, 
general public, pro se, Robinson-Patman Act, commodities, prohibits, products, pleaded, futile, immune, prices, 
seller, amend, music"
183,"no-hire, employees, hired, public policy, ancillary, restraint of trade, restrictive covenant, contracts, covenant, 
parties, void, provisions, customers, courts, restrictions, termination, soliciting, CARRIER, employment agreement, 
asserts, compete, drivers, legitimate interest, unenforceable, trial court, non-compete, therapists, poaching, argues, 
rights"
200,"Bard, customers, stylet, BioFlo, sales, Clinic, standalone, technology, products, competitors, benchmark, antitrust, 
damages, email, purchasing, navigation, estimate, patient, selling, argues, confirm, preloaded, coercion, factors, 
reasons, causation, pricing, pair, market power, tip"
258,"treble damages, survive, substitution, attorney's fees, Anti-Trust, deceased, damages, costs"
263,"generic, patent, defendants', infringement, brand, settlement, manufacturer, launch, FDA, noninfringement, 
plaintiffs', pharmaceutical, prices, no-AG, market power, metformin, license, reasonable trier of fact, antitrust, 
conspiracy, parties, consumers, marketing, diabetes, motions, royalty, antitrust violation, rule of reason, 
anticompetitive, expiration"
288,"customers, Plaintiffs', privacy, motion to dismiss, unauthorized, consumer, financial information, prong, judicial 
notice, losses, incorporate by reference, unauthorized access, unfair, funds, allegations, parties, Notice, 
constitutional right to privacy, economic loss, marks, personal information, quotation, users, business practice, right 
to privacy, disclosure, violations, documents, promise, security measures"
303,"alleges, amended complaint, grievance, asserting, Amend, Defendants', retaliation, conspiracy, lawsuit, respondeat 
superior, inmate, solitary confinement, deprivation, official capacity, Imprisonment, recommended, destroyed, cause 
of action, misconduct, quotations, fail to state a claim, Clayton Act, confinement, immunity, sexual, documentation, 
violations, housed, dismissal with prejudice, constitutional right"
321,"counterclaim, serums, Trademark, affirmative defense, motion to dismiss, license agreement, tortious interference, 
tying arrangement, tied product, violation of antitrust laws, tying product, market power, customer-licensee, 
allegations, purchasing, antitrust, Licensee, unfair competition, hydradermabrasion, customer, products, license, 
argues, motion to strike, disruption, commerce, agrees, fails"
329,"prices, arbitration, damages, contracts, drugs, pharmacy, class certification, class member, named plaintiff, generic, 
health plan, predominate, parties, calculate, putative class member, putative class, Defendants', proposed class, 
reconciliation, consumer, rights, individual issues, prescription drug, class-wide, offset, class action, class period, 
common issue, aggregate, email"
363,"Tolling, lingering-effects, damages, plaintiffs', allegations, discovery, contracts, defendants', conspiracy, authorities, 
railroads, purchases, effects, transportation, lingering, nondefendant, fuel, surcharges, interline, parties, statute of 
limitations, class period, rail-freight, time-barred, multidistrict litigation, evergreen, putative class, reconsideration, 
offers, reconsideration motion"
396,"purchaser, mushrooms, conspiracy, damages, Certification, antitrust, subsidiary, indirect, prices, entities, co-
conspirator, Defendants', argues, sales, class action, ownership, Fresh, summary judgment, automatic stay, 
material fact, discovery, retail, vertical, partial summary judgment, conspirator, overcharge, packaging, personal 
knowledge, joined, eggs"
412,"purchasers, settlement agreement, lawsuit, indirect, anti-vibration, rubber, antitrust, direct-purchaser, end-payor, 
manufacturers, settlement, district court, ownership-or-control, violator, indirectly, entities, anti trust law, 
unambiguous"
421,"generic, class member, antitrust, drugs, manufacturer, purchaser, brand, Defendants', class period, anticompetitive, 
prices, predominate, uninjured, state law, variation, entities, plans, proposed class, commonality, methodology, 
overcharge, damages, certification, consumer, effects, class certification, adequacy, cease, class action, 
ascertainable"
440,"district court, statute of limitations, allegations, overt act, conspiracy, co-conspirator, civil conspiracy, tortious 
interference, misappropriation, allergy, misappropriation of trade secrets, undiscoverable, leave to amend, 
customers, diligence, providers, parties, restart, testing, limitations period, motion to dismiss, discovery rule, policy 
change, trade secret, involvement, antitrust, reasonable diligence, antitrust claim, Aftershocks, time-barred"
453,"convenient, witnesses, weighed, venue, cases, documents, factors, private-interest, public-interest, attendance, 
courts, class action, advertisers, nonparty witness, inconvenience, transferring, antitrust, parties, discovery, source 
of proof, allegations, publishers, asserts, resides, closer, movant, ease of access, ease-of-access, competitors, 
electronic"
463,"rebar, manufacturing, alleges, micro, steel, market power, market share, antitrust, relevant market, mini, 
competitors, geographic, anticompetitive, customers, fabrication, Sherman Act, output, sales, restraint of trade, 
judicial notice, foreclose, leave to amend, vertical, radius, build, built, costs, zone, motion to dismiss, rule of reason"
483,"venue, generic, motion to transfer, alleges, parties, weigh, antitrust claim, memorandum, factors, drugs, public 
interest factors, transferring, antitrust, cases, state law, Counts"
490,"immunity, municipality, franchise, Cable, state policy, displacement, market participant, antitrust claim, city council, 
anticompetitive, articulated, foreseeable, conversion, requests, trespass, license, cable television, antitrust, cable 
franchise, supplemental jurisdiction, delegated, quotation, provider, argues, marks"
501,"teams, Age Rule, league, players, soccer, injunction, single entity, procompetitive, sports, collective bargaining 
agreement, preliminary injunction, exemption, argues, games, public interest, anticompetitive, non-statutory, 
irreparable, bargaining, antitrust, asserts, playing, career, temporary restraining order, separate entity, initial 
burden, soccer player, competitors, concerted, benefits"
514,"allegations, products, motion to dismiss, counterclaims, antitrust, tortious interference, prices, anti-competitive, 
Enterprise, sales, disparaging, antitrust claim, anti trust law, manufacturers, customers, entrants, asserts"
522,"communications, conspiracy, allegations, chicken, producers, entities"
537,"allegations, conspiracy, telescope, Manufacturing, acquisition, competitor, antitrust, co-conspirators, statute of 
limitations, motion to dismiss, motion to strike, participated, monopolization, distributors, Entities, horizontal, prices, 
Plaintiffs', concealment, fraudulent concealment, affirmative act, misconduct, acquire, email, alleged conspiracy, 
class period, overt act, constitutes, affiliates, violations"
558,"counterclaim, users, advertising, allegations, contracts, collected, customers, panelists, third party, products, motion 
to dismiss, investors, fraudulent, prong, terms, term of service, competitor, intentional interference, media, 
contractual relationship, declaratory judgment, disruption, parties, asserting, deceived, unfair, leave to amend, 
networks, preliminary injunction, interfering"
576,"patents, generic, settlement, Defendants', damages, FDA, License, motion to exclude, launch, reformulated, license 
agreement, antitrust, parties, summary judgment, pharmaceutical, procompetitive, anticompetitive, oxymorphone, 
reliability, prices, generic drug, market power, calculating, methodology, scientific, profits, consumers, unreasonable 
restraint, disclosures, lawsuit"
604,"allegations, rating, advertisement, false advertising, claim for relief, prong, unfair, star, motion to dismiss, leave to 
amend, products, unfair competition, manipulate, misleading, consumers, reviewers, fraudulent"
