Page,Core Terms
21,"vitamin, comity, Ministry, export, district court, deference, Defendants', regulations, Chamber, true conflict, courts, 
prices, anti trust law, foreign law, foreign government, motion to dismiss, coordinate, factors, own law, 
manufacturers, sovereign's, commerce, grounds, Notice, industry-wide, interpreting, compliance, negotiated, 
principles, Medicines"
40,"prices, manipulation, transactions, allegations, conspiracy, Plaintiffs', Defendants', trading, antitrust, rates, spot, 
pleads, damages, markets, exchanges, commerce, currency, artificial, domestic, traders, enforcer, banks, import, 
chat room, Instruments, alleged conspiracy, spot market, communications, contracts, spreads"
70,"jukeboxes, antitrust, allegations, Defendants', venues, manufacturer, antitrust violation, rule of reason, competitor, 
per se rule, anticompetitive, horizontal, consumer, business model, vertical, boycott, effects, motion to dismiss, anti 
trust law, conspiracy, predicate, restraint of trade, relevant market, Sherman Act, innovation, terminated, 
documents, digital, output, distributors"
79,"customers, enterprise, individual defendant, alleges, billing, Defendants', plaintiff's claim, consolidated, pled, 
regulation, damages, Gas Rule, courts, natural gas, state law claim, wire fraud, regulatory authority, unfair 
competition, interfere, primary jurisdiction, entity, intentional interference, forum selection clause, breach of contract, 
court of appeals, judicial notice, charges, motion to dismiss, Sherman Act, schemes"
107,"cardholder, merchants, card, network, consumers, platform, prices, rewards, credit-card, effects, market power, 
relevant market, benefits, anticompetitive, acquirer, issuer, payment-card, vertical, insistence, two-sided, 
customers, sellers, accepting, output, hypothetical, discount, products, attract, marks, increased price"
133,"treadmill, heart rate, products, monitors, sensor, touch, consumers, injunctive relief, damages, models, amended 
complaint, substitutes, class certification, unpurchased, misrepresentation, advertised, courts, Amend, deceptive, 
readings, consumer protection, subsystems, tested, marketed, parties, buy, alleged misrepresentation, substantially 
similar, monitoring system, motion for leave"
144,"films, amended complaint, distributors, first-run, allegations, licenses, amend, Sherman Act, assertions, Donnelly 
Act, conclusory, theater, motion to dismiss, alleged facts, consumer, unreasonable restraint, relevant market, 
elimination, grounds, intentional interference, unlawful agreement, antitrust claim, leave to amend, prospective 
economic advantage, anticompetitive, effects, reasons, offers, harms, cause of action"
181,"iPic, film, theaters, clearance, licenses, distributors, trial court, temporary injunction, exhibition, consumers, first-run, 
geographic, rule of reason, market power, probable, premium, adduced, conflicting evidence, allocating, conspiracy, 
antitrust, contends, products, injunction, reputation, customers, imminent, markets, argues, right to relief"
199,"products, resellers, allegations, retailers, conspiracy, televisions, tortious interference, discovery, distributor, prices, 
antitrust, resale, Notice, anticompetitive, transshipped, unauthorized, consumers, contractual relationship, economic 
advantage, competitor, contracts, brand, authorized dealer, motion to dismiss, intentionally, advertised, website, 
malice, gray market, contractually"
206,"baseball, scouts, Franchise, exemption, players, antitrust, professional baseball, hiring, anti trust law, league, 
games, major league baseball, motion to dismiss, Plaintiffs', umpires, regulation, antitrust claim, decisions, major 
league, team, employment relationship, practices, cases, baseball player, negotiations, Defendants', immunity, 
attend, employment contract, baseball game"
221,"customers, business partner, login, aftermarket, software, matter of law, antitrust, damages, password, letters, 
monopolization, patches, maintenance services, common law claim, summary judgment, contracts, license, prices, 
counterclaims, tortious interference, unauthorized, commands, purchasers, features, products, contractual, 
terminated, seller, antitrust liability, upgrades"
276,"import, capacitors, commerce, domestic, prices, Sherman Act, effects, purchaser, parties, conspiracy, defendants', 
shipped, global, allegations, abroad, transactions, entities, products, Phase, sales, proximate cause, antitrust, 
finished, billed, state law, extraterritorial, consumer, prong, foreign nation, give rise"
289,"foreclosed, dealers, foreclosure, reasonable jury, manufacturers, Website, consumers, partial summary judgment, 
exclusive agreement, summary judgment, competitors, sales, estimate, listing, relevant market, terminable, parties, 
advertising, short-term, used car, Reply, spillover, effects, deals, monopoly power, second amended complaint, 
anticompetitive, redactions, courts, Sherman Act"
314,"REDACTED, network, patients, foreclosure, provider, contracts, foreclosed, Peoria, insured, exclusive contract, 
compete, in-network, payors, matching, health plan, rates, outpatient, competitor, calculation, prices, employees, 
relevant market, customers, inpatient, Fig, Healthcare, volume, negotiations, summary judgment, antitrust"
461,"defendants', plaintiffs', allegations, damages, recorded, trespass, conversations, staff, meetings, videos, motion to 
dismiss, Planned, confidential, conferences, cases, abortion, Co-Conspirators, injuries, motion to strike, declaration, 
privacy, tissue, fake, fraudulent, employees, identification, circumstances, intercepted, predicate act, anti-SLAPP"
494,"exclusionary, transportation, Ambulance, provider, emergency medical services, protocols, emergency medical, 
anticompetitive, antitrust, patients, supervision, emergency, asserts, transit service, anticompetitive conduct, state 
action doctrine, public record, contends, courts, triage, ambulance service, anti trust law, municipalities, 
authenticated, regulations, consumer, entities, monopoly, trauma, prong"
503,"taxicab, immunity, Transportation, motion to dismiss, anticompetitive, Taxi, anticompetitive conduct, antitrust, Cab, 
articulated, regulations, licensing, displacement, state policy, allegations, supervision, government entity, delegated"
509,"Fixing, gold, manipulation, Plaintiffs', Banks, prices, fix prices, allegations, Defendants', antitrust, trading, 
downward, artificial, class period, conspiracy, positions, motion to dismiss, markets, benchmark, suppression, chart, 
pleading stage, transacted, factors, derivatives, conspired, bullion, personal jurisdiction, unjust enrichment, antitrust 
claim"
543,"Fixing, silver, manipulation, Plaintiffs', fix prices, prices, trading, allegations, artificial, Defendants', antitrust, 
downward, markets, motion to dismiss, conspiracy, suppression, bid, damages, FINMA, precious metals, conspired, 
spot, causation, commodity, contracts, pleading stage, transacted, unjust enrichment, misconduct, injuries"
583,"Dealers, allegations, sales, Conspiring, Counts, motion to dismiss, baselines, representations, dealership, 
allocated, coercion, fraudulent, good faith, misrepresentation, termination, induced, schemes, terms, franchise, 
contends, argues, profits, metric, intimidation, subsidies, damages, repairs, courts, models, unfair"
600,"counterclaim, taxi, unfair, alleges, motion to dismiss, prong, unfair competition, market power, fleet, Restraining, 
mobile, relevant market, Sherman Act, anti trust law, leave to amend, unlawful restraint, antitrust claim, Cartwright 
Act, contracts, practices, violates, drivers"
606,"managed care, network, conspiracy, contracts, Defendants', antitrust, competitors, statute of limitations, Premier, 
referrals, limitations period, patients, summary judgment motion, non-compete, argues, anticompetitive, horizontal, 
rival, injurious act, termination, per se rule, continuing violation, insurers, damages, lease, inaction, rule of reason, 
negotiations, affiliation, effects"
632,"conspiracy, rule of reason, motion in limine, price fixing, exclude evidence, allegations, per se rule, exchanges, 
notice, anticompetitive, Reply, fix prices, discovery, purchases, prices, theory of liability, introduce evidence, 
conspired, Dealers, amended complaint, motion to dismiss, anti trust law, distinct claim, make reference, purposes, 
tubes, exchanging information, instant motion, guilty plea, prejudicial"
686,"Fighters, Elite, relevant market, anticompetitive, antitrust, motion to dismiss, bouts, Output, market power, Sherman 
Act, exclusionary, argues, monopoly power, monopsony, monopoly, rights, cases, allegations, competitors, 
promotion, survive, Input, monopolist, athletes, markets, prices, rivals, foreclose, commerce, sport"
701,"market power, markets, retailers, leverage, lease, tie, tenants, anticompetitive, negotiations, coercion, opined, 
prices, tied product, market share, geographic, effects, buyer, properties, seller, tying arrangement, tying product, 
economist, purchases, offering, direct-effects, competitors, credibility, expertise, reliable, expert testimony"
715,"Plans, conspiracies, provider, Sherman Act, instrumentalities, summary judgment, conspiring, prices, medical 
provider, anticompetitive, territorial, service area, antitrust, parties, license agreement, discounts, economic interest, 
manufacturer, designated, geographic, products, genuine, pawns, contracts, differentials, reimbursement, 
consciously, marketing, license, intellectual property"
