Page,Core Terms
21,"affirmative defense, infringement, copyright infringement, notice, damages, statutory damages, deny a motion, 
motion to strike, creative, mitigate, misuse, fair notice, abandonment, allegations, quotation, marks"
28,"fuel, pricing, station, competitors, grocery, unfair, trial court, customers, practices, discount, promotions, below-cost, 
target, sales, programs, costs, anti trust law, harming, margins, chains, Card, destroy the competition, loss leader, 
contends, Rewards, retail, injure a competitor, grocery business, fuel-discount, compete"
38,"regression, mushroom, agnostic, variables, damages, antitrust, reliability, defendants', overcharge, Reply, 
statistical, expert testimony, farm, estimated, assumptions, percent, prices, free period, methodology, unreliable, 
geographic, econometrics, benchmark, anticompetitive conduct, class certification, fresh, sales data, calculating, 
motion to exclude, effects"
62,"antitrust, motion to dismiss, Defendants', personal jurisdiction, alleges, donations, fails, conspiracy, media, leave to 
amend, anti trust law, general jurisdiction, Sherman Act, contacts, card, expectancy, Clayton Act, service-of-
process, processing, sufficient facts, market place, factors, percent, redress, harmed, venue, tortious interference, 
establish standing, restraint of trade, concerted effort"
72,"generic, settlement agreement, patent, antitrust, Plaintiffs', launch, manufacturer, no-AG, settlement, new trial, filer, 
brand, district court, anticompetitive, damages, jury trial, arbitration, courts, rights, injunctive relief, infringement, 
causation, pharmaceutical, first-filer, clauses, antitrust violation, forfeiture, questions, summary judgment motion, 
consumers"
129,"space, Root, alleges, domain name, conspiracy, registries, trademark, district court, infringement, Sherman Act, 
antitrust, member of the board, unfair competition, users, tortious interference, relevant market, business model, 
insiders"
141,"helmets, concussions, reduction, Plaintiffs', technology, marketing, Youth, consumer fraud, football, misleading, 
advertising, unjust enrichment, amended complaint, allegations, incidence, motion to dismiss, consumers, exposed, 
players, pleaded, unfair, deceptive, premium, ascertainable loss, flaws, declaratory relief, quotations, website, 
business practice, misrepresentations"
163,"LIBOR, plaintiffs', tolling, manipulation, counterparties, banks, personal jurisdiction, unjust enrichment, suppression, 
swap, cases, class-action, inquiry notice, tortious interference, statute of limitations, entities, appointment, 
defendants', traded, parties, discovery rule, allegations, contracts, time-barred, complaints, persistent, accruing, 
antitrust, affiliates, class action"
364,"duty free, products, false advertising, competitors, airport, allegations, space, airport authority, Lanham Act, 
contributory, Travel, antitrust, quotation, beauty, display, Retail, international airport, district court, inventory, 
brands, Ski, disparagement, inducement, customers, injunctive relief, anti trust law, restrictions, monopolize, lease, 
tortious interference"
395,"software, place-and-route, alleges, affirmative defense, verification, leave to amend, antitrust, customers, 
competitors, Sherman Act, monopolization, acquisition, quotation, fails, interoperability, acquirer, methanol, argues, 
misuse, Clayton Act, anticompetitive, Counterclaims, consumers, producers, products, violates, license, unfair, 
sales, motion to dismiss"
