Page,Core Terms
21,"suspended, Plaintiffs', suspension, Regulation, reduction, allegations, property value, consumer, line of credit, 
declines, argues, unfair, reinstatement, appraisal, unjust enrichment, borrowers, pleaded, annual fee, valuation, fair 
dealing, percent, contract provision, court concludes, implied covenant of good faith, circumstances, origination, 
fraudulent, inaccurate, breached, violates"
49,"diversity, real party in interest, parens patriae, remedies, quasi-sovereign, diversity jurisdiction, marital status, claim-
by-claim, injunctive, damages, citizenship, asserting, civil penalty, practices"
55,"warranty, Donnelly Act, allegations, rule of reason, consumers, disclaimer, antitrust, consumer-oriented, injunction, 
misleading, motion to dismiss, policies, products, commerce, argues, deceptive trade practices, private right of 
action, manufacturer, preemption, deceptive, practices, retailers, vertical, courts, declaratory, customers, parties, 
void"
64,"Adobe, counterclaims, software, misuse, products, motion to dismiss, false light, disparagement, defamation, first 
sale doctrine, resellers, user, leave to amend, Counter-Defendants, allegations, copies, unfair competition, license 
agreement, anticompetitive, antitrust, dismissal with prejudice, restraint of trade, computer software, secondary 
market, conspiracy, pleadings, licensed"
70,"commerce, import, defendants', Sherman Act, antitrust, anti-competitive, conspiracy, domestic, interlocutory appeal, 
price fixing, export, prices, foreign nation, plaintiffs', consumers"
78,"arbitration, parties, arbitration agreement, compel arbitration, arbitration clause, contractual relationship, antitrust, 
discovery, disputes, waive, motion to compel arbitration, matters, argues, touch, motion to dismiss, conspiracy, 
purchases"
93,"conspiracy, hiring, intracorporate conspiracy doctrine, employees, predicate, conspire, documents, racketeering, 
allegations, violations, cases, wages, dismissal with prejudice, motion to dismiss, facilities, attest, fail to state a 
claim, illegal immigrant, hiring practices, cause of action, fraudulent, aliens, courts, amend, staff"
106,"free air, Sherman Act, allegations, antitrust, surreplies, motion to dismiss, anti trust law, charitable, cable television, 
relevant market"
111,"allegations, Steel, Products, Tin, conspiracy, competitors, prices, specific intent, Sherman Act, monopolize, 
conspiracy to monopolize, motion to dismiss, argues, anticompetitive, antitrust, restraint of trade, relevant market, 
Cartwright Act, meetings, alleged conspiracy, pleadings, contracts, inferred, compete, food, equalization, 
manufacturer, implausible, tin-plated, monopoly"
125,"antitrust claim, restraint of trade, policyholders, conspiracy, no cause of action, unfair trade practice, antitrust, 
vertical, allegations, cause of action, rule of reason, horizontal, peremptory exception, material fact, writ denied, 
Federal Trade Commission Act, plaintiffs-appellees, competitors"
133,"injunction, players, League, labor dispute, employees, lockout, Clayton Act, exemption, district court, antitrust, 
Norris-LaGuardia Act, legislative history, anti trust law, disclaimer, enjoined, parties, courts, collective bargaining, 
terminating, Relations, nonstatutory, terms, employer and employee, organized labor, federal court, labor 
organization, free agent, Sherman Act, organizations, bargaining"
164,"disgorgement, Antitrust, unjust enrichment, defendants', equitable relief, Sherman Act, profits, available remedy, 
equitable, motion to dismiss, federal court, authorize, damages"
184,"franchises, diversity, alleges, deposit, racketeering, wire, racketeering activity, motion to dismiss, defendants', 
memorandum, antitrust"
190,"exemption, anticompetitive, effects, grocers, profit sharing agreement, customers, defendants', antitrust, bargaining, 
anti trust law, rule of reason, profits, labor dispute, Sherman Act, collective-bargaining, compete, terms, 
procompetitive, circumstances, non-statutory, competitors, profit sharing, wages, consumers, courts, prices, 
negotiations, confident, parties, Food"
229,"lease, motion to dismiss, cause of action, antitrust, offers, bonus, signing, rights, pled, civil conspiracy, 
representations, alleges, matter of law, binding"
235,"notice of claim, tipping, notice, circuit court, government entity, antitrust action, solid waste, exempt, court of 
appeals, claimant, statutory scheme, per ton, prompt resolution, landfill, purposes, injunctive relief, actual notice, 
hinder, damages, restraint of trade, summary judgment, violations, municipal, accrue, specific statute, give rise, 
antitrust, subdivision, discovery, cause of action"
255,"motion to dismiss, allegations, amended complaint, antitrust, mortgage, assertions, Defendants', monopolize, anti 
trust law, cause of action, leave to amend, relevant market, Unconscionability, Violations, lender, pleading 
requirements, circumstances, conspiracy, Practices, emotional distress, misrepresentation, anticompetitive, 
conclusory, fraudulent, disclose, unfair, vague, constitute fraud, fiduciary duty, deceptive act"
266,"preempted, removal, allegations, Notice, preemption, foreclosure, modification, state law, misrepresentation, leave 
to amend, regulations, mortgages, motion to dismiss, diversity, documents, trust deed, default, lending, 
supplemental jurisdiction, violations, costs, unlawful detainer action, promissory estoppel, parties, unfair, MOOT, 
foreclosure proceeding, savings association, mortgage payment, motion to strike"
284,"milk, prices, conspiracy, dairy, plaintiffs', cooperatives, fluid, farmers, antitrust, marketing, monopolization, 
southeast, bottling, blend, anti-competitive, plants, monopsonize, relevant market, monopoly power, geographic, 
horizontal, monopsony, market share, participated, competitors, Orders, market power, filed-rate, damages, anti 
trust law"
312,"Music, allegations, antitrust, purchasers, Defendants', prices, indirect, parent company, unjust enrichment, motion 
to dismiss, Plaintiffs', conspiracy, class action, intrastate, subsidiary, deceptive, cases, consumer protection, anti 
trust law, joint venture, restitution, class certification, parasitic, state-law, unfair, supracompetitive, consumers, 
damages, named plaintiff, quotation"
346,"final judgment, merchants, public interest, proposed judgment, Consumer, discount, settlement, Card, public 
comment, credit card, anti-steering, comments, approve"
352,"Plaintiffs', class certification, regression, products, prices, certification, antitrust, class-wide, purchasers, lights, 
alleged conspiracy, class action, class member, methodology, reliable, damages, purport, courts, merits, Reply, 
cases, predominance, variable, flawed, member of the class, question of law, expert report, substitutions, 
commonality, disparities"
366,"adenosine, antitrust, allegations, patent, Brick, amended complaint, purchaser, monopolize, anticompetitive, 
myocardial, imaging, stress, anti trust law, perfusion, motion to dismiss, injury in fact, patients, relevant market, 
competitors, products, effects, expiration, providers, indirect, monopoly, asserts, generic, cases, tortious 
interference, tied product"
377,"conspiracy, unjust enrichment, allegations, plaintiff's claim, trade secret, factual allegations, cause of action, 
misappropriation, peremptive, employees, merits, fraudulent, antitrust claim, asserts, motion to dismiss, no 
determination, prescriptive, purported, misrepresentations, prescribed, omissions, fraud claim, three year, state law, 
one year, correctly, delictual, contends, tortious, unfair trade practice"
388,"forum selection clause, district court, arbitration clause, retroactive, evidentiary hearing, overreaching, arbitration, 
parties, argues, antitrust claim, public policy, Programs, courts, terms"
396,"disparagement, sham, technology, lawsuit, licensees, license, press release, summary judgment, counterclaim, 
pleadings, immunity, Lanham Act, allegations, false designation, matter of law, judicial-proceedings, Reactor, trade 
secret, misappropriation, nonmoving, summary judgment motion, common law, antitrust, fails, judicial proceedings, 
false advertising, proprietary, baseless, no evidence, genuine"
408,"municipality, electricity, immunity, monopoly, anticompetitive, antitrust, foreseeable, annexed, anticompetitive 
conduct, authorize, cooperative, customers, sewage, anti trust law, Restructuring, markets, rural, Sherman Act, jail, 
Regulation, powers"
417,"antitrust, counterclaim, motion to strike, courts, antitrust statute, rule of reason, anticompetitive, argues, fixing"
422,"solid waste, municipality, collection, disposal, solid waste management, supervision, households, transfer station, 
bags, anti trust law, recycling, state action, regulations, cart, residential, antitrust, displace, summary judgment 
motion, city limits, immunity, state policy, Ambulance, Alternate, franchise, monopoly, rates, state action doctrine, 
ambulance service, summary judgment, trash collection"
435,"Settlement, Notice, Milk, attorney's fees, lawsuit, class member, discovery, risks, settlement fund, class action, 
preliminary approval, factors, class representative, market share, courts, dairy, incentive award, antitrust, farmers, 
settlement amount, questions, revised, costs and expenses, negotiated, lodestar, damages, cases, raw, class 
action litigation, attorney's fees award"
450,"conspiracy, purchasers, allegations, Products, indirect, manufactured, price-fixing, prices, co-conspirators, antitrust, 
plaintiffs', third party, optical, alleged conspiracy, Consolidated, discs, leave to amend, price fixing, stand alone, 
finished product, Sherman Act, drive, motion to dismiss, fix prices, defendants', camcorders, consoles, damages, 
pleaded, amended complaint"
