頁碼,內容類型,內容
23,Judges,"Judges:  [**1]   Day, District Judge."
23,Opinion by,Opinion by:  DAY
31,Judges,"Judges:  [**1]  Pierce, D.J."
31,Opinion by,Opinion by: PIERCE
43,Opinion by,"Opinion by:  [*1]  PAYNE, D.J."
45,Judges,"Judges:  [**1]  Bogue, District Judge."
45,Opinion by,Opinion by: BOGUE
50,Judges,"Judges:  [**1]  Varner, D.J."
50,Opinion by,Opinion by: VARNER
55,Opinion by,"Opinion by:  [*1]  HOLDER, D.J."
66,Judges,"Judges:  [**1]   Renfrew, District Judge."
66,Opinion by,Opinion by:  RENFREW
129,Judges,"Judges: Heaney, Stephenson and Webster, Circuit Judges."
129,Opinion by,Opinion by: HEANEY
140,Counsel,"Counsel: Harvey S. Kronfeld, Esq., Philadelphia, Pennsylvania (Mesirov, Gelman, Jaffe & Levin and Anthony E. 
Creato, Esq., of Counsel), for Appellants Aldon Industries, Incorporated and 19 other objectors. 
William Simon, Esq., Washington, D.C. (Howrey, Simon, Baker & Muchison and G. Joseph King, Esq. of Counsel) 
for Appellants et al., Claimants. 
David Berger, Esq., Philadelphia, Pennsylvania (David Berger, P.A. and H. Laddie Montague, Jr., Esq., of Counsel), 
for Appellees City of Detroit,  [**2]  Manhattan-Ward, Incorporated, Inc., Class Representatives. 
Gordon B. Spivak, Esq., New York, New York (Lord, Day & Lord, Herbert Borwnell, Esq., Thomas D. Brislen, Esq., 
David Berger, P.A., Philadelphia, Pennsylvania, David Berger, Esq. and H. Laddie Montague, Jr., Esq., of Counsel), 
for Appellees David Berger and David Berger, P.A., Counsel for Class Representatives. 
Denis McInerney, Esq., New York, New York (Cahill, Gordon & Reindel, Thomas Currin, Esq. and Allen S. Joslyn, 
Esq., of Counsel), for Appellee Grinnell Corporation; (White & Case, MacDonald Flinn, Esq., Thomas McGainney, 

 
Esq., Mario Diaz-Cruz III, Esq., New York, New York, of Counsel), for Appellee American District Telegraph 
Company; (Kelley, Drye, Warren, Clark, Carr & Ellis and Bud G. Holman, Esq., New York, New York, of Counsel), 
for Appellee Holmes Electric Protective Company; (Olwine, Connelly, Chase, O'Donnell & Weyher, William F. 
Sondericker, Esq. and Joseph M. Burke, Esq., New York, New York, of Counsel), for Appellee Automatic Fire Alarm 
Company. 
Barry Brett, Esq., New York, New York (Parker, Chapin & Flattau, Alvin M. Stein, Esq., Weil, Gotshal & Manges, A. 
Paul Victor, Esq., Freda F. Bein, Esq., Liebman,  [**3]  Eulau, Robinson & Perlman, Herbert Robinson, Esq., New 
York, New York, of Counsel), for Appellees Pro Se."
140,Judges,"Judges: Moore and Hays, Circuit Judges, Bryan, District Judge. *"
140,Opinion by,Opinion by: MOORE
163,Judges,"Judges:  [**1]   Russell, Jr., D.J."
163,Opinion by,"Opinion by: RUSSELL, JR."
174,Counsel,"Counsel: Nathan L. Posner, Esq. Victor Esq. Donald Brown, Esq. Philadelphia, Pennsylvania, Of"
174,Counsel,"Counsel: Fox, 
Rothschild, O'Brien & Frankel, Esqs. Attorneys for Appellant.
William H. Lowery, Esq. Richard R. Rulon, Esq. John F. Wilson, III, Esq. Philadelphia, Pennsylvania, Of"
175,Counsel,"Counsel: 
Decshert, Price & Rhoads, Esqs. Attorneys for Appellee."
175,Judges,"Judges: Biggs, Gibbons and Garth, Circuit Judges."
175,Opinion by,Opinion by: GARTH
182,Counsel,"Counsel: John O. Demaret and Richard G. Crotty, both of Chicago, for appellant.
Kirshbaum and Kroll, of Chicago (Barry L. Kroll, Charles C. Kirshbaum and Marvin P. Shore, of counsel), for 
appellees."
182,Judges,"Judges: Mr. Justice Johnson delivered the opinion of the court.  Adesko, P.J., and Dieringer, J., concur."
182,Opinion by,Opinion by: JOHNSON
189,Counsel,"Counsel: Sanford Robert Shapiro and Warren B. Rosenbaum for appellant.  I. The application of the minimum fee 
schedule may not avoid a test of ""reasonability"" in determining a lawyer's compensation.  ( Matter of Levy, 19 A D 
2d 413; Matter of Snell, 17 A D 2d 490; Matter of Robinson, 202 Misc. 231; Burnett v. Graves, 230 F. 2d 49, 351 
U.S.  984.) II. Primary reliance on a minimum fee schedule is per se unreasonable where direct testimony as to 
services is available.  ( Matter of Martin, 21 A D 2d 646, 16 N Y 2d 594; Matter of Young, 52 Misc 2d 398.) III.  
Section 340 of the General Business Law (Donnelly Act) applies to pricing practices in the furnishing [****4]  of legal 
services.  ( Maxine Gerard, Inc. v. May & Co., 51 Misc 2d 711, 27 A D 2d 922; Manhattan Stor. & Warehouse Co. v. 

 
Movers' & Warehousemen's Assn., 262 App. Div.  332, 289 N. Y. 82; State of New York v. Milk Handlers & 
Processors Assn., 52 Misc 2d 658.) IV. The Monroe County Bar Association's ""minimum fee schedule"" is a 
regulated arrangement under the Donnelly Act.  ( Matter of Davies, 168 N. Y. 89; People v. Epstean, 102 Misc. 476; 
Purofied Down Prods. Corp. v. National Assn. of Bedding Mfrs., 201 Misc. 149; Pleaters, Stitchers & Embroiderers 
Assn. v. Jaffe Pleating Co., 176 Misc. 411; New York Clothing Mfrs.' Exch. v. Textile Furnishers Assn., 238 App. 
Div. 444; People v. Sheldon, 139 N. Y. 251; Alexander's Dept. Store v. Orhbach's, 266 App. Div. 535; Straus v. 
American Publishers' Assn., 85 App. Div. 446, 177 N. Y. 473; People v. Masiello, 177 Misc. 608.) V. The effect of 
the Monroe County Bar Association's minimum fee schedule is to unreasonably fix, establish, stabilize and maintain 
price levels for legal services in all of Monroe County.  ( Barns v. Dairymen's League Co-op. Assn [****5]  ., 220 
App. Div. 624.) VI. The consumer beneficient policy of the Donnelly Act empowers the court to determine whether 
computation of legal fees pursuant to a minimum fee schedule is illegal.  VII. The Bar's exclusive franchise to 
render legal services to the public impresses it with a public trust that the courts must closely supervise to protect 
the public interest.  ( Whitaker v. Kilby, 55 Misc. 337, 122 App. Div. 895.) VIII. The fee in the instant case, computed 
by use of the minmum fee schedule, is unreasonable per se and should not be allowed.
Luther Ira Webster for respondent.  I. The ""reasonableness"" of the fee of respondent's counsel was a question of 
fact.  ( Matter of Sewell, 32 Misc. 604; Matter of Potts, 213 App. Div. 59, 241 N. Y. 593; Matter of Brehm, 37 A D 2d 
95; Matter of Lipsit, 21 A D 2d 509, 15 N Y 2d 588; Matter of Wheeler, 25 Misc 2d 933; Matter of Krasner, 12 Misc 
2d 814; Matter of Smith, 4 Misc 2d 620; Matter of Krooss, 200 Misc. 1003; Matter of Mackenzie, 155 Misc. 822.) II. 
It is the policy of this State to establish schedules for commissions of fiduciaries.  ( Matter of Burroughs, 155 Misc. 
237; Matter of  [****6]   Lester, 172 App.  Div. 509.) III. The interpretation of section 340 of the General Business 
Law is for the courts of this State.  ( New York Bank Note Co. v. Hamilton Bank Note Engraving & Print. Co., 180 N. 
Y. 280; Goldfarb v. Virginia State Bar, 355 F. Supp. 491; People ex rel. Rice v. Graves, 242 App.  Div. 128; 
Johnston v. Compagnie Generale Transatlantique, 242 N. Y.  381; People ex rel. Central Park, North & East Riv. R. 
R. Co. v. Wilcox, 194 N. Y. 383; American Med. Assn. v. United States, 317 U.S.  519; United States v. Real Estate 
Bds., 339 U.S. 485; United States v. Oregon Med. Soc., 343 U.S. 326; Barns v. Dairymen's League Co-op.  Assn., 
220 App. Div. 624; State of New York v. Milk Handlers & Processors Assn., 52 Misc 2d 658, 28 A D 2d 971.) IV. 
There is no proof of injury to the public.  ( McAvoy v. Harron, 26 A D 2d 452.)
Michael J. Beyma, Elliott Horton and Alan Illig for Monroe County Bar Association, amicus curiae.  I. The legality of 
fee schedules is not in issue in the present controversy.  ( Matter of Gilman, 251 N. Y.  265; Matter of Lewis, 278 
App. Div. 888,  [****7]  308 N. Y. 795; Hannahs v. Hannahs, 68 N. Y. 610; Matter of Snell, 33 Misc 2d 1044, 17 A D 
2d 490; Matter of Richards, 5 A D 2d 124; Matter of De Graff, Foy, Conway & Holt-Harris v. McKesson & Robbins, 
31 N Y 2d 862.) II. The law is a noble and ancient profession, the members of which are subject in all aspects of 
their conduct and ethics to regulation by the courts.  ( Matter of Rouss, 221 N. Y. 81; Matter of New York County 
Lawyers' Assn. v. Dacey, 28 A D 2d 161, 21 N Y 2d 694; Lavanant v. Lovelace, 71 Misc 2d 974; Matter of Cohen, 9 
A D 2d 436; Matter of Cooper, 22 N. Y. 67; Erie County Water Auth. v. Western N. Y. Water Co., 304 N. Y. 342; 
Matter of Flannery, 212 N. Y. 610; Matter of Percy, 36 N. Y. 651; Matter of Ushkow, 34 A D 2d 159; Matter of 
Hughes, 35 A D 2d 440.) III. The absence of Bar Association fee schedules might lead to solicitation of clients 
which could be harmful to the legal profession and the public generally.  ( Matter of Clark, 184 N. Y. 222; Matter of 
Anonymous, 32 A D 2d 37; Matter of Connelly, 18 A D 2d 466; Matter of Pouker, 203 App. Div. 520; People v. 
Meola [****8]  , 193 App. Div. 487; People v. Schneider, 20 A D 2d 408; People ex rel. Karlin v. Culkin, 248 N. Y. 
465.) IV. The Donnelly Act applies to the regulation of trade and of services related to trade while the Judiciary Act 
applies to the conduct of lawyers; each is exclusive of the other.  ( Goldfarb v. Virginia State Bar, 355 F. Supp. 491; 
Matter of Carey v. Cruise, 246 N. Y. 237; New York Clothing Mfrs.' Exch. v. Textile Finishers Assn., 238 App. Div. 
444; Emmons v. Smitt, 58 F. Supp. 869; Hillside Housing Corp. v. Eisenberger, 173 Misc. 75; Matter of New York 
County Lawyers Assn. [Roel], 4 Misc 2d 721; Rozell v. Rozell, 281 N. Y. 106; People v. Banks, 168 Misc. 515.) V. 
Antitrust laws do not apply to fees which are determined by a court.  ( Mine Workers v. Pennington, 381 U.S. 657; 
Eastern R. R. Conference v. Noerr Motors, 365 U.S. 127; Schenley Ind. v. N. J. Wine & Spirit Wholesalers Assn., 
272 F. Supp.  872; California Transp. v. Trucking Unlimited, 404 U.S. 508; Parker v. Brown, 317 U.S. 341.) VI. 
Numerous Legislatures and courts have found Bar Association fee schedules [****9]  to be in the public interest.  ( 

 
Matter of Snell, 33 Misc 2d 1044, 17 A D 2d 490; Matter of O'Donnell, 28 Misc 2d 1040; Matter of Robinson, 202 
Misc. 231; Matter of Lewi, 199 Misc. 99; Matter of Felton, 199 Misc. 507.) VII. Bar Association fee schedules are an 
indispensable aid to attorneys in determining customary charges so that a particular fee is not exorbitant.  ( Matter 
of Snell, 17 A D 2d 490; Gair v. Peck, 6 N Y 2d 97.) VIII. Bar Association fee schedules generally discourage unduly 
high charges and provide a standard against which unreasonably high charges may be recognized, challenged and 
corrected.  ( Matter of McCullough, 14 Misc 2d 769, 10 A D 2d 634, 9 N Y 2d 993.) IX. Legal services performed for 
an estate are of a similar nature to the services rendered by fiduciaries whose fees are uniformly set as a 
percentage of estate assets.  ( Matter of Snell, 33 Misc 2d 1044, 17 A D 2d 490.) X. The Sherman Act similarly 
should not be considered applicable to the conduct of lawyers.  ( Citizen Pub. Co. v. United States, 394 U.S. 131; 
United States v. General Motors, 384 U.S. 127; Northern Pacific Ry. Co. v. United States [****10]  , 356 U.S. 1; 
United States v. United States Steel Corp., 233 F. Supp. 148; United States v. Container Corp., 393 U.S. 333; 
United States v. Socony Mobil Oil Co., 356 U.S. 925; Parker v. Brown, 317 U.S. 341; Washington Brewers Inst. v. 
United States, 137 F. 2d 964.)"
190,Judges,"Judges: Judges Jasen, Gabrielli, Jones, Rabin and Stevens concur with Chief Judge Breitel; Judge Wachtler 
concurs in a separate opinion."
190,Opinion by,Opinion by: BREITEL
198,Judges,"Judges:  [**1]  Bauer, D.J."
198,Opinion by,Opinion by: BAUER
210,Judges,"Judges:  [**1]  Decker, District Judge."
210,Opinion by,Opinion by: DECKER
221,Counsel,"Counsel:  [**1]  Peter H. Meyers, Washington, D.C., with whom John F. Banzhaf, III, Washington, D.C., was on the 
brief, for Appellants. 
James P. Timony, Atty., F.T.C., for Appellee. Harold D. Rhynedance, Jr., Asst. Gen. Counsel, F.T.C., Nicholas S. 
Reynolds, Atty., F.T.C., Howard E. Shapiro, Atty., Dept. of Justice, and Harold H. Titus, Jr., U.S. Atty. at the time 
the brief was filed, were on the brief, for Appellee."
221,Judges,"Judges: Wright and Tamm, Circuit Judges, and Wyzanski, * United States Senior District Judge for the District of 
Massachusetts.  J. Skelly Wright, Circuit Judge (concurring)."
221,Opinion by,Opinion by: TAMM
230,Judges,"Judges: Kaufman, Chief Judge, and Smith and Anderson, Circuit Judges."
230,Opinion by,Opinion by: KAUFMAN
236,Opinion by,Opinion by:  [*1]  LYNNE
242,Judges,"Judges:  [**1]  Atkins, District Judge."
242,Opinion by,Opinion by: ATKINS
269,Judges,"Judges: Edwards, Peck and Miller, Circuit Judges."
270,Opinion by,Opinion by: MILLER
276,Counsel,"Counsel: R. Kennedy Bridwell (Richard E. Thigpen, Jr.; C. Wells Hall; Thigpen and Hines on brief), for Appellant. 
William C. Lassiter (Lassiter and Walker; Louis W. Gaylord, Jr.; Gaylord and Singleton on brief), for Appellee; 
(Jonathan T. Howe; Robert A. Garrett; Jenner and Block on brief for Amici Curiae, National Association of 
Advertising Publishers and Publishers Distribution Institute."
276,Judges,"Judges: Craven and Widener, Circuit Judges, and Ward, District Judge. *"
276,Opinion by,Opinion by: CRAVEN
284,Judges,"Judges: Phillips, Chief Judge, Edwards, Circuit Judge, and O'Sullivan, Senior Circuit Judge."
284,Opinion by,Opinion by: EDWARDS
292,Counsel,"Counsel: Alan B. Morrison (W. Thomas Jacks on brief) for Appellants in No. 73-1247 and for Appellees in No. 73-
1248; Stuart Dunn, Assistant Attorney General of Virginia, and T. J. Markow, Assistant Attorney General, on brief) 
for Appellee in No. 73-1247; Lew Booker (John H. Shenefield, T. S. Ellis, III, Hunton, Williams, Gay and Gibson on 
brief) for Appellant in No. 73-1248."
292,Judges,"Judges: Boreman, Senior Circuit Judge, Craven and Field, Circuit Judges.  Craven, Circuit Judge, concurring and 
dissenting."
292,Opinion by,Opinion by: BOREMAN
315,Counsel,"Counsel: James Scott Kreager, New York, New York, Plaintiff-Appellant Pro Se in both Appeals. 
Phil E. Gilbert, Jr., New York, New York (Elihu Inselbuch, Robert G. Bernstein and Gilbert, Segall and Young, New 
York, New York, on the brief), for General Electric Company, Fred J. Borch, Herman L. Weiss, John B. McKitterick, 
John P. Donohue, David W. Burke, Donald D. Scarff, Thomas Castle and Robert J. Diefenthaler (Defendants-
Appellees in No. 73-1987) and for General Electric Company, Herman L. Weiss, David W. Burke, John B. 
McKitterick, John P. Donohue and Luther Earl Birdzell, Jr., (Defendants-Appellees in No. 73-2577). 
Ernest S. Meyers,  [**2]  New York, New York (Jules E. Yarnell and LaPorte & Meyers, New York, New York, on the 
brief), for International Telephone and Telegraph Corp., Harold S. Geneen, Raymond L. Brittenham, Henry E. 
Bowes, Robert J. Theis, James Paul Januzzo, James A. O'Connell, John T. Thompson, Cornell Remsen and 
Edward J. Fitzpatrick (Defendants-Appellees in No. 73-1987). 
Peter J. Gartland, New York, New York (Peter A. Dankin and Wender, Murase & White, New York, New York, on 
the brief), for Toshiba America, Inc. (Defendant-Appellee in Nos. 73-1987 and 73-2577) and for Tokyo Shibaura 
Electric Co., Ltd. (Defendant-Appellee in No. 73-2577)."
316,Judges,"Judges: Danaher, * Lumbard and Timbers, Circuit Judges."
316,Opinion by,Opinion by: TIMBERS
320,Judges,"Judges:  [**1]  Charles R. Scott, District Judge."
320,Opinion by,Opinion by: SCOTT
336,Counsel,"Counsel:  [*1]  IRWIN PANTER, RICHARD L. BRAUER, and NORMAN LETTVIN, all of Chicago, Ill., for plaintiff.  
NEUMAN, WILLIAMS, ANDERSON & OLSON, SIDNEY NEUMAN, ROBERT L. AUSTIN, and AARON PASSMAN, 
all of Chicago, Ill., for defendants."
336,Opinion by,Opinion by: AUSTIN
357,Judges,"Judges: Hemphill, District Judge."
357,Opinion by,Opinion by: HEMPHILL
401,Judges,"Judges:  [**1]   Ward, District Judge."
401,Opinion by,Opinion by: WARD
412,Counsel,"Counsel: Daniel F. Kolb, Esq., New York, New York (Davis Polk & Wardwell and Charles J. Moxley, Jr., Esq., 
William T. Bickerstaff, Esq., Dale L. Matschullat, Esq., and Rhea Kemble Neugarten, Esq., of Counsel), for Missouri 
Portland Cement Company. 
Gordon B. Spivack, Esq., New York, New York (Lord, Day & Lord, and John W. Castles 3d, Esq., Michael J. 
Murphy, Esq., David H. Marks, Esq., and Stephen J. Crimmins, Esq., of Counsel), for Cargill, Incorporated."
413,Judges,"Judges: Waterman, Friendly and Mulligan, Circuit Judges."
413,Opinion by,Opinion by: FRIENDLY
435,Judges,"Judges:  [**1]  Blumenfeld, D.J."
435,Opinion by,Opinion by: BLUMENFELD
449,Judges,"Judges: Ely, Trask, and Wallace, Circuit Judges."
449,Opinion by,Opinion by: ELY
458,Counsel,"Counsel: Allan Richard Henis for appellant.
Lawrence I. Drath of counsel (Hoffberg, Margolies, Kenny & Drath, attorneys), for respondents."
458,Judges,"Judges: Tilzer, J.  Murphy and Lane, JJ., concur with Tilzer, J.; Nunez, J. P., dissents in an opinion; Lupiano, J., 
concurs in part and dissents in part in an opinion."
459,Opinion by,Opinion by: TILZER
466,Counsel,"Counsel: Wegman, Mayberry, Burgess, Feldstein & Speranza (Richard S. Mayberry of counsel), for Wegman's 
Food Markets, Inc., defendant.
Carroll, Carroll & Butz (John B. Carroll of counsel), for plaintiffs."
466,Judges,"Judges: James H. Boomer, J."
466,Opinion by,Opinion by: BOOMER
475,Counsel,"Counsel: William J. Scott, Attorney General, of Chicago (Robert S. Atkins, Peter J. Miller, and Robert A. Skirnick, 
Assistant Attorneys General, of counsel), for appellant.
Charles C. Kirshbaum, Winston & Strawn, and Barry L. Kroll, all of Chicago, for appellees."
475,Judges,"Judges: Mr. Justice DEMPSEY delivered the opinion of the court.  McNamara, P.J., and McGloon, J., concur."
475,Opinion by,Opinion by: DEMPSEY
485,Counsel,"Counsel:  [**1]  For Plaintiff: Melvin Lashner, Esquire, Adelman and Lavine, Philadelphia, Pennsylvania. 
For Defendant: Bancroft D. Haviland, Esquire, Schnader, Harrison, Segal & Lewis, Philadelphia, Pennsylvania."
485,Judges,"Judges: Luongo, J."
485,Opinion by,Opinion by: LUONGO
493,Judges,"Judges: Browning and Wright, Circuit Judges, and King, District Judge. *"
493,Opinion by,"Opinion by: WRIGHT 
* Of the District of Hawaii."
507,Opinion by,"Opinion by:  [*1]  YOUNG, D.J."
