頁碼,內容類型,內容
28,Counsel,"Counsel:  [**1] For UNITED STATES OF AMERICA, Plaintiff: Joseph Franklin Wayland, LEAD ATTORNEY, U.S. 
DEPARTMENT OF JUSTICE, Washington, DC; Anthony David Scicchitano, Kent R. Brown, Lawrence E. 
Buterman, Mary N. Strimel, U.S. DEPARTMENT OF JUSTICE, Antitrust Division, Washington, DC; David Z. 
Gringer, U.S. DEARTMENT OF JUSTICE, Antitrust Division, Washington, DC; Scott Alan Scheele, U.S. 
DEPARTMENT OF JUSTICE, Networks & Technology Enforcement Section, Washington, DC.
For H&R BLOCK, INC., Defendant: J. Robert Robertson, LEAD ATTORNEY, Corey William Roush, Logan Michael 
Breed, HOGAN LOVELLS US LLP, Washington, DC; Eric J. Stock, PRO HAC VICE, HOGAN LOVELLS US LLP, 
New York, NY.
For 2SS HOLDINGS, INC., TA IX L.P., Defendants: J. Robert Robertson, LEAD ATTORNEY, Benjamin F. Holt, 
Corey William Roush, Logan Michael Breed, HOGAN LOVELLS US LLP, Washington, DC; Eric J. Stock, PRO HAC 
VICE, HOGAN LOVELLS US LLP, New York, NY."
28,Judges,"Judges: BERYL A. HOWELL, United States District Judge."
28,Opinion by,Opinion by: BERYL A. HOWELL
69,Counsel,"Counsel:  [**1] Matthew L. Woods, Esq., Elliot S. Kaplan, Esq., and Scott M. Kranz, Esq., Robins Kaplan Miller & 
Ciresi LLP, Minneapolis, MN on behalf of Plaintiffs.
Marty Steinberg, Esq. and Laurie Uustal Mathews, Esq., Hunton & Williams, LLP, Miami, FL; Derek W. Moore, 
Esq., Jonathan S. Kanter, Esq., and Joseph J. Bial, Esq., Cadwalader, Wickersham & Taft LLP, Washington, DC; 
and Andrew M. Luger, Esq., Bethany D. Krueger, Esq., Erin Sindberg Porter, Esq., and John W. Ursu, Esq., Greene 
Espel PLLP, Minneapolis, MN on behalf of Defendant Bacardi U.S.A., Inc.
Timothy B. Hardwicke, Esq. and Daniel A. Griswold, Esq., Latham & Watkins LLP, and Andrew M. Luger, Esq., 
Bethany D. Krueger, Esq., Erin Sindberg Porter, Esq., and John W. Ursu, Esq., Greene Espel PLLP, Minneapolis, 
MN on behalf of Defendant Brown-Forman Corporation."
69,Judges,"Judges: ANN D. MONTGOMERY, U.S. DISTRICT JUDGE."
69,Opinion by,Opinion by: ANN D. MONTGOMERY
83,Counsel,"Counsel: On the briefs: Michael R. Poulin, Esq., Skelton, Taintor & Abbot, Auburn, for appellant Central Maine 
Medical Center.
Peter J. Brann, Esq., Heather B. Sanborn, Esq., Brann & Isaacson , Lewiston, for appellee MaineHealth.
William J. Schneider, Attorney General, Christina M. Moylan AAG, Augusta, for appellee State of Maine.
At oral argument: Michael R. Poulin, Esq., for appellant Central Maine Medical Center.
Peter J. Brann, Esq. for appellee MaineHealth.
Christina Moylan, AAG, for appellee State of Maine.
2011 ME 115, *115; 31 A.3d 911, **911; 2011 Me. LEXIS 110, ***1"
83,Judges,"Judges: Panel: SAUFLEY, C.J., and ALEXANDER, LEVY, SILVER, MEAD, and JABAR, JJ."
83,Opinion by,Opinion by: SAUFLEY
87,Counsel,"Counsel:  [*1] For Sharon Randall, as guardian ad litem for Jamar Bryant, Sharon Randall, Plaintiffs: Gayla B. 
Libet, Law Offices of Gayla B. Libet, Oakland, CA; John L. Burris, Law Offices of John L. Burris, Oakland, CA.
For City of Oakland, Chief of Police Howard Jordan, Defendants: James F. Hodgkins, City Attorney's Office, City of 
Oakland, Oakland, CA."
88,Judges,"Judges: JACQUELINE SCOTT CORLEY, UNITED STATES MAGISTRATE JUDGE."
88,Opinion by,Opinion by: JACQUELINE SCOTT CORLEY
91,Counsel,"Counsel:  [*1] For Church & Dwight Co., Inc., a Delaware Corporation, Plaintiff, Counter-defendant: John Diawon 
Huh, LEAD ATTORNEY, DLA Piper US LLP, Philadelphia, PA; Carl W. Hittinger, PRO HAC VICE, Lesli Esposito, 
PRO HAC VICE, DLA Piper LLP, Philadelphia, PA; Jarod Michael Bona, DLA Piper US LLP, Minneapolis, MN; 
Matthew A. Goldberg, DLA Piper LLP (US), Philadelphia, PA.
For Mayer Laboratories, Inc., a California Corporation, Defendant: Christian Jeffrey Keeney, LEAD ATTORNEY, 
Azra Z. Mehdi, Milberg LLP, Los Angeles, CA; Jarod Michael Bona, LEAD ATTORNEY, DLA Piper US LLP, 
Minneapolis, MN; Neil S. Cartusciello, LEAD ATTORNEY, Cartusciello and Associates PC, Mendham, NJ; Vijay K. 
Toke, LEAD ATTORNEY, Anne Claire Hiaring Hocking, Anne Hiaring Hocking, Kristin Newman De La Vega, 
Hiaring + Smith, LLP, San Rafael, CA; Gary S. Snitow, Peggy Wedgworth, Peter G.A. Safirstein, Milberg LLP, New 
York, NY; Paul F Novak, PRO HAC VICE, Milberg LLP, Detrioit, MI.
For Mayer Laboratories, Inc., a California Corporation, Counter-claimant: Jarod Michael Bona, LEAD ATTORNEY, 
DLA Piper US LLP, Philadelphia, PA; Neil S. Cartusciello, LEAD ATTORNEY, Cartusciello and Associates PC, 
Mendham, NJ; Anne Hiaring Hocking, Kristin  [*2] Newman De La Vega, Hiaring Smith, LLP, San Rafael, CA; Gary 
S. Snitow, Peggy Wedgworth, Peter G.A. Safirstein, Milberg LLP, New York, NY; Paul F Novak, PRO HAC VICE, 
Milberg LLP, Detrioit, MI.
For Mayer Laboratories, Inc., a California corporation, Counter-claimant: Christian Jeffrey Keeney, LEAD 
ATTORNEY, Azra Z. Mehdi, Milberg LLP, Los Angeles, CA; Jarod Michael Bona, LEAD ATTORNEY, DLA Piper US 
LLP, Minneapolis, MN; Neil S. Cartusciello, LEAD ATTORNEY, Cartusciello and Associates PC, Mendham, NJ; 
Anne Hiaring Hocking, Kristin Newman De La Vega, Hiaring Smith, LLP, San Rafael, CA; Gary S. Snitow, Peggy 
Wedgworth, Peter G.A. Safirstein, Milberg LLP, New York, NY; Paul F Novak, PRO HAC VICE, Milberg LLP, 
Detrioit, MI."
92,Judges,"Judges: JACQUELINE SCOTT CORLEY, UNITED STATES MAGISTRATE JUDGE."
92,Opinion by,Opinion by: JACQUELINE SCOTT CORLEY
