頁碼,內容類型,內容
21,Counsel,"Counsel:  [*1] For United States Of America, Plaintiff: Michael Domenic Bonanno, LEAD ATTORNEY, Aaron 
Daniel Hoag, Shane Devin Wagman, U.S. Department of Justice, Antitrust Division, Washington, DC; Peter K. 
Huston, LEAD ATTORNEY, Department of Justice, Antitrust Division, Washington, DC; Aaron Comenetz, U.S. 
Department of Justice, Washington, DC; Adam T Severt, Lisa Anne Scanlon, Robert A. Lepore, Untited States 
Department of Justice, Antitrust Division, Washington, DC; Travis Richard Chapman, US Department of Justice, 
Washington, DC.
For Bazaarvoice, Inc., Defendant: Bahram Seyedin-Noor, LEAD ATTORNEY, Alto Litigation, PC, San Francisco, 
CA; Daniel Paul Weick, LEAD ATTORNEY, PRO HAC VICE, Chul Pak, Jonathan M. Jacobson, Robert 
MacWilliams Corp, Wilson Sonsini Goodrich and Rosati, New York, NY; Scott Andrew Sher, LEAD ATTORNEY, 
Franklin M Rubinstein, Kellie Marie Kemp, Wilson Sonsini Goodrich & Rosati, Washington, DC; Adam Jeremy 
Biegel, Alston and Bird LLP, Atlanta, GA; Andrea Agathoklis Murino, George C. Karamanos, Wilson Sonsini 
Goodrich and Rosati, Antitrust, Washington, DC; Boris Feldman, Wilson Sonsini Goodrich & Rosati, A Professional 
Corporation, Palo Alto, CA; David Andrew McCarthy, Dominique  [*2] Chantale Alepin, Dylan James Liddiard, 
Wilson Sonsini Goodrich & Rosati, Palo Alto, CA; Joshua H. Lerner, Durie Tangri LLP, San Francisco, CA.
For Big Fish Games, Inc., Interested Party: Gwendolyn L. Fanger, Davis Wright Tremaine LLP, San Francisco, CA.
For ReadyPulse Inc., Miscellaneous: Joseph Edward Addiego, III, Davis Wright Tremaine LLP, San Francisco, CA.
For Fruit of the Loom, Inc., Miscellaneous: Xavier Mark Brandwajn, LEAD ATTORNEY, Alston & Bird LLP, Menlo 
Park, CA.
For Amazon.com, Inc., Miscellaneous: Vanessa Soriano Power, LEAD ATTORNEY, PRO HAC VICE, Stoel Rives 
LLP, Seattle, WA; Carissa M. Beecham, Stoel Rives LLP, Sacramento, CA.
For Non-Party Lithium Technologies, Inc., LITHIUM TECNOLOGIES, INC., Miscellaneous: Nathaniel Robert 
Cooper, COOLEY LLP, San Francisco, CA.
For Practical Data, Inc., Miscellaneous: Dennis Joseph Callahan, LEAD ATTORNEY, Rogers Joseph O'Donnell, 
San Francisco, CA.
For Gigya Inc., Non-Party Gigya Inc., Miscellaneous: Todd Richard Gregorian, LEAD ATTORNEY, Mountain View, 
CA.

 
For Demand Media, Inc., Third Party Demand Media, Inc., Miscellaneous: Lori Chang, Greenberg Traurig LLP, Los 
Angeles, CA.
For Stanley Black & Decker, Inc, Miscellaneous: Siobhan E.  [*3] Miller, LEAD ATTORNEY, Senior Corporate Legal 
Specialist, Stanley Black & Decker, Inc., Towson, MD.
For Abercrombie & Fitch, Co., Witness: Kenneth J Rubin, LEAD ATTORNEY, PRO HAC VICE, Vorys, Sater, 
Seymour and Pease LLP, Columbus, OH."
22,Judges,"Judges: WILLIAM H. ORRICK, United States District Judge."
22,Opinion by,Opinion by: WILLIAM H. ORRICK
94,Counsel,"Counsel:  [*1] For Richard Healy, Plaintiff: A Daniel Woska, Rachel Lawrence Mor, LEAD ATTORNEYS, A Daniel 
Woska & Associates PC, Oklahoma City, OK; Allan Kanner, Cynthia G St Amant, LEAD ATTORNEYS, PRO HAC 
VICE, Kanner & Whiteley LLC, New Orleans, LA; Garrett W Wotkyns, LEAD ATTORNEY, PRO HAC VICE, 
Schneider Wallace Cottrell Konecky-SCOTTSDALE, Scottsdale, AZ; Jason H Kim, LEAD ATTORNEY, PRO HAC 
VICE, Schneider Wallace Cottrell Brayton & Konecky LLP (CA), San Francisco, CA; Joe R Whatley, Jr, LEAD 
ATTORNEY, PRO HAC VICE, Whatley Drake & Kallas LLC, Birmingham, AL; Michael J Blaschke, LEAD 
ATTORNEY, Michael J Blaschke PC, Oklahoma City, OK; S Randall Sullivan, LEAD ATTORNEY, Sullivan & Cain, 
Oklahoma City, OK; Todd M Schneider, LEAD ATTORNEY, PRO HAC VICE, Joshua G Konecky, Schneider 
Wallace Cottrell Brayton Konecky-SAN FRANCISCO, San Francisco, CA; William T Brown, Whatley Drake & Kallas 
LLC - BIRMINGHAM, Birmingham, AL.
For Beverly Uhl, Plaintiff: A Daniel Woska, Rachel Lawrence Mor, LEAD ATTORNEYS, A Daniel Woska & 
Associates PC, Oklahoma City, OK; Allan Kanner, Cynthia G St Amant, LEAD ATTORNEYS, PRO HAC VICE, 
Kanner & Whiteley LLC, New Orleans, LA; Garrett W Wotkyns, LEAD ATTORNEY, PRO HAC VICE, 
 [*2] Schneider Wallace Cottrell Konecky-SCOTTSDALE, Scottsdale, AZ; Jason H Kim, LEAD ATTORNEY, PRO 
HAC VICE, Schneider Wallace Cottrell Brayton & Konecky LLP (CA), San Francisco, CA; Joe R Whatley, Jr, LEAD 
ATTORNEY, PRO HAC VICE, Whatley Drake & Kallas LLC, Birmingham, AL; Joseph C Peiffer, LEAD ATTORNEY, 
PRO HAC VICE, Fishman Haygood Phelps Walmsley Willis & Swanson LLP, New Orleans, LA; Michael J 
Blaschke, LEAD ATTORNEY, Michael J Blaschke PC, Oklahoma City, OK; S Randall Sullivan, LEAD ATTORNEY, 
Sullivan & Cain, Oklahoma City, OK; Todd M Schneider, LEAD ATTORNEY, PRO HAC VICE, Joshua G Konecky, 
Schneider Wallace Cottrell Brayton Konecky-SAN FRANCISCO, San Francisco, CA; Wilfred K Wright, Jr, LEAD 
ATTORNEY, Wright Law PC, Claremore, OK.

 
For Todd Keitlen, Plaintiff: A Daniel Woska, Rachel Lawrence Mor, LEAD ATTORNEYS, A Daniel Woska & 
Associates PC, Oklahoma City, OK; Allan Kanner, Cynthia G St Amant, LEAD ATTORNEYS, PRO HAC VICE, 
Kanner & Whiteley LLC, New Orleans, LA; Drew T Legando, Jack Landskroner, LEAD ATTORNEYS, Landskroner 
Grieco Merriman, Cleveland, OH; Garrett W Wotkyns, LEAD ATTORNEY, PRO HAC VICE, Schneider Wallace 
Cottrell Konecky-SCOTTSDALE, Scottsdale, AZ; Jason H Kim,  [*3] LEAD ATTORNEY, PRO HAC VICE, 
Schneider Wallace Cottrell Brayton & Konecky LLP (CA), San Francisco, CA; Joe R Whatley, Jr, LEAD 
ATTORNEY, PRO HAC VICE, Whatley Drake & Kallas LLC, Birmingham, AL; Michael J Blaschke, LEAD 
ATTORNEY, Michael J Blaschke PC, Oklahoma City, OK; Michael C McKay, LEAD ATTORNEY, Schneider Wallce 
Cottrell Brayton & Konecky, Scottsdale, AZ; S Randall Sullivan, LEAD ATTORNEY, Sullivan & Cain, Oklahoma 
City, OK; Todd M Schneider, LEAD ATTORNEY, PRO HAC VICE, Joshua G Konecky, Schneider Wallace Cottrell 
Brayton Konecky-SAN FRANCISCO, San Francisco, CA.
For George Lepre, on behalf of himself, and all others similarly situated, Plaintiff: A Daniel Woska, Rachel Lawrence 
Mor, LEAD ATTORNEYS, A Daniel Woska & Associates PC, Oklahoma City, OK; Adam B Wolf, LEAD 
ATTORNEY, Wolf Legal PC, San Francisco, CA; Alan McQuarrie Mansfield, LEAD ATTORNEY, The Consumer 
Law Group, San Diego, CA; Allan Kanner, Cynthia G St Amant, LEAD ATTORNEYS, PRO HAC VICE, Kanner & 
Whiteley LLC, New Orleans, LA; Joe R Whatley, Jr, LEAD ATTORNEY, PRO HAC VICE, Whatley Drake & Kallas 
LLC, Birmingham, AL; Michael J Blaschke, LEAD ATTORNEY, Michael J Blaschke PC, Oklahoma City, OK; S 
Randall Sullivan,  [*4] LEAD ATTORNEY, Sullivan & Cain, Oklahoma City, OK; Todd M Schneider, LEAD 
ATTORNEY, PRO HAC VICE, Joshua G Konecky, Schneider Wallace Cottrell Brayton Konecky-SAN FRANCISCO, 
San Francisco, CA;.
For Andrew Alwert, Plaintiff: Allan Kanner, Cynthia G St Amant, LEAD ATTORNEYS, PRO HAC VICE, Kanner & 
Whiteley LLC, New Orleans, LA; Benjamin D Reichard, LEAD ATTORNEY, PRO HAC VICE, Fishman Haygood 
Phelps Walmsley Willis & Swanson LLP, New Orleans, LA; Gregory Pius DiLeo, LEAD ATTORNEY, PRO HAC 
VICE, Law Office of Gregory P DiLeo, New Orleans, LA; Jeffrey P Berniard, LEAD ATTORNEY, PRO HAC VICE, 
Berniard & Wilson LLC, New Orleans, LA; Joseph C Peiffer, LEAD ATTORNEY, PRO HAC VICE, Fishman 
Haygood Phelps Walmsley Willis & Swanson LLP, New Orleans, LA; Joshua G Konecky, Schneider Wallace 
Cottrell Brayton Konecky-SAN FRANCISCO, San Francisco, CA.
For Stanley Feldman, Plaintiff: A Daniel Woska, LEAD ATTORNEYS, A Daniel Woska & Associates PC, Oklahoma 
City, OK; Cynthia G St Amant, LEAD ATTORNEYS, PRO HAC VICE, Kanner & Whiteley LLC, New Orleans, LA; 
Garrett W Wotkyns, LEAD ATTORNEY, PRO HAC VICE, Schneider Wallace Cottrell Konecky-SCOTTSDALE, 
Scottsdale, AZ; Jason H Kim, LEAD ATTORNEY, PRO HAC VICE,  [*5] Schneider Wallace Cottrell Brayton & 
Konecky LLP (CA), San Francisco, CA; Joe R Whatley, Jr, LEAD ATTORNEY, PRO HAC VICE, Whatley Drake & 
Kallas LLC, Birmingham, AL; John Dean Curtis, II, LEAD ATTORNEY, Burch & Cracchiolo PA, Phoenix, AZ; 
Michael J Blaschke, LEAD ATTORNEY, Michael J Blaschke PC, Oklahoma City, OK; Todd M Schneider, LEAD 
ATTORNEY, PRO HAC VICE, Joshua G Konecky, Schneider Wallace Cottrell Brayton Konecky-SAN FRANCISCO, 
San Francisco, CA.
For Cox Communications Inc, Defendant: Bruce D Sokler, Helen G Guyton, Robert G Kidwell, LEAD ATTORNEYS, 
PRO HAC VICE, Matthew A Cohen, Mintz Levin Cohn Ferris Glovsky & Popeo-DC, Washington, DC; D Kent 
Meyers, LEAD ATTORNEY, Mary H Tolbert, Crowe & Dunlevy-OKC, Oklahoma City, OK; Ewell E Eagan, Jr, Martin 
E Landrieu, Phillip J Antis, Jr, LEAD ATTORNEYS, Gordon Arata McCollam Duplantis & Eagan, New Orleans, LA; 
Matthew D Golish, Vincent T Norwillo, LEAD ATTORNEYS, Gonzalez Saggio & Harlan - Cleveland, Cleveland, OH; 
Nathan R Hamler, LEAD ATTORNEY, Mintz Levin Cohn Ferris Glovsky and Popeo PC, San Diego, CA."
95,Judges,"Judges: ROBIN J. CAUTHRON, United States District Judge."
95,Opinion by,Opinion by: ROBIN J. CAUTHRON
113,Counsel,"Counsel: Daniel R. Chemers, of the District of Columbia, Maryland, and Pennsylvania bars, admitted pro hac vice, 
argued the cause for appellant/cross-respondent L.J. Zucca, Inc. (Saul Ewing, L.L.P., attorneys; Mr. Chemers, of 
counsel and on the brief; Francis X. Riley III and Sarah F. Lacey of the Maryland bar, admitted pro hac vice, of 
counsel and on the brief).
Marvin J. Brauth argued the cause for respondents/cross-appellants (Wilentz, Goldman & Spitzer, attorneys for 
Plainfield Tobacco & Candy Co., Inc. a/k/a Resnick Distributors, Inc.; Pepper Hamilton, L.L.P., attorneys for Allen 
434 N.J. Super. 60, *60; 82 A.3d 274, **274; 2014 N.J. Super. LEXIS 7, ***1

 
Brothers Wholesale Distributors, Inc.; Mr. Brauth, of counsel and on the joint brief; Karin K. Sage and Michael T. 
Pidgeon, on the joint brief).
Julian Wilsey argued the cause for respondent Consolidated Service Distributors, Inc. (Franzblau Dratch, attorneys; 
Mr. Wilsey, on the brief).
Amanda J. Lavis and Robert J. Tribeck (Rhoads & Sinon, L.L.P.), of the Pennsylvania bar, admitted pro hac vice, 
attorneys for respondent Associated Wholesalers Inc. (Ms. Lavis and Mr. Tribeck,  [***2] on the brief).
Cooper Levenson April Niedelman & Wagenheim, P.A., attorneys for respondents Bee Gee Candy Co., Inc., and 
Starkman General Products (Katherine M. Morris, on the brief).
Paul V. Lucas, Jr. (Greenberg, Trager & Herbst, L.L.P.) and Kalvin Kamien (Greenberg, Trager & Herbst, L.L.P.) of 
the New York bar, admitted pro hac vice, attorneys for respondents Continental Tobacco & Candy Inc., M. 
Bernstein & Sons, and Rainbow Heaven Distribution, L.L.C. (Messrs. Lucas and Kamien, on the brief).
Blank Rome, L.L.P., attorneys for respondent Cooper-Booth Wholesale Company; Chance & McCann, L.L.C., 
attorneys for respondent Eby-Brown Company L.L.C.; Stradley Ronon Stevens & Young, L.L.P., attorneys for 
respondent McLane/MidAtlantic, Inc.; Lawrence Kalikhman (Kalikhman & Rayz, L.L.C.) and Eric Rayz (Kalikhman & 
Rayz L.L.C.) of the Pennsylvania bar, admitted pro hac vice, attorneys for respondent S & K Imports, Inc.; and 
Miller, Myerson & Corbo, attorneys for respondent Vikisha Corp. (Stephen M. Orlofsky, Sheila E. Branyan, of the 
Pennsylvania bar, admitted pro hac vice, Kevin P. McCann, Shanna McCann, Francis X. Manning, Mr. Rayz, and 
Gerald D. Miller, on the joint brief).
Choi & Park, L.L.C.,  [***3] attorneys for respondent M & J. Wholesale, Inc. (Chull S. Park, on the brief).
David A. Avedissian, attorney for respondent Sun Wholesale, Inc."
114,Judges,"Judges: Before Judges YANNOTTI, ASHRAFI and LEONE. The opinion of the court was delivered by ASHRAFI, 
J.A.D."
114,Opinion by,Opinion by: ASHRAFI
126,Counsel,"Counsel: For WILLIAM BEAUMONT HOSPITAL, Plaintiff - Appellee: Keefe A. Brooks, Brooks Wilkins Sharkey & 
Turco, Birmingham, MI; Stephanie Douglas, Bush, Seyferth & Paige, Troy, MI.
For FEDERAL INSURANCE COMPANY, Defendant - Appellant: Michael F. Perlis, Richard Ray Johnson, Locke 
Lord, Los Angeles, CA."
