頁碼,內容類型,內容
22,Counsel,"Counsel:  [**1]  For Plaintiffs: Richard J. Dodson, Law Offices of Richard J. Dodson, 628 North Boulevard, Baton 
Rouge, LA 70802, John Buehler, Bullivant, Houser, Bailey, Pendergrass & Hoffman, 1400 Pacwest Center, 1211 
S.W. 5th Ave., Portland, OR 97204-3797. 
For Defendants: Craig Murphy, John Cowden, Wood Tatum Wonacott & Landis, 1300 Security Pacific Plaza, 
Portland, OR 97204."
22,Judges,Judges: MARSH
22,Opinion by,Opinion by: MALCOLM F. MARSH
34,Counsel,"Counsel: For MARVIN RAND MALLITZ, plaintiff: Armistead W. Gilliam, Faruki Gilliam & Ireland, Dayton, OH.
For FEDERAL PACKAGING CORP, defendant: Gordon Pearce Shuler, Shuler, Plank, Morgan & Brahm, 
Columbus, OH.
For KARDON INDUSTRIES, INC., BRUCE KARDON, LEROY KARDON, ROBERT KARDON, defendants: Ronald 
H Surkin, Blank, Rome, Comisky & McCauley, Media, PA."
34,Judges,"Judges: WALTER HERBERT RICE, UNITED STATES DISTRICT JUDGE."
34,Opinion by,Opinion by: WALTER HERBERT RICE
45,Counsel,"Counsel: Counsel who presented argument on behalf of the Appellant was Elizabeth J. Robben, Little Rock, 
Arkansas.  Additional attorney appearing on the brief was Kevin A. Crass. 
Counsel who presented argument on behalf of the Appellee was David H. Weinstein, Philadelphia, Pennsylvania.  
Addition attorneys appearing on the brief of Appellee were Robert S. Kitchenoff, Philadelphia, Pennsylvania; Robert 
B. Scism, Des Moines, Iowa; Robert H. Weir, San Jose, California."
45,Judges,"Judges: Lay, Chief Judge, Daniel M. Friedman, * Senior Circuit Judge, and John R. Gibson, Circuit Judge."
45,Opinion by,"Opinion by: FRIEDMAN 
* Daniel M. Friedman, of the Court of Appeals for the Federal Circuit, sitting by designation.
947 F.2d 321, *321; 1991 U.S. App. LEXIS 24732, **1"
59,Counsel,"Counsel:  [**1]  Attys for Plaintiffs: Thomas J. Bolch, POB 27306, Raleigh, NC 27611, (919) 872-0800, Kenneth K. 
Kyre, Edward L. Murrelle, Lindsay R. Davis, Jr., Richard J. Votta, POB 989, Greensboro, NC 27402, (919) 379-
1390, Daniel A. Leckie, Wallace E. Brand, William S. Morrow, Jr., Sean T. Beeny, Suite 1000, 1730 K. Street N.W., 
Washington, DC 20006, (202) 347-7002
Attys for Defendants: Richmond G. Bernhardt, Jr., POB 21927, Greensboro, NC 27420, (919) 378-1450, Linda 
Daniels, POB 13039, Research Triangle Park, NC 27709, (919) 836-7071, Charles D. Barham, Jr., H. Ray Starling, 
POB 1551, Raleigh, NC 27602, (919) 836-6463, Ray S. Bolze, Kenneth E. Krosin, 1730 Pennsylvania Ave., NW, 
Washington, DC 20006, (202) 783-0800, Wm. Warfield Ross, 1300 19th St., NW, Washington, DC 20038, (202) 
838-1200"
60,Judges,"Judges: BULLOCK, JR."
60,Opinion by,"Opinion by: FRANK W. BULLOCK, JR."
79,Judges,"Judges: Hug, Norris, and Leavy, Circuit Judges."
