頁碼,內容類型,內容
23,Counsel,"Counsel:  [**1]  Thomas R. McDade and William R. Pakalka, Houston, Texas, Richard L. Williams, Miami, Florida, 
Neil O. Bowman, Miami, Florida, for Plaintiff.
John F. Hoffman, John F. Mariani, Palm Beach, Florida, Richard H. Critchlow, Mara Beth Sommers, Miami, Florida, 
Bruce R. Kelly, New York, New York, Herschel E. Sparks, Jr., Miami, Florida, for Defendants,"
23,Judges,"Judges:  Kenneth L. Ryskamp, United States District Judge."
23,Opinion by,Opinion by: RYSKAMP
29,Counsel,"Counsel: Ryan & Willeford, John H. Ryan, James F. Willeford, Gordon P. Serou, Jr., New Orleans, Louisiana for 
Plaintiff-Appellant. 
916 F.2d 300, *300; 1990 U.S. App. LEXIS 19437, **1

 
For Whitmore & Caillouet: Brook, Morial, Cassibry, Fraiche & Pizza, Donna D. Fraiche, Sandra A. Vujnovich, Jack 
P. Brook, Fred Cassibry, New Orleans, Louisiana. 
For First Nat'l: Duval, Funderburk, Sundbery & Lovell, C. Berwick Duval Jr., Sidney C. Sundbery, Houma, 
Louisiana. 
For Am. Bank-Alerion: Chaffe, McCall, Phillips, Toler & Sarpy, Robert S. Rooth, Corinne Ann Morrison, Robert G. 
Coury, E. Howell Crosby, New Orleans, Louisiana."
30,Judges,"Judges: Politz, Jolly, and Edith H. Jones, Circuit Judges.  Edith H. Jones, Circuit Judge, dissenting."
30,Opinion by,Opinion by: POLITZ
42,Counsel,"Counsel: Counsel for Plaintiffs-Appellants: Larry D. Woods, Irwin B. Venick, (Argued) Woods & Woods, Nashville, 
Tennessee. 
Counsel for Defendants-Appellees: Ward DeWitt, Andree K. Blumstein, (Argued) Trabue, Sturdivant & DeWitt; 
Robert S. Patterson, Boult, Cummings, Conners & Berry; W. Warner McNeilly, Jr., John B. Carlson, (Argued) 
Watkins, McGugin, McNeilly & Rowan, Nashville, Tennessee. 
Richard D. Raskin, Sidley & Austin, Chicago, Illinois. 
Barbara J. Moss, W. Harold Bigham, Gullett, Sanford, Robinson & Martin, Nashville, Tennessee. 
Jack R. Bierig, (Argued) Sidley & Austin, William H. Baumgartner, Jr., Chicago, Illinois. 
Ames Davis, (Argued) Waller, Lansden, Dortch & Davis, Nashville, Tennessee. 
Kevin D. McDonald, Jones, Day, Reavis & Pogue, Washington, District of Columbia. 
Charles L. Kown, Hospital Corporation of America; Robert J. Walker, R. Dale Grimes, Bass, Berry & Sims; Julia C. 
Morris, Vanderbilt University, Nashville, Tennessee. 
Counsel for Plaintiffs-Appellees: Robert J. Walker, Bass, Berry & Sims; W. Warner McNeilly, Jr., Watkins, McGugin, 
McNeilly & Rowan, Nashville, Tennessee. 
 [**2]  Joseph G. Cummings, Boult, Cummings, Conners & Berry; W. Harold Bigham, Gullett, Sanford, Robinson & 
Martin, Nashville, Tennessee. 
Jack R. Bierig, (Argued) Sidley & Austin, Chicago, Illinois. 
Kevin D. McDonald, Jones, Day, Reavis & Pogue, Washington, District of Columbia. 
Mary Frances Lyle, Bruce, Weathers, Dughman & Lyle; Ward DeWitt, Trabue, Sturdivant & DeWitt, Nashville, 
Tennessee. 
Counsel for Defendants-Appellants: Robert S. Patterson, Boult, Cummings, Conners & Berry; Ames Davis, 
(Argued) Robert E. Boston, Waller, Lansden, Dortch & Davis, Nashville, Tennessee."
43,Judges,"Judges:  Boyce F. Martin, Jr. and Alan E. Norris, Circuit Judges, and Leroy J. Contie, Jr., Senior Circuit Judge."
43,Opinion by,Opinion by: NORRIS
55,Judges,"Judges:  [*1]  Thomas F. Hogan, United States District Judge."
55,Opinion by,Opinion by: HOGAN
62,Judges,"Judges:  [**1]  William K. Thomas, United States Senior District Judge."
62,Opinion by,Opinion by: THOMAS
72,Counsel,"Counsel:  [**1]  Paul L. Dillon, DILLON & FINDLEY, One Sealaska Plaza, #302, Juneau, Ak 99801, for Plaintiff.
C. L. Cloudy, Trevor N. Stephens, ZEIGLER, CLOUDY, KING & PETERSON, 307 Bawden Street, Ketchikan, Ak 
99901. W. G. Ruddy, Kathryn Kolkhorst, RUDDY, BRADLEY & KOLKHORST, Juneau, Ak 99803, for Defendants."
72,Judges,Judges: von der Heydt
72,Opinion by,Opinion by: JAMES A. VON DER HEYDT
79,Counsel,"Counsel:  [*1]  ARNOLD R. GINSBURG, Esq., Haverford, Pennsylvania.
FORD MOTOR COMPANY (Fraher, Hasel, Harris & Wenzel Watson Crawford and Nickel, FORD MOTOR CREDIT 
COMPANY, by: Robert C. Heim, Esq., Jeffrey G. Weil, Esq., Philadelphia, Pennsylvania.
Wenner Ford Tractor, Inc. & John S. Wenner, By: Steven T. Stern, Esq., BRAEMER, ABELSON & HITCHNER, 
Philadelphia, Pennsylvania.  
1990 U.S. Dist. LEXIS 16351, *16351"
79,Judges,"Judges: Louis C. Bechtle, Chief United States District Judge."
79,Opinion by,Opinion by: BECHTLE
92,Counsel,"Counsel: John I. Alioto, Alioto & Alioto, San Francisco, California, for the Plaintiffs-Appellants. 
Jerome B. Falk, Jr., Howard, Rice, Nemerovski, Canady, Robertson & Falk, San Francisco, California, for the 
Defendants-Appellees."
92,Judges,"Judges:  Chambers, Poole and Wiggins, Circuit Judges."
92,Opinion by,Opinion by: WIGGINS
99,Counsel,"Counsel:  [**1]  Douglas E. Jones, Jones & Rogers, Nashville, Tennessee, & Dottie Grief, for Plaintiff.
767 F. Supp. 1418, *1418; 1990 U.S. Dist. LEXIS 18602, **18602

 
Amicus Curiae: Tennessee Retail Gasoline Dealers Association: Dimitri G. Daskal, Washington, District of 
Columbia.
Richard Lodge, Bennett L. Ross, Bass, Berry & Sims, Nashville, Tennessee, for Defendant."
