頁碼,內容類型,內容
26,Counsel,"Counsel: FRANKLIN E. KEPNER, JR., ESQUIRE (ARGUED), ALICE T.K. CORBA, ESQUIRE, Kepner, Kepner & 
Corba,Berwick, PA, Counsel for Appellants.
JOHN J. SOROKO, ESQUIRE (ARGUED), TERESA N. CAVENAGH, ESQUIRE, Duane, Morris & Heckscher, LLP, 
Philadelphia, PA. JOSEPH P. LENAHAN, ESQUIRE, Lenahan & Dempsey, Scranton, PA. LISA WILSON, 
ESQUIRE, Lebanon, PA, Counsel for Appellees."
26,Judges,"Judges: Before: BECKER, Chief Judge, GREENBERG, and CUDAHY, * Circuit Judges."
27,Opinion by,Opinion by: BECKER
45,Counsel,"Counsel: William L. Mentlik, Arnold H. Krumholz, Paul H. Kochanski, Michael H. Teschner, LERNER, DAVID, 
LITTENBERG, KRUMHOLZ & MENTLIK, Westfield, NJ, for IVAX Corporation, Defendant, Zenith Goldline 
Pharmaceuticals, Inc., Defendant-Counterclaim Plaintiff and Baker Norton Pharmaceuticals, Inc., Counterclaim 
Plaintiff.
Gerson A. Zweifach, Sharon L. Davis, WILLIAMS & CONNOLLY, Washington, D.C., for IVAX Corporation, 
Defendant, Zenith Goldline Pharmaceuticals, Inc., Defendant-Counterclaim Plaintiff and Baker Norton 
Pharmaceuticals, Inc., Counterclaim Plaintiff.
Jay [**2]  B. Shapiro, STEARNS, WEAVER, MILLER, WEISSLER, ALHADEFF & SITTERSON, P.A., Miami, FL, for 
IVAX Corporation, Defendant, Zenith Goldline Pharmaceuticals, Inc., Defendant-Counterclaim Plaintiff and Baker 
Norton Pharmaceuticals, Inc., Counterclaim Plaintiff.
William J. O'Shaughnessy, McCARTER & ENGLISH, Newark, NJ, for Bristol-Myers Squibb Company, Plaintiff and 
Counterclaim Defendant.
Robert L. Baechtold, FITZPATRICK, CELLA, HARPER & SCINTO, Evan R. Chesler, CRAVATH, SWAINE & 
MOORE, New York, NY, for Bristol-Myers Squibb Company, Plaintiff and Counterclaim Defendant."
45,Judges,"Judges: William H. Walls, U.S.D.J."
45,Opinion by,Opinion by: William H. Walls
62,Counsel,"Counsel: For Plaintiffs: Steven E. Fineman, Esq., Robert J. Nelson, Esq., LIEFF, CABRASER, HEIMANN & 
BERNSTEIN, LLP, New York, N.Y.
For Defendants: Joseph M. McLaughlin, Esq., Ronald M. Neumann, Esq., Michael P. Panagrossi, SIMPSON, 
THACHER & BARTLETT, New York, N.Y."
62,Judges,"Judges: Jack B. Weinstein, United States Senior District Judge."
62,Opinion by,Opinion by: Jack B. Weinstein
101,Counsel,"Counsel: For STATE OF CALIFORNIA, BILL LOCKYER, Plaintiffs: John G. Donhoff, Jr., Thomas Greene, CA 
State Attorney General's Office, San Francisco, CA.
For SUTTER HEALTH, ALTA BATES MEDICAL CENTER, defendants: Daniel M. Wall, Karen Silverman Johnson, 
Latham & Watkins, San Francisco, CA. Jeffrey A. LeVee, Jones Day Reavis & Pogue, Los Angeles, CA. Robert C. 
Jones, Kevin C. Maclay, George T. Manning, Toby G Singer, Adrian Wager-Zito, Jones Day Reavis & Pogue, 
Washington, DC. L Trammell Newton, Jr, Jones Day Reavis & Pogue, Atlanta, GA.
For SUMMIT MEDICAL CENTER, defendant: Randall D. Morrison, Jennifer A. Shy, Crosby Heafey Roach & May, 
Oakland, CA. Jennifer A. Shy, Maureen McGuirl, Crosby Heafey Roach & May, Los Angeles, CA.
For BLACK & WHITE CORPORATION, Intervener: Rebecca A. Hull, Randall G. Block, Sedgwick Detert Moran & 
Arnold, San Francisco, CA."
101,Judges,"Judges: MAXINE M. CHESNEY, United States District Judge."
101,Opinion by,Opinion by: MAXINE M. CHESNEY
128,Counsel,"Counsel: For JOSE C. ALBA, M.D., Plaintiff - Appellant: Deborah R. Lydon, Sara S. Rorer, Dinsmore & Shohl, 
Cincinnati, OH.
For MARIETTA MEMORIAL HOSPITAL, Defendant - Appellee: Joseph J. Feltes, Buckingham, Doolittle & 
Burroughs, Canton, OH.
For GREGORY B. KRIVCHENIA, SR., M.D., Defendant - Appellee: George Michael Romanello, Ronald E. Laymon, 
Zeiger & Carpenter, Columbus, OH."
128,Judges,"Judges: BEFORE: WELLFORD, MOORE, and GILMAN, Circuit Judges. KAREN NELSON MOORE, Circuit Judge, 
concurring."
128,Opinion by,Opinion by: HARRY W. WELLFORD
138,Counsel,"Counsel: For plaintiff: Charles S. Hirsch, Esq., BALLARD, SPAHR, ANDREWS & INGERSOLL, LLP, Baltimore, 
Maryland.
For plaintiff: Carl W. Hittinger, Esq., STEVENS & LEE, Philadelphia, Pennsylvania.
For The David J. Joseph Co., defendant: Robert J. Carson, Esq., Gary Ralph Jones, BAKER & BAKER, Baltimore, 
Maryland.
For The David J. Joseph Co., defendant: G. Jack Donson, Esq., TAFT, STETTINIUS & HOLLISTER, Cincinnati, 
Ohio.
For United States Holdings Co., Inc., movant: Thomas M. Wood, IV., Esq., John J. Kuchno, Esq., NEUBERGER, 
QUINN, GIELEN, RUBIN & GIBBER, PA, Baltimore, Maryland."
138,Judges,"Judges: Benson Everett Legg, United States District Judge."
138,Opinion by,Opinion by: Benson Everett Legg
166,Counsel,"Counsel: For CATHLEEN GRUEN, PLAINTIFF: JOSHUA N. RUBIN, ABBEY GARDY & SQUITIERI, NEW YORK, 
NY.
For CATHLEEN GRUEN, PLAINTIFF: BERNARD PERSKY, BARBARA J. HART, GOODKIND LABATON RUDOFF 
& SUCHAROW, NEW YORK, NY.
For CATHLEEN GRUEN, PLAINTIFF: RICHARD B. DANNENBERG, WILLIAM J. BAN, LOWEY DANNENBERG 
BEMPORAD & SELINGER, WHITE PLAINS, NY.
For CATHLEEN GRUEN, PLAINTIFF: JULES BRODY, AARON L. BRODY STULL STULL & BRODY, NEW YORK, 
NY.
For CATHLEEN GRUEN, PLAINTIFF: ROBERT H. WALLNER, JOSEPH OPPER, MILBERG WEISS BERSHAD 
HYNES & LERACH, NEW YORK, NY.
For CATHLEEN GRUEN, PLAINTIFF: MICHAEL HAUSFELD, MARY N. STRIMEL, COHEN MILSTEIN HAUSFELD 
& TOLL, WASHINGTON DC.
For CATHLEEN GRUEN, PLAINTIFF: SAMUEL ROSEN, WECHSLER HARWOOD HALEBIAN & FEFFER, NEW 
YORK, NY.
For DONNA M. SEWELL, PLAINTIFF: WOLF HALDENSTEIN ADLER FREEMAN & HERZ, NEW YORK, NY.
For NINE WEST GROUP, INC., DEFENDANT: ROBERT J. DWYER, ELIZABETH A. BOUSQUETTE, BRYAN 
CAVE LLP, NEW YORK, NY.
For NINE WEST GROUP, INC., DEFENDANT: RICHARD B. BRUALDI, NEW YORK, NY.
For NINE WEST GROUP, INC., DEFENDANT: JAMES N. BENEDICT, ALMEE H. GOLDSTEIN, ROGERS & 
WELLS, NEW [**2]  YORK, NY.
For BON TON, DEFENDANT: M. NORMAN GOLDBERGER, JOEL M. SWEET, WOLF BLOCK SCHORR & SOLIS 
COHEN LLP, PHILADELPHIA, PA.
For MAY DEPARTMENT STORES CO., DEFENDANT: MARVIN R. LANGE, SHAW PITTMAN POTTS & 
TROWBRIDGE, NEW YORK, NY.
For DAYTON HUDSON CORP., DEFENDANT: SCOTT A. MARTIN, WEIL GOTSHAL & MANAGES, NEW YORK, 
NY.
For FEDERATED DEPARTMENT STORES, DEFENDANT: WILLIAM V. O'RIELLY, PHILLIP A. PROGER, JONES 
DAY REAVIS & POGUE, WASHINGTON DC.
For NORDSTROM, DEFENDANT: RICHARD TAFFET, GOLENBOCK EISEMAN ASSOR & BELL, NEW YORK, 
NY.
For DEFENDANT: FRED T. ISQUITH, WOLF HALDENSTEIN ADLER FREEMAN & HERZ, NEW YORK, NY."
167,Judges,"Judges: BARRINGTON D. PARKER, JR., U.S.D.J."
167,Opinion by,"Opinion by: BARRINGTON D. PARKER, JR."
182,Counsel,"Counsel: For THE SAN JUAN STAR COMPANY, plaintiff: Ignacio Rivera-Cordero, Rivera & Montalvo, San Juan, 
PR.
For CASIANO COMMUNICATIONS INC., defendant: Edna Hernandez-Arroyo, Hector Reichard-Jr., Reichard & 
Escalera, San Juan, PR."
182,Judges,"Judges: JUAN M. PEREZ-GIMENEZ, U.S. District Judge."
182,Opinion by,Opinion by: JUAN M. PEREZ-GIMENEZ
193,Counsel,"Counsel: For CHARLES H SANDERSON, SR, plaintiff: Scott Charles Campbell, Campbell and Hendren, Robert 
Hendren, Indianapolis, IN.
For SPECTRUM LABS INC, defendant: Randall L Morgan, Snyder Birch and Morgan, Syracuse, IN.
For SPECTRUM LABS INC, defendant: Howard B Sandler, Beckman Lawson Sandler Snyder and Federoff, Fort 
Wayne, IN.

 
For SPECTRUM LABS INC, defendant: Dennis J Powers, Piper Rudnick, Chicago, IL.
For BOB J JOHNSON AND ASSOCIATES INC, defendant: Robert T Keen, Jr, Miller Carson Boxberger and 
Murphy, Fort Wayne, IN.
For THE WATER QUALITY ASSOCIATION, defendant: Arthur G Surguine, Hunt Suedhoff Kalamaros LLP, Fort 
Wayne, IN."
194,Judges,"Judges: William C. Lee, Chief Judge, United States District Court."
194,Opinion by,Opinion by: William C. Lee
205,Counsel,"Counsel: For WASTE CONTROL SPECIALISTS, LLC, Plaintiff - Appellant: Sidney Katherine Powell, Powell & 
Associates, Dallas, TX. Deborah Ann Pearce-Reggio, River Ridge, LA.
For ENVIROCARE OF TEXAS INC, ENVIROCARE OF UTAH INC, KHOSROW B SEMNANI, CHARLES A JUDD, 
FRANK C THORLEY, Defendants - Appellees: Martha S Dickie, Roy Q Minton, Minton, Burton, Foster & Collins, 
Austin, TX. Richard Dolman Davis, Jr, Cotton, Bledsoe, Tighe & Dawson, Midland, TX. Don C Lewis, Verner, 
Liipfert, Bernhard, McPherson & Hand, Washington, DC."
205,Judges,"Judges: Before REYNALDO G. GARZA, JOLLY, and WIENER, Circuit Judges."
205,Opinion by,Opinion by: E. GRADY JOLLY
219,Counsel,"Counsel: RALPH L. HALPERN, MARY C. FITZGERALD, of Counsel, JAECKLE, FLEISCHMANN & MUGEL, LLP, 
Buffalo, New York, for Plaintiffs.
GEORGE J. WADE, KATHLEEN M. COMFREY, of Counsel, SHEARMAN & STERLING, New York, New York, for 
Plaintiffs.
PHILIP L. O'NEILL, of Counsel, JACKSON & CAMPBELL, P.C., Washington, D.C., for Riverside Methodist 
Hospitals, Defendant.
THOMAS S. GILL, of Counsel, SAPERSTON [**2]  & DAY, P.C., Buffalo, New York, for Riverside Methodist 
Hospitals and Our Lady of Mercy Medical Center, Defendants.
RICHARD E. DONOVAN, of Counsel, KELLEY DRYE & WARREN, New York, New York, for Our Lady of Mercy 
Medical Center, Defendant.
ROBERT E. GLANVILLE, of Counsel, PHILLIPS, LYTLE, HITCHCOCK, BLAINE & HUBER, Buffalo, New York, for 
ABEM, Defendant.
ROBERT E. GLANVILLE, of Counsel, PHILLIPS, LYTLE, HITCHCOCK, BLAINE & HUBER, Buffalo, New York, 
Liaison Counsel for Hospital Defendants."
219,Judges,"Judges: LESLIE G. FOSCHIO, UNITED STATES MAGISTRATE JUDGE."
219,Opinion by,Opinion by: LESLIE G. FOSCHIO
242,Counsel,"Counsel: Lloyd R. Day, Jr., Day, Casebeer, Madrid & Batchelder, Cupertino, CA, Counsel for Plaintiff.
David T. McDonald, Karl J. Quackenbush, Preston, Gates & Ellis, Seattle, WA. Terrence P. McMahon, Barbara A. 
Caulfield, Orrick, Herrington, & Sutcliffe LLP, Menlo Park, CA. Allen Ruby, Ruby & Schofield, San Jose, CA. 
Thomas Burt, Microsoft Corporation, Redmond, WA, Counsel for Defendant."
243,Judges,"Judges: RONALD M. WHYTE, United States District Judge."
243,Opinion by,Opinion by: RONALD M. WHYTE
