Case Index,Core Terms
Case 1,"arbitration, arbitration clause, Charter, parties, conspiracy, district court, contracts, tanker, shipping, disputes, 
parcel, antitrust claim, Sherman Act, horizontal, matters, cases, allegations, damages, subject to arbitration, 
arbitration panel, antitrust, quotation, terms, broad arbitration clause, adhesion contract, price-fixing, signatory, 
customers, vertical, vessel"
Case 2,"settlement, settlement agreement, funds, earthquake, public policy, insurers, purposes, proceedings, charitable, 
unrelated, parties, powers, terms, charitable foundation, regulation, licensing, summary judgment, trial court, 
donated, courts, earthquake damage, cause of action, negotiations, disputes, Italics, triable, void, violate public 
policy, policyholders, conditions"
Case 3,"network, Defendants', foreclosure, providers, customers, antitrust, relevant market, anti trust law, percent, 
competitors, employees, vendors, summary judgment, outlets, plans, sales, insurance provider, anticompetitive, 
supplier, rentals, foreclosed, reimbursed, consumers, purchases, monopoly power, effects, costs, lease, 
monopolization, capitation"
Case 4,"documents, discovery, pricing, conspiracy, refinishing, automotive, paint, antitrust, Defendants', competitors, price-
fixing, domestic, Clarification, Plaintiffs', trade association, reflecting, worldwide, requests, markets, global, 
anticompetitive, geographic, entity"
Case 5,"brochures, patent, prior art, argues, summary judgment, infringement, deposition, invalid, summary judgment 
motion, inequitable conduct, relevant market, license, parties, affirmative defense, counterclaim, modular, patent 
misuse, anticipated, declaration, integrated, pleaded, hip, size and shape, matter of law, prostheses, prosthesis, 
bodies, clear and convincing evidence, printed publication, procurement"
Case 6,"allegations, vendors, purchasers, price discrimination, leave to amend, Robinson-Patman Act, cigarette, notice"
Case 7,"claim preclusion, issue preclusion, antitrust, anti trust law, state court, conspiracy, antitrust claim, antitrust suit, 
district court, final judgment, federal court, res judicata, courts, previous proceedings, architectural firm, antitrust 
action, state law, homebuilding, allegations, preclusion, judgments, estoppel, falling, grounds, merits, hire"
Case 8,"Funeral, caskets, photographs, website, copies, plaintiffs', fair use, images, summary judgment, consumers, 
registration, infringing, deposit, links, license, internet, purposes, copyright infringement, advertising material, 
webpage, implied license, advertising, dealers, display, misuse, subject matter jurisdiction, funeral home, antitrust, 
condition precedent, copyrighted work"
Case 9,"predatory, hiring, monopolization, antitrust, employees, competitor, monopoly power, antitrust claim, allegations, 
consultants, staffing, accuses"
Case 10,"copiers, allegations, prices, machines, high volume, interchangeability, anticompetitive, argues, refurbished, costs, 
anticompetitive conduct, motion to dismiss, consumers, providers, software, license, switch, anti trust law, products, 
Skiing, challenged conduct, replacement part, relevant market, diagnostic, end-users, compete, brand, sales, 
antitrust claim, new machine"
Case 11,"statute of limitations, motion to dismiss, abuse of process, limitations, cause of action, malicious, pleaded, 
disparagement, allegations, antitrust, raid, defendants', software, lawsuit, malicious prosecution, antitrust claim, 
licensing, limitations period, advertisement, documents, newspaper, one-year, amend, malicious prosecution claim, 
patent infringement, accusation, two-year, accrued cause of action, tortious interference, limitations bar"
