Case Index,Core Terms
Case 1,"competitors, Robinson-Patman Act, secondary-line, price discrimination, competitive injury, injure, legislative 
history, Foremost, Clayton Act, prevent competition, destroy, anti trust law, primary-line, merchants, inferred"
Case 2,"investors, trades, conspiracy, spreads, class member, market-makers, Defendants', class action, damages, 
negotiated, aggregate, class certification, volume, odd-eighth, transactions, class representative, member of the 
class, proposed class, customers, effective, quotations, advisors, shares, stock, retirement system, named plaintiff, 
affiliates, prices, alleged conspiracy, individual basis"
Case 3,"arbitration, antitrust, parties, anti trust law, subject to arbitration"
Case 4,"vermiculite, Antitrust, monopolization, donation, mining, anti trust law, market share, mining rights, anticompetitive, 
competitor, cases, allegations, conspiracy, holdings, Skiing, monopoly power, parties, conspiracy to monopolize, 
percent, noncommercial, producers, commerce, concentrates, suppression, consumers, non profit organization, 
contractual, conveyances, nonprofit, good faith"
Case 5,"airport, city and county, immunity, municipality, Ordinance, usage, state action, facilities, district court, antitrust, car 
rental company, supervision, bonds, regulations, private party, provisions, car rental, anticompetitive, authorization, 
articulated, antitrust claim, append, notice, lease, anti trust law, state policy, finance, rental, prong, doctrine of 
immunity"
Case 6,"radiation, barriers, monopolization, market share, oncology, linear accelerator, accelerators, market power, genuine 
issue of material fact, Defendants', summary judgment, district court, monopoly, patients, prices, provider, 
maximum capacity, competitors"
Case 7,"franchise, allegations, franchisees, Breaching, antitrust, induced, Oil, boycott, royalty, conspiracy, expectancy, 
tortious interference, defendants', trademark, stations, plaintiff's claim, royalty rate, Sherman Act, lubrication, 
terminated, consumers, License, Counts, join"
Case 8,"criminal proceeding, reconsideration, offering, discovery, parties"
Case 9,"energy, amended complaint, generation, curtailment, electric, consumers, competitor, antitrust, purchases, 
monopolize, wholesale market, relevant market, district court, service area, alleges, amend, anti trust law, 
producers, compete, retail, electric energy, regulations, independent power, customers, retail market, contends, 
resellers, motion to dismiss, letter brief, facilities"
Case 10,"addendum, termination, noncompete, insurer, noncompetition, covenant, confidential information, parties, three 
year, trial court, nonrenewal, coverages, compete, volunteer fire, trade secret, expiration, marketing, notice, renew, 
restrictive covenant, circumstances, policyholders, automatic, contends, venture, rating, plans, one year, 
misrepresentation, negotiations"
Case 11,"markets, proposed class, health plan, damages, defendants', Clinic, geographic, physician's services, purchasers, 
class certification, plaintiffs', antitrust, class member, predominance, prices, named plaintiff, commonality, potential 
class member, health maintenance organization, class action, allegations, conspiracy, healthcare services, 
common question, statute of limitations, class representative, certification, customers, products, Sports"
Case 12,"distributor, retailers, products, superstores, purchaser, prices, manufacturer, sales, Pet, wholesale, selling, foods, 
competitors', customers, indirect, alleges, seller, distributorship, advertising, conspiracy, territory, dog, promotions, 
antitrust, vertical, cat food, deposition, volume, independent distributor, distribution system"
Case 13,"Campus, antitrust, anti trust law, convenience store, anticompetitive, Card, meal, anticompetitive conduct, antitrust 
claim, competitor, on-campus, plans, summary judgment motion, grant summary judgment, district court, lack 
standing, policies, houses, opened, fails"
Case 14,"premiums, district court, plaintiffs', summary judgment, relevant market, antitrust, damages, monopolization, co-
payments, discount, insurance business, practices, policies, prices, anticompetitive, submarket, insureds, patients, 
calculated, elasticity, acute care hospital, federal statute, market power, competitors, for-profit, charges, third 
amended complaint, amended complaint, Sherman Act, defendants'"
Case 15,"immune, State Action Doctrine, antitrust, official capacity, Sheriff, injunctive relief, sheriff's deputy, anticompetitive, 
police officer, off-duty, money damages, government official, individual capacity, local government, private security, 
instant case, state law, localities, amend, absolute immunity, anti trust law, restaurants, pertaining, violations, 
delegated, municipal, ordinance, alleges"
Case 16,"rates, filed rate doctrine, customers, non-core, import, plaintiffs', transportation, pipeline, antitrust, natural gas, 
Cellular, damages, instant case, volumes, steel, federal agency, quantity, district court, federal review, defendants', 
Electric, shipper, Lake, interstate commerce, denial of access, lower rate, certificate, competitors, conspiracy, 
producers"
Case 17,"conspiracy, Plaintiffs', carpet, products, class certification, parties, prices, predominance, antitrust, polypropylene, 
class member, price-fixing, Defendants', formulas, class action, believes, damages, courts, markets, cases, 
proposed class, questions, adduced, circumstances, Consolidated, analytical, member of the class, individualized, 
discovery, varying"
Case 18,"targeting, bargaining, contractors, negotiations, picketing, amended complaint, parties, summary judgment motion, 
collective bargaining agreement, withdraw, summary judgment, collective bargaining, sprinkler, conspiracy, 
exemption, Counts, defendants', conditions, site, violations, antitrust, employees, projects, argues, terms, illegal 
conspiracy, Sherman Act, circumstances, nonstatutory, effective"
Case 19,"contracts, transport-or-pay, customers, transportation, regulation, provisions, long-term, rates, pipelines, negotiated, 
antitrust, natural gas, supervision, interstate, Decisions, prong, plaintiffs', filed rate doctrine, transmission, take-or-
pay, displace, anticompetitive, certification, tariff, state action doctrine, authorization, ratepayers, options, 
anticompetitive conduct, issue of fact"
Case 20,"accrual, limitations period, Clayton Act, predicate act, fraudulent concealment, antitrust, discovery, silo, statute of 
limitations, cause of action, diligence, tolling, feed, courts, limitations, racketeering activity, reasonable diligence, 
equitable, accrues, cases, accrued cause of action, antitrust case, discovery rule, four year, circumstances, 
borrowing, discovers, analogy, damages, reasons"
Case 21,"purchasers, indirect, antitrust, consumer protection, anti trust law, federal law, courts, manufacturers, unfair, 
overcharged, pharmacies, guided, damages, drugs, suits"
Case 22,"trademark, products, disinfectant, cleaner, markets, competitors, anti trust law, antitrust, compete, spray, cleaning, 
restrictions, brand, parties, advertising, pine, marks, pro-competitive, producing, monopoly, Sherman Act, 
household, dominate, summary judgment, introducing, predecessor, liquid, rights, antitrust claim, new product"
Case 23,"pool, electric, monopoly, conspiracy, heater, heat, monopolization, relevant market, monopoly power, competitor, 
antitrust, pumps, allegations, leveraging, restraint of trade, Sherman Act, coconspirators, manufacturer, contends, 
conspiracy to monopolize, motion to dismiss, conclusory, customers, solar, anti trust law, geographic, concerted, 
alleged conspiracy, contractors, vacated"
Case 24,"patent, license, anti trust law, patent holder, inventions, antitrust, products, misuse, reconsideration, monopoly, 
certification, markets, unilateral, holder's, pricing, exclusionary, patented invention, immediate appeal, district court, 
settlement"
Case 25,"defamation, tortious interference, antitrust, allegations, pleadings, cause of action, defense motion, competitor, 
wrongful means, business relationship, conspiracy, amended complaint, plaintiff's claim, amend, cure, failure to 
state a claim, court concludes, customers, merits, prices, pled, defendant's conduct, matter of law, trade secret, 
anti-competitive, defamatory, products, defects, contractual relationship, motion to dismiss"
Case 26,"antitrust, conspiracy, providers, allegations, mental health care, prices, defendants', network, policies, anti trust law, 
patients, effects, consumers, motion to dismiss, managed care, plaintiffs', recommend, concert, amend, terms, 
alleged conspiracy, market power, co-conspirators, organizations, practices, unreasonable restraint, capitation, 
geographic, horizontal, details"
Case 27,"infringement, distribution rights, asserted claim, patent misuse, products, patents, license, inequitable conduct, 
summary judgment, negotiations, antitrust, genuine issue of material fact, literally, marketing, parties, counterclaim, 
plaintiffs', memorandum, invalid, misuse, technology, partner, argues, rights, affirmative defense, license to 
practice, matter of law, patent holder, unenforceable, inequitably"
Case 28,"prices, conspiracy, defendants', increased price, competitors, baby food, announcement, plaintiffs', plans, products, 
sales representative, memorandum, truce, conspire, allegations, motive, summary judgment, list price, instances, 
Sales, price information, plaintiff's claim, Sherman Act, communications, customers, factors, Food, exchanging 
information, antitrust, exchanged"
Case 29,"district court, damages, bid, school district, contractors, conspiracy, specifications, products, antitrust claim, anti 
trust law, consumer protection, alleges, antitrust violation, school project, merchandise, trade practice, projects, 
deceptive trade practices, causal connection, summary judgment, misrepresentation, speculation, antitrust, 
discovery, consumer, factors, roofing"
Case 30,"plaintiff's claim, allegations, antitrust, rights, antitrust statute, leave to amend, conspiracy, pleadings, state law, 
defendants', state law claim, mail fraud, non-government, color"
Case 31,"relocation, antitrust, summary judgment motion, Settlement, summary judgment, part and parcel, alleges"
Case 32,"immunity, hospital service, anticompetitive, exclusive contract, antitrust, districts, state action, practices, 
foreseeable result, statutory scheme, patients"
Case 33,"dealership, relocation, promise, parol evidence rule, manufacturer's, terms, site, restraint of trade, integration, 
horizontal, approve, parties, integrated agreement, contradict, antitrust, estoppel, Dealer, oral agreement, 
negotiations, collateral, entities, vertical, bind"
Case 34,"Insurers, percentile, chiropractic, plaintiffs', chiropractors, eightieth, insurance company, endnote, controvert, 
deposition, Exhibits, summary judgment, documents, sentence, recommendations, patient, refers, charges, 
memorandum, motive, alleged conspiracy, defendants', conspiracy, visits, no evidence, Shelter, appears, bills, 
uncontroverted, reduction"
Case 35,"wholesalers, manufacturers, customers, pharmacies, purchasers, discounts, injunction, favored, federal court, 
overcharge, damages, buying, conspiracy, drugs, state court, antitrust, cartel, chargeback, cases, prices, sales, 
federal law, Sherman Act, district court, price-fixing, plaintiffs', commerce, sellers, class action, state law"
Case 36,"counterclaim, removal, slag, alleges, dust, business relationship, geographic, discovery, steel, tortious interference, 
motion to dismiss, monopoly power, argues, interchangeable, facilities, customers, disposal"
Case 37,"injunction, monopoly, patent, manufacturers, damages, district court, monopoly power, micrographic, argues, 
relevant market, monopolization, monopolist, markets, antitrust, photocopiers, license, Skiing, prices, customers, 
successors, market share, competitors, award damages, original-equipment, instructions, exclusionary, sales, 
intellectual property rights, unilateral, barriers"
Case 38,"contaminated, pet food, consumers, customer, unfair, food, unfair competition, distributed, deceived, products"
Case 39,"Pizza, relevant market, franchisees, ingredients, supplies, franchise, interchangeable, district court, plaintiffs', 
products, franchise agreement, market power, costs, dough, suppliers, antitrust, Sherman Act, contractual, 
aftermarket, switching, antitrust claim, cross-elasticity, franchisor, purchasing, buy, monopolize, purposes, 
monopoly, copiers, markets"
Case 40,"consumer, Defendants', alleges, damages, tobacco product, provisions, motion to dismiss, reimbursement, public 
nuisance, quasi-sovereign, antitrust, Counts, unjust enrichment, remote, exclusive remedy, cause of action, 


Page 2 of 24
 
personal injury, proximate cause, subrogation, cigarette, tobacco, unsafe, product liability, manufacturer, 
consumption, failure to state a claim, expressio unius, anti trust law, direct action, misrepresentation"
Case 41,"comity, Orange, Sherman Act, factors, antitrust, marketing, lists, subscribers, court of appeals, courts, parties, 
directory, regulations, telephone, database, entities, district court, alleges, telephone directory, proceedings, 
grounds, data processing, cleansed, commerce, charges, effects, true conflict, communicated, injunction, principles"
Case 42,"coverage, insured, price discrimination, duty to defend, semicolon, personal injury, argues, courts, antitrust, pricing, 
insurance policy, district court, purchaser, umbrella, favored, beer, humiliation, dictionary, parties, differential 
treatment, advertising injury, intentional act, ambiguous, terms, personal injury coverage, unfair competition, 
insurance company, term of art, make sense, Robinson-Patman Act"
Case 43,"imported, steel, antitrust, pricing, dumping, protectionist, tariff, predatory, articles, Antidumping Act, domestic, injure, 
Defendants', actual market value, prohibitions, destroy, motion to dismiss, intent to injure, anti trust law, cases, 
sales, legislative history, foreign country, wholesale price, manufacturers, allegations, unfair, steel industry, 
antidumping, competitors"
Case 44,"Rescue, enterprise, clinic, predicate act, conspiracy, plaintiffs', abortion, summary judgment, blockade, convention, 
protest, Leadership, campaign, participated, defendants', extortion, pattern of racketeering activity, tortious 
interference, abortion clinic, activist, Hobbs Act, antiabortion, attended, violence, boycott, planned, fetal, 
demonstrates, leaders, organizations"
