Case Index,Core Terms
Case 1,"prices, per se violation, wholesale, regulatory scheme, immunity, Sherman Act, regulations, liquor, supervision, 
hybrid, alcoholic beverage, anti trust law, private party, state action, announced, retail, summary judgment, price 
fixing, anticompetitive, injunctive, adhere, enforces, cases, summary judgment motion, declaratory judgment, rule of 
reason, cross-motions, authorizes, parties"
Case 2,"filed rate doctrine, consumers, rates, competitors, local telephone, anticompetitive, telephone, carriers, antitrust, 
damages, telecommunications, prices, claim for damages, asserts, motion to dismiss, long-distance, allegations, 
railroads, argues, Lake, injunctive relief, telephone service, rate-setting, overcharge, transport, Sections, contends, 
monopoly, courts, standing to bring"
Case 3,"Message, operating system, cache, programs, disk, user, tests, disparagement, Interrupt, software, hooking, 
compatibility, decrease, argues, read-write, functions, box, hard disk, falsity, summary judgment, driver, antitrust, 
issue of fact, detects, display, court concludes, manufacturer, defamation, facilities, monopoly"
Case 4,"crossing, summary judgment, Railroad, track, Transportation, construct"
Case 5,"providers, conspiracy, Region, allegations, defendants', motion to dismiss, plaintiffs', termination, antitrust, bids, 
enrollees, individual defendant, alleged conspiracy, Memorandum, Prosthetic, Orthotics, contracts, cases, 
pleadings, patients, circumstantial evidence, competitive bidding, preferred provider, anti trust law, Sherman Act, 
effects"
Case 6,"bartending, antitrust, hotel, summary judgment, market power, detrimental effect, relevant market, courses, 
competitors, recommend, market share, seminars"
Case 7,"counterclaim, telephone, antitrust, defamation, anti trust law, allegations, motion to dismiss, horizontal"
Case 8,"unloading, warehouse, relevant market, district court, trucking company, truck, restraint of trade, semitrailer, 
antitrust, transportation, vertical, rule of reason, Sherman Act, asserts, counts, interstate commerce, tying 
arrangement, per se violation, coerced, antitrust claim, failure to state a claim, antitrust violation, motor carrier, 
price-fixing, geographic, pleaded, driver, levels"
Case 9,"anesthesiology, antitrust, cardiac, motion to dismiss, amended complaint, peer review, Sherman Act, 
anesthesiologists, Defendants', enterprise, relevant market, patients, exclusive contract, geographic, anti trust law, 
monopolize, anesthesia, allegations, Counts, mail, consumers, surgery, antitrust claim, predicate act, prices, pattern 
of racketeering activity, fraudulent, affirming, pleadings, pled"
Case 10,"electricity, competitor, cogeneration, anticompetitive, compete, summary judgment, customers, antitrust liability, 
consumers, energy, discounted rate, immune, rates, anti trust law, state action doctrine, plant, summary judgment 
motion, Sherman Act, discounting, contends, argues, utility company, matter of law, authorize, negotiate, grounds, 
costs"
Case 11,"agencies, nurses, prices, Plaintiffs-appellants, rule of reason, price fixing, group boycott, anticompetitive, antitrust, 
relevant market, bid, contracts, temporary, preferred provider, market power, per se rule, violations, nursing 
services, anti trust law, Sherman Act, economic-loss, practices, cases"
Case 12,"antitrust, oncology, summary disposition, counterclaim, radiation, allegations, exclusive contract, preclusive effect, 
staff privileges, antitrust claim, relevant market, state court, Michigan Antitrust Reform Act, conspiracy, monopolize, 
counts"
Case 13,"attorney's fees, district court, antitrust, fee award, disqualification, ethical, anti trust law, opening brief, disqualified, 
parties, merits"
Case 14,"repair, remanufacturer, customer, chassis, dealers, place of business, binding, district court, manufacturer, 
injunction, irreparable harm, anti trust law, licensing, merits, truck, motor vehicle dealer, preliminary injunction, 
likelihood of success, antitrust claim, binding agreement, new motor vehicle, plaintiffs', grounds"
Case 15,"distributors, hematology, in-clinic, veterinary, instruments, sales, laboratories, products, summary judgment, 
Additionally, testing, blood, relevant market, conspiracy, monopolize, analyzers, customers, direct sale, antitrust, 
marketing, monopoly power, foreclosure, blood sample, Sherman Act, foreclosed, argues, sells, genuine issue of 
material fact, Clayton Act, terminability"
Case 16,"boat, market share, monopolization, outboard, submarkets, drive, stern, summary judgment, Marine, probability, 
monopoly power, estimate, engines, genuine, markets, records, relevant market, statistics, retail, business record, 
market power, manufacture, customers, probability of success, material fact, anticompetitive, integrated, 
nonmovant, bulbs, sales"
Case 17,"consent decree, patents, duress, glass, float, covenant, lawsuit, pleaded, trade secret, state court, antitrust, 
technology, invention, monopoly, expired, anti trust law, plate glass, manufacturing, plant, tin, district court, parties, 
decree, confidential, licensees, temporary restraining order, consultant, financing, voidable, alleges"
Case 18,"patent, cartridges, baseless, infringement, modifications, ink, antitrust, sham, reconstruction, impermissible, 
housing, argues, grave, summary judgment, district court, anticompetitive, unsuccessful, competitor, process-as, 
refillable, quotation, ink-jet, lawsuit, redress, immune, repair, chart, marks, cap"
Case 19,"summary judgment, immunity, motion to dismiss, material fact, matter of law, letters, major league baseball, 
Players, sending, urges, sham, unincorporated association, tortious interference, threat of litigation, injunctive relief, 
membership rights, subjective intent, prima facie tort, genuine issue, cease-and-desist, Nonmovant, discovery, 
baseless, infringe, parodies, Libel, cards"
Case 20,"defendants', Antitrust, motion to strike, amended complaint, antitrust statute, alleges, business relationship, counts, 
injuries, cause of action"
Case 21,"district court, federal funds, athletics, Sherman Act, recipient, intercollegiate, amend, bylaw, institutions, 
Postbaccalaureate, eligibility requirements, student-athlete, receives, federal financial assistance, eligibility rules, 
anti trust law, procompetitive, allegations, proposed amended complaint, failure to state a claim, education program, 
promulgation, television, futile, sports, motion for leave, leave to amend, anticompetitive, undergraduate, eligibility"
Case 22,"antitrust, authorized dealer, Dealership, allegations, tortious interference, counterclaims, distribution agreement, 
termination, products, monopolization, motion to intervene, motion to dismiss, Defendants', repair, Distributor, 
replacement, add-ons, dealers, contractual relationship, relevant market, main action, manufacturer, non-party, 
customer, upgrades"
Case 23,"summary judgment, league, asserts, scheduling order, good cause, Antitrust, pleadings, alleges, unfair, team, 
bankruptcy court, treble damages, diminution, consumer, defenses, genuine issue of material fact, breach of 
contract, economic loss rule, anti trust law, leave to amend, depositions, enterprise, practices, Football, commerce, 
purchase price, deceptive, nonmoving, courts, Arena"
Case 24,"patent, invalid, district court, implants, invention, best mode, misrepresentation, fraudulent, antitrust, counterclaim, 
anti trust law, inequitable conduct, infringement, omission, antitrust liability, patent application, micropits, baseless, 
immunity, new trial, patentee, inventor, argues, sham, bring suit, case-in-chief, unenforceable, motion for a new 
trial, patent infringement, practicing"
Case 25,"plaintiffs', defendants', tobacco, proximate cause, injuries, motion to dismiss, tobacco-related, subrogation, remote, 
alleges, unjust enrichment, slip opinion, special duty, expenses, disease, costs, preempted, promises, tobacco 
product, advertising, concealed, damages, smoking, targets, anti trust law, fraudulent, courts, antitrust violation, 
common law claim, personal injury"
Case 26,"anticompetitive, antitrust, entity, immunity, political subdivision, bid, district court, pleadings, articulated, conspire, 
insurers, policies"
Case 27,"Pet, claim for relief, Defendants', Declaration, distributor, products, Distributorship, customers, partial summary 
judgment, termination, parties, fiduciary duty, Counterclaim, deposition testimony, summary judgment, de facto, 
manufacturer, deposition, contradicts, fill-in, price fixing, employees, genuine issue of material fact, pet food, 
Sherman Act, nonrenewal, breached, solicit, breach of contract, final judgment"
Case 28,"Recommended, distributor, anti-competitive, end-users, undisputed evidence, antitrust, customers"
Case 29,"distributor, alternate, futility, franchisees, antitrust, approve, summary judgment, promoters, requests, tie, new 
evidence, franchise, remedies, present case, franchisor, documents, suppliers, products, ticket, franchise 
agreement, tying arrangement, plaintiffs', authors, supplies, internal document, second source, Recommendation, 
parties, rights, district court"
Case 30,"franchisees, franchise, logoed, products, distributor, prices, franchise agreement, supplier, market power, 
customers, alternate, costs, tie, tying product, food, consumer, seller, Declaration, tie-in, Plaintiffs', locked, supplies, 
buyer, machines, specifications, manufacturer, tied product, Distributing, exploitation, supracompetitive"
Case 31,"Tire, vintage, antitrust, purchaser, brand, Clayton Act, manufacture, competitor, acquisition, distribute, summary 
judgment, distributor, divestiture, original equipment, district court, indirect, anti trust law, market power, monopoly, 
damages, treble damages, worldwide, output, standing to sue, lack standing, barriers, equitable relief, Sherman 
Act, injunction, alleges"
Case 32,"pharmacy, network, provider, extortion, market power, customers, defendants', tortious interference, antitrust, 
prescription drug, cases, competitors, switch, Hobbs Act, geographic, wrongful means, reciprocal, violence, matter 
of law, subscribers, rule of reason, membership, predicate act, purchasers, healthcare provider, economic loss, 
audit, lawful claim, quality assurance, antitrust claim"
Case 33,"antitrust, prices, price-fixing, patients, competitor, summary judgment, maximum price, conspiracy, anti trust law, 
horizontal, consumers, vertical, preferred provider, injuries, alleges, cause of action, Sherman Act, maximum-price, 
membership, schedules, payors, Clayton Act, third-party, innovation, maximum, medical services, non-predatory, 
reimbursement, violations, anticompetitive"
Case 34,"disclosure, Exemption, district court, segregability, withholding, investigated, documents, amicus, press, law 
enforcement purpose, privacy interest, withheld, personal privacy, misconduct, employees, compiled, unwarranted 
invasion, categorical, portions"
Case 35,"Card, postcards, manufacturers, distributor, consumers, purchases, tying arrangement, practices, dealers, rule of 
reason, anticompetitive, district court, monopolization, products, anti trust law, Sherman Act, competitors, vertical, 
percent, sales, buy"
Case 36,"monopoly power, monopolization, market share, supermarket, site, market power, Street, summary judgment, 
competitors, district court, defendants', adverse effect, parcels, prices, relevant market, state law claim, antitrust, 
barriers, cause of action, percent, probability, anti trust law, Sherman Act, counterclaims, opening, specific intent, 
demonstrating, possessed, genuine, factfinder"
Case 37,"purchaser, indirect, venue, ticket, overcharge, monopoly, Clayton Act, subsidiary, concert, damages, injunctive 
relief, antitrust, antecedent, monopolist, district court, anti trust law, transaction of business, antitrust violation, 
service fee, monopolized, promoter, cases, exclusive contract, lack standing, courts, buyer, input"
Case 38,"Chips, microprocessors, competitors, products, workstations, termination, customers, graphics, technology, 
distributors, unconscionable, terms, technical information, monopoly power, manufacturer, relevant market, 
antitrust, Samples, injunctive relief, subsystem, compete, parties, preliminary injunction, court concludes, high-end, 
monopoly, supplied, merits, percent, patent"
Case 39,"tortfeasor, antitrust, unjust enrichment, third-party, injuries, motion to dismiss, damages, tobacco, failure to state a 
claim, proximate cause, costs, plaintiff's claim, anti trust law, defendants', subrogation, remote"
Case 40,"coaches, damages, class member, antitrust, conspiracy, earnings, plaintiffs', summary judgment, anticompetitive, 
salaries, prices, partial summary judgment, methodology, defense motion, antitrust violation, effects, conspirator, 
withdrawal, rescinded, amount of damages, circumstances, causation, Consumer, entitled to summary judgment, 
injunctive relief, Clayton Act, Sherman Act, calculation, parties, cases"
Case 41,"immunity, state-action, entity, accounting, exemption, state agency, articulation, regulation, profession, funding, 
parte, member of the board, anticompetitive, municipalities, supervision, public accountant, antitrust, lawsuit, 
individual member, federal court, incompatible, commissions, practiced, licensed, rules and regulations, anti trust 
law, state policy, displace, prong"
Case 42,"survive, solicitation, cause of action, personal jurisdiction, damages, plaintiffs', treble-damages, antitrust, insured, 
substitution, deposition, purposes, punitive, treble damages, common law, invested, long-arm, abated, courts, 
punitive damages, compensatory, parties, motion for substitution, double damages, reconsideration, lawsuit, 
respondeat superior, survival statute, anti trust law, civil claim"
Case 43,"patent, invalid, district court, licensing, estoppel, subject matter, antitrust, protective order, unfair business practice, 
partnership, relevant market, asserts, summary judgment, market power, mathematical, documents, alleged 
infringer, CONFIDENTIAL, defendants', discovery, patentee, products, requests, recited, argues, rights, summary 
judgment motion, magistrate judge, infringement, misleading"
Case 44,"neighborhood, private sector, urban renewal, municipality, immune, funds, defendants', urban, Zone, economic 
development, anticompetitive, allegations, anti trust law, conspiracy, Homeownership, redevelopment, purposes, 
argues, sham, community development, antitrust liability, motion to dismiss, antitrust claim, state law claim, state 
policy, articulated, antitrust, housing, blight"
Case 45,"supplier, suggested retail price, gasoline, retailer, district court, price-fixing, Sherman Act, ceiling, pricing, margin, 
profit margin, retail price, per se rule, collusion, low-price, customer, maximum, argues, waived, floor, grade"
Case 46,"Ordinance, municipality, waste collection, Recycling, disposal, garbage, interstate commerce, flow control, solid 
waste, collecting, discriminate, processing, immunity, garbage collection, regulation, state action doctrine, local 
government, anti trust law, waste management, anticompetitive, out-of-state, haulers, selling, transfer station, state 
action, state policy, Plaintiffs', violates, firms, ton"
Case 47,"anesthesia, conspiracy, antitrust, Plaintiffs', Defendants', summary judgment, anesthesiologists, geographic, 
patients, market power, anti-competitive, relevant market, monopolization, anti trust law, reimbursement, 
terminated, summary judgment motion, fail to demonstrate, market share, conspired, detrimental effect, rule of 
reason, market area, Sherman Act, competitors, facilities, providers, alleges, billing, boycott"
Case 48,"recommendation, certification, antitrust, summary judgment, immunity, internal medicine, peer, conspiracy, by-laws, 
Sherman Act, defendants', Staff"
Case 49,"insurance business, regulating, premium, financing, insured, federal statute, McCarran Act, state law, insurance 
company, state statute, invalidate, impair, policyholder, finance company, district court, disclosure, financing 
agreement, federal law, antitrust, checks, courts, preemption, exemption"
