Case Index,Core Terms
Case 1,"warranty, sales, trademark infringement, resellers, products, customer, end-user, counterclaims, material 
difference, consumer, Counts, summary judgment motion, non-conforming, material fact, selling, tortious 
interference, unauthorized, summary judgment, alleges, bare, antitrust, trademark, manufacturers, unfair 
competition, asserts, pricing, infringement, defense motion, installation, marks"
Case 2,"tablets, film, generic, reliability, opines, patients, studies, regulations, substitution, manufacturers, expert testimony, 
methodology, products, therapeutic, surveys, misleading, marketing, cross-examination, prescriptions, website, 
negotiations, prescribing, Omnibus, qualifications, statistical, documents, advertising, exposure, pharmaceutical, 
pediatric"
Case 3,"Plaintiffs', consumers, coconspirators, purchasers, allegations, defeat, fraudulent, asserts, Defendants', conspiracy, 
argues, mail fraud, misrepresentations, manufactured, antitrust, emissions, omission, motion to dismiss, certificates, 
racketeering, wire fraud, concealment, indirect, injuries, licenses, defraud, unnamed, Diesel, chain, mail"
Case 4,"Settlement, class member, Notice, Subscriber, Self-Funded, damages, Blue, Sub-Class, class representative, 
settlement agreement, parties, Settling, class action, mediation, injunctive relief, settlement fund, preliminary 
approval, proposed settlement, negotiated, Plaintiffs', employees, approve, class certification, Defendants', 
Claimants, certification, Insured, final approval, antitrust, preliminarily"
Case 5,"generic, patent, motion to dismiss, settlement, Payor, antitrust, brand, settlement agreement, state law claim, rule of 
reason, launch, antitrust claim, manufacturers, acceleration, Defendants', allegations, recommended, infringer, 
profits, anticompetitive, Complaints, cinacalcet, monopoly, at-risk, sales, amended complaint, Sherman Act, 
monopolization, unjustified, violates"
Case 6,"newspaper, alleges, antitrust, editorial, Media, Defendants', daily newspaper, motion to dismiss, monopolization, 
conspiracy, advertising, Sherman Act, termination, publisher, anticompetitive, fails, cause of action, relevant market, 
Clayton Act, acquisition, courts, written consent, anti trust law, noticeable, ego, injunctive relief, district court, leave 
to amend, subsidiary, parties"
Case 7,"counterclaim, alleges, monopolization, brand, tortious interference, contracts, medical equipment, motion to 
dismiss, misappropriation, infringement, amended complaint, defamation claim, eliminated, update, injunctive relief, 
relevant market, trade secret, products, letters, declaratory judgment, reasonable inference, monopoly power, 
defamation, antitrust, provider, renew, exclusive distributor, medical product, dishonest act, conspiracy"
Case 8,"peanuts, runner, Plaintiffs', predominance, antitrust, prices, alleged conspiracy, regression, farmers, damages, 
emails, class action, class member, variables, class certification, purported class, parties, proposed class, class 
period, commonality, conspiracy, deposition, questions, factors, question of law, individualized, class-wide, 
violations, collusion, documents"
Case 9,"lender, SBA, small business, SBA Rule, loans, judicial notice, argues, titled, unfair, loan program, borrowers, 
website, compensation agreement, Regulations, loan application, alleges, provisions, prepare, funds, motion to 
dismiss, contends, receives, requests, percent, courts, limits, declaratory judgment, unjust enrichment, 
documentation, quotations"
Case 10,"disability, pharmacy, benefits, medications, meaningful access, district court, health plan, specialty, prescriptions, 
public accommodation, prescription drug, unfair, in-network, regulation, violations, patients, anti-discrimination, 
allegations, drugs, plans, fill, disparate impact, discriminates, inpatient, prices, vacate, terms"
Case 11,"allegations, Counterclaim, bags, laptop, patent, inequitable conduct, monopolization, prior art, invention, relevant 
market, specific intent, consumers, inventors, pleaded, checkpoint-friendly, anti-competitive, recommends, deceive, 
cases, dangerously close, interchangeable, antitrust, compliant, withheld, storage, affirmative defense, airport 
security, collaboration, infringement, possessed"
Case 12,"demurrer, cause of action, unfair, unfair competition, allegations, Deposition, practices, notice"
Case 13,"allegations, prong, false advertising, customer, products, claim for relief, fraudulent, advertising, misleading, 
consumer, sufficient facts, trade libel, unfair, statement of facts, leave to amend, special damage, Lanham Act, 
unfair competition, motion to dismiss, pleaded, puffery, reviewers, violates, posted, fails, libel, alleged violation, 
preceding, sections, deceive"
Case 14,"cause of action, demurrer, leave to amend, unfair, allegations, unfair competition, promise, pled, contractual 
relationship, terms of the contract, written contract, fiduciary duty, Conversion, fraudulent, practices, verbatim, terms"
Case 15,"Urologics, antitrust, urologist, relevant market, monopoly power, Sherman Act, providers, competitors, patients, 
Region, anticompetitive, motion to dismiss, cause of action, Defendants', allegations, conspiracy, healthcare, state-
law"
Case 16,"settlement, class member, appoint, class action, notice, parties, purchaser, settlement agreement, preliminary 
approval, special master, quotation, indirect, marks, class representative, anti trust law, district court, 
anticompetitive, questions, mediator, purposes, appears, certify"
Case 17,"licenses, allegations, music, monopsonization, defendants', conspiracy, negotiations, anticompetitive, Sherman Act, 
conspire, antitrust, motion to dismiss, argues, buyers, monopsony, streaming, meetings, stations, cleaned, Counts, 
rights, relevant market, self-interest, markets, trade association, consent decree, do business, communications, 
interdependent, television"
Case 18,"Sanofi, EpiPen, rebate, formulary, payors, email, summary judgment, patients, Tier, coverage, launch, contracts, 
argues, presentation, brand, offers, discount, products, market share, Lanham Act, messaging, epinephrine, 
competitor, customers, prices, advertising, plans, manufacturers, antitrust, consumers"
Case 19,"damages, subject matter jurisdiction, allegations, antitrust, amount in controversy, diversity, diversity jurisdiction, 
Warranty, amended complaint, punitive damages, Clayton Act, Sherman Act, courts, food, anti trust law, consumer, 
private right of action, plaintiff's claim, antitrust claim, state law claim, pro se, anticompetitive, pleadings, invokes"
Case 20,"hospital authority, plaintiffs', monopoly, antitrust, prices, trial court, monopolization, pleadings, immunity, quasi-
municipal, Cablevision, competitors, municipal, allegations, entity, anti trust law, insurers, local government, 
exempt, commerce, argues, third amended complaint, market power, state action, restrictions, asserts, contends, 
hospital service, Anti-Monopoly, trial court's decision"
Case 21,"insurer, regulated, telemetry, insurance business, challenged conduct, state law, coverage, Plans, anti trust law, 
McCarran-Ferguson Act, antitrust, monitors, pharmacy, policyholder, immunity, prong, insurance industry, parties, 
spread, peer review committee, motion to dismiss, deny coverage, prescription, underwriting, allegations, 
constitutes, practices, courts, exempt, antitrust liability"
Case 22,"injunction, preliminary injunction, labor dispute, boycott, writers, Defendants', negotiating, agencies, enjoin, terms, 
Norris-LaGuardia Act, Sherman Act, parties, talent"
Case 23,"documents, defenses, iPhone, in-app, discovery, markets, mobile, profit margin, market power, relevant market, 
profits, iPad, accessories, customers, letter brief, processing, antitrust, purchases, worldwide, products, alleges, 
global, costs, touch, iPod"
Case 24,"surety, conspiracy, rebates, allegations, motion to dismiss, Plaintiffs', bail, bail bond, trade association, premium 
rate, Defendants', alleged conspiracy, factors, antitrust, meetings, bail agent, rivals, rates, judicial notice, insurance 
company, discounts, documents, premium, percent, pricing, email, advertising, agencies, deny a motion, 
communications"
Case 25,"VOLUME, trademark, products, limitations period, Defendants', marks, team, reformation, motion to dismiss, time-
barred, alleges, antitrust claim, relevant market, fair dealing, sub-market, antitrust, courts, cases, terms, statute of 
limitations, parties, leave to amend, logo, amended complaint, good faith, registration, oppositions, registered, 
football, sports"
Case 26,"patents, markets, aggregation, pricing, anticompetitive, supracompetitive, effects, market power, technologies, 
allegations, asserting, license, infringement, message, substitutes, royalties, software, direct evidence, output, 
commerce, prior owner, Defendants', facially, unfair, Network-based, constrained, portfolio, damages, indirect 
evidence, antitrust claim"
Case 27,"seller, products, alleges, manufacturer, rule of reason, vertical, horizontal, intrabrand, asserts, per se violation, 
competitors, supplemental jurisdiction, distributors, brands, selling, prices, backpacks, motion to dismiss, Sherman 
Act, anticompetitive, counterfeiting, complaints, conspired, describes, defendants', scrutinized, third-party, 
consumers"
Case 28,"certification, products, radiologists, allegations, amended complaint, tied product, cable, specialties, rule of reason, 
antitrust, licensing, tying arrangement, circumstances, lifelong, boards, seller, cases"
Case 29,"patent, vasopressin, manufacturers, antitrust, district court, suppliers, blocked, anticompetitive conduct, causal 
chain, generic"
Case 30,"advertisement, customers, misrepresentation, alleges, unfair, unfair competition, fraudulent, misleading, leave to 
amend, consumers, prong, false advertising, merchandise, grounded, motion to dismiss, actual reliance, Lanham 
Act, interest-free, overstates, furniture, retail, cause of action, passing off, competitor, literally, quotation, deceived, 
realized, savings, argues"
Case 31,"intentional interference, contractual relationship, summary judgment, alleges, damages, prospective economic 
advantage, statute of limitations, parties, argues, grant summary judgment, contracts, antitrust, customers, 
interfere, prices, anticompetitive, relevant market, privileged, tortious interference, settlement agreement, 
monopolization, terminate, antitrust claim, factors, weigh, motion to strike, fall outside, state tort, genuine, reply"
Case 32,"class member, damages, Disclosure, argues, class action, class certification, proposed class, predominate, class 
representative, causation, certify, putative class member, employees, contends, alleges, safeguard, injunctive relief, 
certification, commonality, breached, monetary, identity theft, questions, parties, common question, question of law, 
individualized, Inappropriate, defenses, notice"
Case 33,"state action, anticompetitive, nonemergency, immunity, municipalities, state policy, bid, anti trust law, district court, 
federal law, state law, defendants', regulation, antitrust, emergency, franchise, transport"
Case 34,"cause of action, allegations, demurrer, motion to strike, punitive damages, judicial notice, first amended complaint, 
leave to amend, disgorgement, violations, Prayer, business practice, predicate, exhaust, notice, unfair, 
administrative remedy, profits, courts, malice, workplace harassment, settlement, harassing, consumer, parties"
Case 35,"anti trust law, Plaintiffs', factors, antitrust statute, consumer protection, pleadings, courts, antitrust, motion for 
judgment, merchants, argues, court's decision, harmonization, purchasers, consumers, antitrust claim, indirect, 
motion to dismiss, federal court decision, lack standing, state court, articulated, comparable, intangible, persuasive, 
prudential, concede, cards"
Case 36,"customers, commissions, allegations, tortious interference, RECOMMENDS, retailers, conspiracy, leads, third 
party, conversion, theft, business relationship, civil conspiracy, anti trust law, contractual, rates, distribute, asserts, 
factual allegations, accounting, terminated, contracts, fiduciary, breach of contract, antitrust claim, fiduciary duty, 
misrepresentation, conspired, damages, deprive"
Case 37,"district court, judicial review, clearance, constitutional claim, statutory scheme, collateral, merits, administrative 
proceeding, violates, questions, expertise, agency expertise, due process, challenges, antitrust, factors, 
constitutional challenge, court of appeals, courts, FTC Act, discernible, preclusion, words, meaningful review, 
impliedly, remedies, cases, administrative process, federal court, adjudicate"
