Case Index,Core Terms
Case 1,"supervision, immunity, Plaintiffs', state action, state policy, antitrust, limitations, regulations, patient, telemedicine, 
anticompetitive, consultation, allegations, registrant, laches, interstate commerce, medical practice, judicial review, 
make clear, decisions, limitations period, in-person, parties, modify, affirmative defense, antitrust violation, motion to 
dismiss, state agency, discriminates, pleadings"
Case 2,"undisputed, discounts, exported, In-Service, no-export, affirmative defense, damages, summary judgment motion, 
summary judgment, no evidence, genuine, parties, rule of reason, material fact, anticompetitive"
Case 3,"unfair, trial court, leave to amend, foreclosure, unjust enrichment, cause of action, foreclose, trust deed, 
Respondents', Declaration, restitution, demurrer, lender, consumer, amend, cases, homeowners association, 
sustain a demurrer, business practice, unpaid assessment, public policy, Residential, courts, paying, liens, loans"
Case 4,"first-filed, antitrust, cases, transferred, alleges, parties, anti-tying, appears, overlap, anti trust law, tied product, 
provisions"
Case 5,"tube-in-the-wall, markets, alleges, install, geographic, locks, pest control, antitrust claim, competitors, homeowners, 
antitrust, patent, anticompetitive conduct, monopoly, violations, consumers, motion to dismiss, anti trust law, 
monopoly power, baseless"
Case 6,"immunity, electricity, rates, state-action, prices, substantive grounds, articulated, ratemaking, absolute immunity, 
anti trust law, regulation, retail, difference of opinion, antitrust, certify, argues, entity, political subdivision, controlling 
question, interlocutory appeal, question of fact, anticompetitively, customers, displace, alleges"
Case 7,"bids, defendants', allegations, false claim, Sherman Act, tortious interference, motion to dismiss, Lanham Act, 
competitors, third amended complaint, unfair competition, argues, certifications, conspiracy, false advertising, 
antitrust, cause of action, contracts, pleaded, Clayton Act, recommendations, bid-rigging, individual defendant, 
consumers, rigging, prospective business relationship, advertising, parties, reply, direct competitor"
Case 8,"circuit court, defendants', patients, conspiracy, antitrust, tortious interference, amended complaint, prospective 
economic advantage, cause of action, staff privileges, third party, allegations, staffing, network, seal, medical 
practice, anti trust law, membership, restraint of trade, interfered, amend, second amended complaint, motion to 
dismiss, anticompetitive, expectancy, privileges, reconsider, referrals, parties, argues"
Case 9,"strips, allegations, products, motion to dismiss, rebates, resellers, Sherman Act, competitor, bundling, meter, 
purchasers, discounts, contracts, anticompetitive, pricing, rule of reason, glucose, blood, tortious interference, 
exclusionary, asserts, Clayton Act, self-monitoring, compatible, contractual relationship, anti trust law, Defendants', 
price-cost, violations, monopoly"
Case 10,"supervision, immunity, Sherman Act, active market, chiropractors, workers' compensation, chiropractic, private 
interest, articulation, nonsovereign, anticompetitive conduct, patients, motion to dismiss, delegation, municipality, 
guidelines, anticompetitive, antitrust, employees, compete, state-action, holds, medical professional, new 
guidelines, rehabilitation, designation, appointed, referrals, effects, exempt"
