Case Index,Core Terms
Case 1,"dealers, plaintiffs', guides, prices, jurors, inflated, repairs, injunctive relief, new trial, instructions, nonwarranty, 
conspiracy, documents, authenticity, manufacturer, hearsay, caller, concerted action, questioning, charges, motion 
for a new trial, conspired, persuade, cajole, anti trust law, concerted, lawyers, consent decree, common scheme, 
court erred"
Case 2,"banks, Savings, residents, market share, loans, customers, products, shares, total deposit, deposits, effects, 
anticompetitive, concentration, classified, decreased, attract, largest, commercial bank, merger, reflects, 
Commerce, stock, convenient, shopping, compete, financial institution, bought, solicitation, acquisition, five-county"
Case 3,"state action, medical staff, exemption, Sherman Act, conspiracy, antitrust, staff privileges, regulation, cause of 
action, bylaws, staff, peer review process, defendants', peer review committee, summary judgment, peer review, 
discovery, patients, immune, admit, state policy, articulated, purposes, allegations, supervised, promoting, 
recommended, Licensing, requests, minutes"
Case 4,"distributor, manufacturer, purchaser, sales, district court, customers, seller, commercial bribery, sales agent, 
brokerage, Sherman Act, anti-competitive, bribed, per se rule, commissioned, boycott, buyer, price discrimination, 
agency relationship, anti trust law, Robinson-Patman Act, antitrust, concerted, wholesale, compete, roofing, prices, 
terms"
Case 5,"Inquirer, newspaper, circulation, news service, subscription, articles, subscribing, summary judgment, Penetration, 
metropolitan area, Sherman Act, territorial, competitor, publish, exclusive right, anti trust law, defendants', 
geographic, households, exclusivity provision, antitrust, broadcast, restrain, parties, custom, cases"
Case 6,"premerger, disclosure, state official, Antitrust, merger, Clayton Act, confidentiality, district court, state attorney, FTC 
Act, legislative history, federal authority, state law, confidential disclosure, attorney general, anti trust law, 
authorizes, provisions, agencies, defer"
Case 7,"soft drink, commerce, regulation, Antitrust, interstate commerce, anti trust law, acquisitions, Clayton Act, Bottling, 
commerce clause, interstate, provisions, preempted, antitrust statute, special exception, supremacy clause, local 
interest, state statute, manufacture, territorial, licenses, mergers"
Case 8,"antitrust, truck, anti trust law, transportation company, union-affiliated, conspiracy, contractors, oil, allegations, 
damages, transportation, non-union, injunctive relief, owner-operators, restrain, relevant market, antitrust violation, 
treble damages, competitor, labels, harms, oil company, products, speculative, conspired, factors, prices, antitrust 
claim, district court, direct victim"
Case 9,"cases, governmental unit, anti trust law, district court, racketeering activity, fraudulent, returns, organized crime, 
treble damages, federal court, mail fraud, retailer, alleges, mailing, cause of action, state sales tax, state law, 
Clayton Act, enterprise"
Case 10,"plaintiffs', stock, shareholders, tender offer, press release, bad faith, telephone, defendants', forced sale, shares, 
interest payment, memoranda of law, circumstances, solicitation, injunction, financing, default, allegations, 
customers, securities fraud, negotiations, accelerated, liquidation, stockholder, sanctions, pursuing, reasons, 
leases, wire, summary judgment motion"
Case 11,"personal jurisdiction, transaction of business, venue, merchandise, contacts, long arm statute, tortious, sales, due 
process requirement, substantial revenue, allegations, principles, antitrust, prospective buyer, forum state, 
inhabitant, products"
Case 12,"subsidiary, conspiracy, monopolize, antitrust, anti trust law, gas pipeline, conspire, reserves, wholly owned 
subsidiary, Sherman Act, enterprise, customers, prices, contracts, commerce, advertisement, stock, curtailment, 
dividend, pipeline, shares, shareholders, intrastate, revocatory, consumers, affiliated, courts, cases, sales, restraint 
of trade"
Case 13,"suits, acquisition, contractor, prices, relevant market, concentration, antitrust, plant, sport coat, anticompetitive, 
distributor, manufacture, customers, garments, factory, decreased, clothing, license, bought, label, market share, 
monopolization, termination, estimate, effects, retail"
Case 14,"subsidiary, stations, Robinson-Patman Act, Sherman Act, purchaser, summary judgment, Clayton Act, Tire, 
purposes, plaintiffs', seller, wholly-owned, conspiracy, controlling test, antitrust, gasoline, entity, favored, lease, 
sales, wholly owned subsidiary, grant summary judgment, parent corporation, transfers, commerce, subsidiary 
corporation, enterprise, concerted, retailer"
Case 15,"discount, buyer, favored, damages, antitrust, differential, competitor, Robinson-Patman Act, lower price, new trial, 
plaintiffs', customers, price discrimination, overcharge, profits, estimate, sales, retail price, disfavored, automatic, 
substantial evidence, competitive injury, lost sales, stations, seller, Pricing, weight of the evidence, anti trust law, 
jury's verdict, undercharge"
Case 16,"Antitrust, summary judgment, local government, absolute immunity, antitrust claim, official action, official capacity, 
Subsidence, undertaken, adduced, Rights"
Case 17,"loans, Portfolio, leases, amended complaint, forbearance, alleges, motion to dismiss, finance, customer, banks, 
provisions, extend credit, recourse, anti-tying, subsidiary, antitrust, bank holding company, summary judgment, 
duress, cause of action, obligations, counts, additional credit, tied product, transactions, conditioned, partial, parties, 
courts, personal jurisdiction"
Case 18,"antitrust, anti trust law, wrongful discharge, conspiracy, discharged, unrelated, damages"
