Case Index,Core Terms
Case 1,"software, conspiracy, motion to dismiss, hardware, allegations, racketeering activity, antitrust claim, antitrust, 
asserts, purchase agreement, enterprise"
Case 2,"Counterclaim, patent, trademark, Sherman Act, alleges, antitrust, monopolize, restraint of trade, failure to state a 
claim, fraudulent procurement, relevant market, anti trust law, fraudulently, infringement, Monopolies, conspiracy, 
violates, generic"
Case 3,"subsidiary, sales, seller, distributorship, distributor, prices, appointment, buyer, price discrimination, no evidence, 
wholly-owned, contracting, heating, promise"
Case 4,"Contractor's, crude oil, oil, appeals, interlocutory appeal, district court, refined, Tract, transportation, allocated, 
largest, partial summary judgment, Memorandum, industrial, do business, percent, final judgment, state law, 
marketer, terms, oil company, producer, prices, principal's office, trade and commerce, subsidiary, petroleum, 
purchaser, products, force and effect"
Case 5,"airport, aircraft, air carrier, exemption, private right of action, legislative history, anti trust law, Terminal, airlines, 
violations, charges, travel, cases, state action doctrine, federal aviation, private remedy, municipality, intend, state 
action, state policy, regulation, Airway, air transportation, antitrust, tenant, private cause of action, air commerce, 
anticompetitive, facilities, fixed-base"
Case 6,"municipalities, water rights, abstention, antitrust, state policy, immunity, state action, summary judgment, 
articulated, interlocutory appeal, reconsideration, anti-competitive, inhabitants, purposes, cases, authorization, 
acquire, rights, water resources, water supply, state water, state law, regulation, resources, pendent, streams, 
argues, difference of opinion, district court, state court"
Case 7,"defendants', probation, interstate commerce, plaintiff's claim, Sherman Act, deprivation, patients, summary 
judgment motion, medical staff, termination, conspiracy, out-of-state, percent, staff, minutes, interstate, privileges, 
hospital district, emergency room, property interest, antitrust, attend, cases, fight, allegations, infringed, Ski, 
orthopedic surgeon, medical practice, summary judgment"
Case 8,"patients, district court, staff privileges, employment relationship, allegations, sua sponte, employment opportunity, 
interstate commerce, national origin, grounds, color, regulations, privileges, cases, exhaustion, opportunity to be 
heard, intended beneficiary, amended complaint, medical staff, suspension, notice, admit, failure to state a claim, 
private cause of action, interfered, remedies, argues, employment practice, civil rights, defendants'"
Case 9,"training, defendants', institutes, antitrust, summary judgment, Sherman Act, psychoanalysis, plaintiffs', monopolize, 
discovery, anti trust law, psychoanalysts, psychoanalytic, conspiracy, motive, accreditation, psychologists, 
practices, non-medical, referrals, cases, restraint of trade, co-conspirators, non-commercial, Feasibility, monopoly, 
genuine issue of material fact, injury in fact, probability, professions"
Case 10,"arbitration, pending arbitration, arbitration clause, distributorship, restraining, anti-trust, furniture, enjoin, preliminary 
injunction, compel arbitration, anti trust law, cross motion, distributing, appearing, questions, parties"
Case 11,"products, Antitrust, laws of the united states, federal court, distribute, federal question, antitrust claim, anti trust law, 
state court, interstate, removal, arising under the constitution, face of the complaint, cause of action, state grounds, 
do business, federal law, market area, excluding, counts, terms, Oil"
Case 12,"antitrust, damages, treble"
Case 13,"market power, summary judgment motion, summary judgment, slip opinion, antitrust, clearinghouse, memorandum, 
counterclaim, documents, package"
Case 14,"alleges, racketeering activity, conspiracy, securities fraud, mail fraud, defendants', enterprise, funds, predicate act, 
subsidiary, organized crime, racketeering, shareholders, intracorporate, conspire, mails, proxy, stock, pled"
Case 15,"Lease, Toys, restrictive covenant, shopping center, one-half, Sherman Act, Valentine Act, Landlord, real estate, 
Tenant, parties, retail, interstate commerce, covenant, parcel, injunctive relief, proposed sale, fact finding, 
predecessor, injunction, provisions, prices, real property, anticompetitive, supermarket, Deposition, geographic, 
enjoined, six-mile, markets"
Case 16,"dentists, Dental, participating, patients, counterclaim, dental services, third-party, programs, prices, associations, 
boycott, insurers, subscribers, practices, audit, no evidence, prepayment, anticompetitive, resignations, anti trust 
law, non-participating, departicipation, motivation, antitrust, charges, entity, reimbursement, prepaid, summary 
judgment, concerted"
Case 17,"sham, conspirators, duplication, antitrust, district court, needless, planning, genuine, planning activity, 
interrogatories, beds, affirmative defense, burden of proof, contends, rebuttal"
Case 18,"patent, alleges, unfair competition, invalid, infringement, lawsuits, Sherman Act, commencing, motion to dismiss, 
antitrust claim, display case, monopolization, antitrust, glass, sever"
Case 19,"league, network, antitrust, television, telecasts, games, rights, exemption, allegations, football, Broadcasting, 
contracts, pooled, professional football, anti trust law, merger, contends, Sports, team, amended complaint, 
franchise, conspiracy, matters, argues, legislative history, monopolization, final judgment, market power, 
attendance, competitor"
Case 20,"plaintiffs', defendants', allegations, summary judgment, anti trust law, stadium-related, leases, officiating, 
disparagement, stadium, stadia, league, antitrust, lend, anticompetitive conduct, amended complaint, relations, 
professional football, common law claim, Sherman Act, anticompetitive, contractual, petitioning, off-season, 
monopolize, campaign, immunity, pendent, terms, intentional interference"
Case 21,"predatory, variable, costs, pricing, Steel, summary judgment, district court, predation, customer, roll, straightening, 
roll-straightening, cases, majority opinion, burden of proof, marginal cost, pound"
Case 22,"treble damages, Institutions, allegations, pools, enterprise, antitrust, damages, mortgage, cases, assigned, 
Certificates, Insurers, injured party, trebling, mail, courts, one-satisfaction, racketeering, actual damage, tortfeasors, 
Interstate, conspiracy, settlement, indemnity, assignee, motion to dismiss, wire fraud, single-satisfaction, pattern of 
racketeering activity, anti trust law"
Case 23,"Coal, Plaintiffs', antitrust, allegations, mining, Defendants', conspiracy, STEEL, amended complaint, termination, 
Clayton Act, statute of limitations, coal mining, Sherman Act, fraudulent concealment, motion to dismiss, 
Contractors, four year, injunctive relief, anti trust law, violations, interrelationship, predicated, dispose, injuries, 
accrued, factors, Miners, antitrust violation, treble damages"
Case 24,"patent, settlement agreement, antitrust, anti trust law, counterclaim, settlement, bad faith, Sherman Act, 
infringement, monopoly, attorney's fees, invalid, procurement, monopolize, misrepresentations, contends, asserts, 
consent decree, parties, argues, specific intent, patentee, alleges, cases, award of attorney's fees, relevant market, 
patent law, courts, rights, partial summary judgment"
Case 25,"anticompetitive, state action, theaters, lease, municipality, regulation, powers, anti trust law, Clayton Act, 
foreseeable, state policy, articulated, private party, antitrust, immunity, anticompetitive conduct, designations, 
redevelopment, supervision, urban, effects, site, sovereign, land use, Sherman Act, UDC Act, authorization, 
monopoly, urban development, displace"
Case 26,"Conspiracy, franchise, allegations, plaintiffs', lawsuit, football, Stadium, team, defendants', antitrust, documents, 
introduce, racetrack, subpoena, subpoena duces tecum, exclude evidence, inadmissible, relocation"
Case 27,"tanks, personal jurisdiction, pendent, state claims, antitrust, customers, service of process, Clayton Act, 
Manufacturing, marketing, contacts, courts, cases, subject matter jurisdiction, due process, monopolization, 
minimum contact, federal claim, extraterritorial, sales, anti trust law, heating, argues, exercise jurisdiction, motion to 
dismiss, federal court, plumbing, damages"
Case 28,"tanks, personal jurisdiction, pendent, state claims, antitrust, customers, service of process, Clayton Act, 
Manufacturing, marketing, contacts, courts, cases, subject matter jurisdiction, due process, monopolization, 
minimum contact, federal claim, extraterritorial, sales, heating, argues, exercise jurisdiction, motion to dismiss, anti 
trust law, federal court, plumbing, damages"
Case 29,"Franchise, dealer, manufacturer, dealership, franchisee, vertical, motor vehicle, restrictions, Antitrust, relevant 
market, rule of reason, new dealer, termination, intrabrand, protest, franchisor, Sponsor's, consumer, public 
interest, marketing, retailers, products, customer service, establishment, relocation, decisions, ability to provide, anti 
trust law, market area, deterioration"
