Case Index,Core Terms
Case 1,"bowling, League, Robinson-Patman Act, tournament, summary judgment, discriminatory, terms, defendants', 
retirement, antitrust, parties, plaintiff's claim, customers, differing, reveals, balls, price discrimination, establishment, 
commodities, facilities, provisions, undisputed, discount, retail"
Case 2,"Food, scratched, products, supplier, competitors, injunction, delivery, customers, manufacturer, supermarket, 
conspiracy, brand, wholesaler, antitrust, supplies, merits, retail, injunctive relief, non-defendant, inferred, weekly, 
anti trust law, allegations, defendants', conditions, shortage, charges, reasons, orders, rice"
Case 3,"shoes, parties, retail dealer, conditions, antitrust, discovery, adhere, prices, retail, abide, terms, Sherman Act, 
manufacturer, nationwide, customers, violating, enjoined, markups, Coerce, hinder"
Case 4,"products, Brands, wine, distributor, franchise, Wholesale, antitrust, motive, manufacturer, monopoly, terminated, 
market area, anticompetitive, competitors, distribute, statewide, liquor, Sherman Act, fixing"
Case 5,"damages, Oil, counterclaims, summary judgment, terminated, amend, cases, anti trust law, antitrust, jobber, 
standing to bring, competitors, summary judgment motion, antitrust violation, stockholders, products, station"
Case 6,"damages, affirmative defense, antitrust, Reply, alleged conduct, alleged misconduct, unlawful conduct, alleged 
damages, first defense, asserting"
Case 7,"garments, patent, fabric, resin, manufacture, licensed, Press, polymerization, patent office, cure, crease, moisture, 
pleated, invention, temperature, textile, impregnated, heat, finished, trademark, drying, customers, invalid, prior art, 
references, royalties, oven, licensees, Column, lines"
Case 8,"advertising, damages, blanketing, newspapers, price discrimination, Sherman Act, circulation, antitrust, attorney's 
fees, Clayton Act, monopolize, grocery, attempt to monopolize"
Case 9,"settlement, district court, class action, settlement offer, approving, objectors, fee award, fraudulent concealment, 
attorney's fees, defendants', percent, subscribers, discovery, cases, treble damages, factors, prices, proposed 
settlement, claimants, merits, spent, settlement negotiations, evidentiary hearing, Appellants', competitors, 
negotiated, courts, potential recovery, antitrust, victory"
Case 10,"Deposit, banks, merger, acquisition, foothold, largest, acquiring, firms, guidelines, entrant, merging, cases, bank 
merger, commercial bank, final judgment, de novo, antitrust, decree, consent judgment, public interest, small bank, 
anti-competitive, competitors, proposed merger, Clayton Act, injunction, state-wide, intervene, markets, antitrust 
division"
