Case Index,Core Terms
Case 1,"monopoly power, electricity, monopoly, customers, monopolization, electric energy, leveraging, consumers, 
distribution system, antitrust, anti trust law, products, markets, outdoor, competitive advantage, street light, 
plaintiffs', cases, lighting system, installation, monopolist, purposes, energy, relevant market, constructing, courts, 
summary judgment, service area, Sherman Act, street"
Case 2,"distributorship, distributors, relevant market, counterclaim, manufacturer's, termination, geographic, sales, spark 
plug, rule of reason, cancellation, allowance, customers, special interrogatory, anticompetitive, instructions, 
warehouse, markets, trial judge, monopolize, submarket, products, plugs"
Case 3,"misrepresentations, defendants', counts, antitrust, racketeering activity, racketeering, churning, allegations, 
enterprise, trading, standing requirement, conspiracy, courts, motion to dismiss, organized crime, safe, sale of 
securities, margin account, provisions, cases"
Case 4,"ambulance service, ambulance, anti trust law, exemption, state action, EMS Act, emergency medical services, 
regulations, defendants', sovereignty, antitrust, immune, Sherman Act, municipal, displace, interstate commerce, 
dispatch, allegations, emergency, federal law, provisions, prong, governmental function, emergency call, 
coordinating, attributes, sovereign, integral, entity, impair"
Case 5,"Securities Act, enterprise, Exchange Act, plaintiffs', Square, allegations, pleadings, limited partnership, motion to 
dismiss, securities fraud, partnership, motions, certificate, courts, pattern of racketeering activity, cases, limited 
partnership interest, general partner, fiduciary duty, particularity, defendants', complaints, fiduciary, receiver, 
grounds, amend, subject matter jurisdiction, investment contract, injured person, joint venture"
Case 6,"commodities, cause of action, organized crime, consumer, alleges, plaintiff's claim, enterprise, practices, 
transactions, damages, private right of action, regulated, unfair, provisions, counts, statute of limitations, amended 
complaint, motion to dismiss, defendants', deceptive, courts, business practice, trading, exempt, opened, interstate 
commerce, securities exchange, alleged violation, futures trading, predicate act"
Case 7,"melamine, decree, termination, district court, consent decree, producers, intervene, public interest, laminates, 
products, parties, manufacture, monopoly, phase-out, vertical, Clayton Act, domestic, merchant, lessen competition, 
vertical merger, four corners, foreclosing, Anti-Trust, factors, merger, anticompetitive, quasi-judicial, integration, 
Chemicals, equitable"
Case 8,"intrabrand, territorial, restrictions, interbrand, dealer, vertical, distributors, manufacturer, sales, consumer, antitrust, 
products, damages, effects, platemakers, market power, termination, pro-competitive, customers, branch office, 
distributorship, distribution system, selling, assigned, profits, rule of reason, anticompetitive, retailers, graphic, 
supplies"
Case 9,"consent decree, decree, suits, practices, promoting, bind"
Case 10,"antitrust, Sherman Act, unfair labor practice, district court, allegations, doctrine of primary jurisdiction, antitrust 
claim, anti trust law, federal court, labor dispute, characterization, circumstances, installation, injunction, violations, 
restrain, matters, exempt, merits"
Case 11,"outside director, enterprise, treble damages, organized crime, racketeering, courts, tender offer, anti trust law, 
predicate act, Defendants', violations, racketeering activity, summary judgment motion, Securities Exchange Act, 
anti-trust, Corrupt, cases, pattern of racketeering activity, punitive damages, type of injury, no evidence, inside"
Case 12,"milk, third party, damages, antitrust claim, conspiracy, antitrust violation, summary judgment, anti trust law, 
Contractors, antitrust, non-fat, dry"
Case 13,"plaintiffs', allegations, lumber, antitrust, anti trust law, anticompetitive, defendants', summary judgment, 
extraterritorial, courts, merits, markets, assess, subject matter jurisdiction, multinational, outstanding, commerce, 
effects, entity, collection, parties, export, loans, court's jurisdiction, security interest, Sherman Act, inappropriate, 
frustrate, lack of subject matter jurisdiction, forum non conveniens"
Case 14,"base price, overcharges, antitrust, limitations period, overpriced, purchaser, gasoline, pricing, argues, accrued 
cause of action, memorandum opinion, cause of action, present case, indistinguishable, reconsideration, plaintiffs', 
regulations, indicates, invoice, lease, sales, terms"
