Page,Label,Text
2,*," Together with No. 77-1583, American Society of Composers, Authors and Publishers et al. v. Columbia Broadcasting System, 
Inc., et al., also on certiorari to the same court."
8,+," Briefs of amici curiae urging reversal were filed by Irwin Karp 
for the Authors League of America, Inc.; by Philip Elman and 
Robert M. Lichtman for the Performing Right Society, Ltd., et 
al.; and by Robert H. Bork for Aaron Copland et al. Briefs of amici curiae urging affirmance were filed by Ira M. 
Millstein for the All-Industry Television Music License 
Committee; by Clarence Fried for American Broadcasting 
Companies, Inc.; by David R. Hyde for National Broadcasting 
Company, Inc.; by John H. Midlen, Jr., for National Religious 
Broadcasters, Inc.; and by John L. Hill, Attorney General of 
Texas, David M. Kendall, First Assistant Attorney General, and 
Robert S. Bickerstaff and Susan Dasher, Assistant Attorneys 
General, for the Universities of the State of Texas et al.
 Irving Moskovitz filed a brief for the All-Industry Radio Music 
License Committee as amicus curiae.
"
8,1," The District Court certified the case as a defendant class 
action.  400 F.Supp. 737, 741 n. 2 (SDNY 1975)."
8,2," Id., at 771, quoting a CBS witness.  CBS is also a leading 
music publisher, with publishing subsidiaries affiliated with 
both ASCAP and BMI, and is the world's largest manufacturer 
and seller of records and tapes.  Ibid."
8,3," Act of Jan. 6, 1897, 29 Stat. 481."
9,8," The Court of Appeals affirmed the District Court's rejection of 
CBS's monopolization and tying contentions but did not rule on 
the District Court's conclusion that the blanket license was not 
an unreasonable restraint of trade.  See 562 F.2d 130, 132, 
135, 141 n. 29 (CA2 1977)."
9,9," At CBS's suggestion, the Court of Appeals held that the 
challenged conduct constituted misuse of copyrights solely on 
the basis of its finding of unlawful price fixing. Id., at 141 n. 29."
9,10," The Court of Appeals went on to suggest some guidelines 
as to remedy, indicating that despite its conclusion on liability 
the blanket license was not totally forbidden.  The Court of 
Appeals said: ""Normally, after a finding of price-fixing, the remedy is an 
injunction against the price-fixing -- in this case, the blanket 
license. We think, however, that if on remand a remedy can be 
fashioned which will ensure that the blanket license will not 
affect the price or negotiations for direct licenses, the blanket 
license need not be prohibited in all circumstances.  The 
blanket license is not simply a 'naked restraint' ineluctably 
doomed to extinction.  There is not enough evidence in the 
present record to compel a finding that the blanket license 
does not serve a market need for those who wish full 
protection against infringement suits or who, for some other 
business reason, deem the blanket license desirable.  The 
blanket license includes a practical covenant not to sue for 
infringement of any ASCAP copyright as well as an 
indemnification against suits by others.
 ""Our objection to the blanket license is that it reduces price 
competition among the members and provides a disinclination 
to compete.  We think that these objections may be removed if 
ASCAP itself is required to provide some form of per use 
licensing which will ensure competition among the individual 
members with respect to those networks which wish to engage 
in per use licensing."" Id., at 140 (footnotes omitted).
"
9,4," CBS was a leader of the broadcasters who formed BMI, but it 
disposed of all of its interest in the corporation in 1959.  400 
F.Supp., at 742."
9,5," Unless the context indicates otherwise, references to ASCAP 
alone in this opinion usually apply to BMI as well.  See n. 20, 
infra."
9,6, 15 U. S. C. §§ 1 and 2.
9,7," CBS seeks injunctive relief for the antitrust violations and a 
declaration of copyright misuse. 400 F.Supp., at 741."
10,13," CBS also complains that it pays a flat fee regardless of the 
amount of use it makes of ASCAP compositions and even 
though many of its programs contain little or no music. We are 
unable to see how that alone could make out an antitrust 
violation or misuse of copyrights: ""Sound business judgment could indicate that such payment 
represents the most convenient method of fixing the business 
value of the privileges granted by the licensing agreement. . . .  
Petitioner cannot complain because it must pay royalties 
whether it uses Hazeltine patents or not.  What it acquired by 
the agreement into which it entered was the privilege to use 
any or all of the patents and developments as it desired to use 
them."" Automatic Radio Mfg. Co. v. Hazeltine Research, Inc., 
339 U.S. 827, 834 (1950).
 See also Zenith Radio Corp. v. Hazeltine Research, Inc., 395 
U.S. 100 (1969).
"
10,14," Cf., e. g., United States v. McKesson & Robbins, Inc., 351 
U.S. 305 (1956) (manufacturer/wholesaler agreed with 
independent wholesalers on prices to be charged on products 
it manufactured); United States v. Socony-Vacuum Oil Co., 
310 U.S. 150 (1940) (firms controlling a substantial part of an 
industry agreed to purchase ""surplus"" gasoline with the intent 
and necessary effect of increasing the price); United States v. 
Trenton Potteries Co., 273 U.S. 392 (1927) (manufacturers 
and distributors of 82% of certain vitreous pottery fixtures 
agreed to sell at uniform prices)."
10,11," ""This principle of per se unreasonableness not only makes 
the type of restraints which are proscribed by the Sherman Act 
more certain to the benefit of everyone concerned, but it also 
avoids the necessity for an incredibly complicated and 
prolonged economic investigation into the entire history of the 
industry involved, as well as related industries, in an effort to 
determine at large whether a particular restraint has been 
unreasonable -- an inquiry so often wholly fruitless when 
undertaken."" Northern Pac. R. Co. v. United States, 356 U.S. 
1, 5 (1958). See Continental T. V., Inc. v. GTE Sylvania Inc., 433 U.S. 36, 
50 n. 16 (1977); United States v. Topco Associates, Inc., 405 
U.S. 596, 609 n. 10 (1972).
"
10,12," See cases discussed in n. 14, infra."
11,17," United States v. ASCAP, 1940-1943 Trade Cases para. 
56,104 (SDNY 1941)."
11,18," See Alden-Rochelle, Inc. v. ASCAP, 80 F.Supp. 888 (SDNY 
1948); M. Witmark & Sons v. Jenson, 80 F.Supp. 843 (Minn. 
1948), appeal dismissed sub nom.  M. Witmark & Sons v. 
Berger Amusement Co., 177 F.2d 515 (CA8 1949)."
11,19," United States v. ASCAP, 1950-1951 Trade Cases para. 
62,595 (SDNY 1950)."
11,20," BMI is in a similar situation.  The original decree against BMI 
is reported as United States v. BMI, 1940-1943 Trade Cases 
para. 56,096 (ED Wis. 1941). A new consent judgment was 
entered in 1966 following a monopolization complaint filed in 
1964.  United States v. BMI, 1966 Trade Cases para. 71,941 
(SDNY).  The ASCAP and BMI decrees do vary in some"
11,15," Cohn, Music, Radio Broadcasters and the Sherman Act, 29 
Geo. L. J. 407, 424 n. 91 (1941)."
11,16," E. g., complaint in United States v. ASCAP, Civ. No. 13-95 
(SDNY 1941), pp. 3-4."
12,," respects.  The BMI decree does not specify that BMI may only 
obtain nonexclusive rights from its affiliates or that the District 
Court may set the fee if the parties are unable to agree.  
Nonetheless, the parties stipulated, and the courts below 
accepted, that ""CBS could secure direct licenses from BMI 
affiliates with the same ease or difficulty, as the case may be, 
as from ASCAP members."" 400 F.Supp., at 745.
"
12,21," United States v. ASCAP (Application of Shenandoah Valley 
Broadcasting, Inc.), 208 F.Supp. 896 (SDNY 1962), aff'd, 331 
F.2d 117 (CA2), cert. denied, 377 U.S. 997 (1964); United 
States v. ASCAP (Application of National Broadcasting Co.), 
1971 Trade Cases para. 73,491 (SDNY 1970). See also 
United States v. ASCAP (Motion of Metromedia, Inc.), 341 
F.2d 1003 (CA2 1965)."
12,22," National Broadcasting Co. did, in 1971, request an annual 
blanket license for 2,217 specific ASCAP compositions most 
frequently used on its variety shows.  It intended to acquire the 
remaining rights to background and theme music through 
direct transactions by it and its program packagers.  See 
United States v. ASCAP (Application of National Broadcasting 
Co.), supra."
12,23," 1950-1951 Trade Cases para. 62,595, p. 63,756."
12,24," Cf. Continental T. V., Inc. v. GTE Sylvania Inc., 433 U.S., at 
50 n. 16. Moreover, unthinking application of the per se rule 
might upset the balancing of economic power and of 
procompetitive and anticompetitive effects presumably worked 
out in the decree."
13,25," See cases cited n. 18, supra.  Those cases involved 
licenses sold to individual movie theaters to ""perform"" 
compositions already on the motion pictures' soundtracks.  
ASCAP had barred its members from assigning performing 
rights to movie producers at the same time recording rights 
were licensed, and the theaters were effectively unable to 
engage in direct transactions for performing rights with 
individual copyright owners."
14,26," Certain individual television and radio stations, appearing 
here as amici curiae, argue that the per se rule should extend 
to ASCAP's blanket licenses with them as well.  The television 
stations have filed an antitrust suit to that effect.  Buffalo 
Broadcasting Co. v. ASCAP, 78 Civ. 5670 (SDNY, filed Nov. 
27, 1978)."
