Page ,Footnote
  24 ,"1  The corporate defendants are International Boxing Club of New York, Inc., International Boxing Club, and Madison Square The corporate defendants are International Boxing Club of New York, Inc., International Boxing Club, and Madison Square  Garden Corporation.  The individual defendants are James D. Norris and Arthur M. Wirtz.  The individual defendants, together  with Madison Square Garden Corporation, own 80% of the stock of International Boxing Club of New York, Inc., and  International Boxing Club.  The nature of the business involved is described in an appendix to this opinion."
  24 ,2  15 U. S. C. §§ 1 15 U. S. C. §§ 1  and  2 .  These sections provide:
  24 ,"3  The District Court's opinion was oral and not transcribed.  All the parties agree, however, that the dismissal was based on The District Court's opinion was oral and not transcribed.  All the parties agree, however, that the dismissal was based on  Federal Baseball  and  Toolson ."
  25 ,"4  The complaint further alleges that ""With the progressive and continuing expansion of television facilities, the proportion of the The complaint further alleges that ""With the progressive and continuing expansion of television facilities, the proportion of the  promoter's total revenue derived from television, radio and motion pictures, has been on an ascending curve . . . ."""
  26 ,"5  All three media are concededly engaged in interstate commerce. All three media are concededly engaged in interstate commerce.  E. g.,  Federal Radio Comm'n v. Nelson Bros. Co., 289 U.S.  266, 279  (radio);  Dumont Laboratories v. Carroll, 184 F.2d 153, 154  (C. A. 3d Cir.), cert. denied,  340 U.S. 929  (television);  United States v. Paramount Pictures, 334 U.S. 131  (motion pictures)."
  26 ,"6  Shall v. Henry, 211 F.2d 226 Shall v. Henry, 211 F.2d 226  (C. A. 7th Cir.), was decided subsequent to the decision below.  So also was  Peller  v.  International Boxing Club , unreported, Civil 52 C 813, April 23, 1954 (D. C. N. D. Ill.).  The unreported decision (D. C. N. D. Ill.)  which  Shall  v.  Henry  affirmed was decided prior to the decision below but after the filing of the Government's complaint."
  27 ,"7  H. R. 4229, 4230, 4231, and S. 1526, 82d Cong., 1st Sess.  These bills were introduced ""by friends of baseball because they H. R. 4229, 4230, 4231, and S. 1526, 82d Cong., 1st Sess.  These bills were introduced ""by friends of baseball because they  feared that the continued existence of organized baseball as America's national pastime was in substantial danger by the threat  of impending litigation."" H. R. Rep. No. 2002, 82d Cong., 2d Sess., p. 1."
  27 ,"8  The House hearings were stated to be on ""the problem of whether or not organized baseball should be exempted from the The House hearings were stated to be on ""the problem of whether or not organized baseball should be exempted from the  operation of the antitrust laws."" Hearings on ""Organized Baseball"" before the House Subcommittee on Study of Monopoly Power  of the Committee on the Judiciary, 82d Cong., 1st Sess., p. 1."
  27 ,"9  H. R. Rep. No. 2002 (entitled ""Organized Baseball""), 82d Cong., 2d Sess., p. 230.  Between the hearings and the report, the H. R. Rep. No. 2002 (entitled ""Organized Baseball""), 82d Cong., 2d Sess., p. 230.  Between the hearings and the report, the  Subcommittee on Study of Monopoly Power was reconstituted as the Antitrust Subcommittee.  The report was submitted directly  to the full House pursuant to H. Res. 95, 82d Cong., 1st Sess."
  27 ,"10  Id., at 134-136, 231-232 Id., at 134-136, 231-232 ."
  29 ,"*  This opinion is concerned only with the sport as such, and not with the arrangements by which mass media show or report This opinion is concerned only with the sport as such, and not with the arrangements by which mass media show or report  bouts. Such arrangements clearly are beyond the scope of the  Toolson  case,  infra ."
  40 ,1  15 U. S. C. § 1 et seq. 15 U. S. C. § 1 et seq.
  40 ,"2  Ezzard Charles, Joe Walcott, Lee Savold, and Gus Lesnevich. Ezzard Charles, Joe Walcott, Lee Savold, and Gus Lesnevich."
  40 ,"3  The importance of Madison Square Garden in the present context is shown by the fact that of all the championship contests The importance of Madison Square Garden in the present context is shown by the fact that of all the championship contests  staged during the 12 years immediately preceding 1949, 45% were held in New York City, of which 75% were in Madison "
  41 ,"4  Between 1937 and 1948, 50% of all championship contests were staged in either Madison Square Garden, Yankee Stadium, Between 1937 and 1948, 50% of all championship contests were staged in either Madison Square Garden, Yankee Stadium,  the Polo Grounds, St. Nicholas Arena, Chicago Stadium, Detroit Olympia Arena, or the St. Louis Arena."
  41 ,"5  At the time the I. B. C.'s were formed, Joe Louis owned 20% of the stock of each and the other 80% was split evenly between At the time the I. B. C.'s were formed, Joe Louis owned 20% of the stock of each and the other 80% was split evenly between  Norris and Wirtz on one hand and Madison Square Garden on the other.  At some point thereafter, Louis ceased to be a  stockholder and his share was split evenly between Norris-Wirtz and Madison Square Garden.  At the time of the final decree,  apparently as the result of an effort to make a showing of separateness of control, the Norris-Wirtz interests owned all of the  stock in I. B. C., Illinois, and Madison Square Garden owned all of the stock in I. B. C., New York.  The trial court found that the  two interests nevertheless still shared equally in the combined profits of both I. B. C.'s."
  42 ,"6  According to the District Court, the ""Nielsen Average Audience rating is a percentage which purports to show the number of According to the District Court, the ""Nielsen Average Audience rating is a percentage which purports to show the number of  residential television sets that were tuned in to the program expressed as a percentage of the total residential television sets,  whether turned off or on, which were in areas into which the program was telecast."""
  43 ,"7  Approximately 25% of the revenue produced by the appellants' championship fights during the period covered by the complaint Approximately 25% of the revenue produced by the appellants' championship fights during the period covered by the complaint  was derived through the sale of radio, television and motion picture rights."
  43 ,"8  By analogy, it bears those sufficiently ""peculiar characteristics"" found in automobile fabrics and finishes such as to bring them By analogy, it bears those sufficiently ""peculiar characteristics"" found in automobile fabrics and finishes such as to bring them  within the Clayton Act's ""line of commerce.""   United States  v.  du  Pont & Co., 353 U.S. 586, 593-595 (1957) ."
