Page,Label,Text
22,1," ""Unfair methods of competition in commerce and unfair or deceptive acts or practices in commerce are hereby declared 
unlawful."" Federal Trade Commission Act, § 5(a)(1), 66 Stat. 632; 15 USC § 45(a)(1)."
22,2," Since World War II, service stations have become increasingly important as TBA outlets. Their large number, the convenient 
location of the usual station, the availability of TBA for immediate installation at a station, and the possibility of the ""single stop"" 
at one station for all automotive needs contribute to the still rising importance of gasoline service stations as market outlets for 
TBA.  Shell's evidence indicates that in 1958 about 45 per cent of all TBA was sold through service stations, a figure 
representing an estimated increase of 14 per cent in ten years.  Shell estimates that in 1955 about 50 per cent of the sales of 
replacement tires was made through service stations. "
23,3," Shell receives 10 per cent of the gross sales made by Firestone to Shell dealers and 7 1/2 per cent of the gross sales to Shell 
jobbers. To simplify bookkeeping, each Shell dealer is assigned to a specific Firestone wholesale ""supply point "".  Since Shell 
sells no TBA itself, the Commission accurately, if pejoratively, terms these payments an ""override "". There is a spirited difference between the parties as to whether the commission represents compensatory payments or a 
windfall.  One ancient intra-company letter dating from 1947 suggests that the payments were ""almost all net profit "".  In 1956 
Shell received about $3.6 million in commissions from Firestone and Goodyear.  If indeed this sum represented ""almost all net 
profit"" it was a healthy profit for a company that allegedly entered the TBA jungle only to insure its market position in the sale of 
gasoline and other petroleum products.  However, uncontradicted evidence of Shell's promotional costs in 1956 demonstrates 
that the commission payments were no windfall.  Shell's promotional activities in 1956 cost $3.2 million, leaving it with a mere 
$400,000 profit from TBA, a negligible sum considering the magnitude of its petroleum enterprises.  Shell estimated the costs as 
follows: Credit costs from the use of credit cards and deferred payment plan $ 500,000 Maintenance, repairs, and depreciation on displays and promotional equipment"
23,600," ,000 Promotion and advertising"
23,2," ,225,000 Total $ 3,325,000 Strangely, this accounting does not even include the cost of personnel involved in TBA promotion. This cost was estimated at 
$1,875,000 for 1956 and would have raised Shell's TBA costs to $5,260,000, or $1,600,000 in excess of its commission 
revenue.  There is of course no way of knowing in dollar and cents the extent to which Shell's TBA program promoted its sales of 
gasoline. Shell was satisfied with its program; at any rate, it preferred that program to any other."
23,4," In order to offer a sales commission plan, a tire manufacturer must be able to offer a complete line of TBA to its service station 
customers; those items which it does not manufacture must be purchased and stocked (usually under its own private brand 
name).  Furthermore, the company must have distributive facilities at least as widespread as are the dealers of its customers. "
24,," This means a national distribution system.  Only four, possibly three, tire manufacturers (Goodyear, Firestone, Goodrich, and, 
possibly, U.S. Rubber) satisfy these requisites.  They are dominant in the area of sales commission plans.  But the smaller 
companies, as well as the giants, may participate in purchase-resale plans whereby the oil companies assemble their own TBA 
package.  Most of the tire manufacturers, and here Firestone is a notable exception, do in fact participate to some extent in 
purchase-resale programs. The gasoline market is a rough-tough competitive struggle pitting a few giants struggling against each other and against a large 
number of pigmy producers.  In this context the purchase-resale and the sales commission programs work in opposite 
directions.  To enter into a purchase-resale program, an oil company must have resources large enough to finance an extensive 
TBA inventory.  It must also have sales and distributive facilities for marketing these products.  And, of course, the oil company 
must have an established reputation for quality, if it seeks to market TBA under a private label.  As a result, the small companies 
prefer the less burdensome sales commission plans; the giants, notably Standard Oil, are capable of purchasing and reselling a 
complete line of TBA under their own brand names.  In Atlantic the Supreme Court expressly refrained from passing on the 
merits of the purchase-resale plan. The amicus curiae brief of Champlin Oil & Refining Co. (concurred in by Ashland Oil & Refining Company, Continental Oil 
Company, Jenney Manufacturing Company, Inc., Leonard Refineries, Inc., Shell Oil Company, South Penn Oil Company, and 
Sunray D-X Oil Company) makes the point that ""virtually every marketing oil company in the United States provides a TBA 
program for the benefit of its marketing outlets "".  Champlin and other small or relatively small companies use the sales 
commission plan because it enables them to provide the necessary TBA program without having to invest in a large TBA 
inventory.  Champlin avows that a per se approach to the problem will force it to use the purchase-resale system, make 
unnecessary demands on its capital, and place it at a disadvantage in competing with large oil companies having a nationwide 
system of distribution."
24,5," The examiner found as to Shell: ""No inference or implication can be drawn simply from the contractual relationship between 
Shell and its dealers that the degree of control by Shell over its dealers is sufficient to force dealers to purchase only sponsored 
TBA."""
24,6," The examiner found that there was ""no evidence"" that Firestone ""participated"" in any coercive practices.  But as to Shell: ""Shell 
representatives . . . did . . . force Shell dealers to purchase substantial quantities of Goodyear and Firestone TBA . . . [by] 
demands that dealers discontinue the purchase or display of non-sponsored TBA under threat of lease cancellation or other 
corrective action."""
24,7," Courts have looked with disfavor on arrangements by oil companies to sponsor TBA, but until Atlantic-Goodyear no court had 
gone further than to enjoin overt coercive acts.   Osborn v. Sinclair Refining Co., 4 Cir. 1960, 286 F.2d 832, cert. denied, 1961,  
366 U.S. 963, 81 S. Ct. 1924, 6 L. Ed. 2d 1255;  United States v. Sun Oil Co., E.D. Pa. 1959, 176 F. Supp. 715. But see  
Simpson v. Union Oil Co., 1964, 377 U.S. 13, 12 L. Ed. 2d 98, 84 S. Ct. 1051 and  Broussard v. Socony Mobil Oil Company, 5 
Cir. 1965, 350 F.2d 346 viewing the dealer-oil company relationship as inherently coercive. See also Note,  63 Mich. L. Rev. 713 
(1965). "
