Page,Label,Text
79,1, 65 F.2d 336.
79,2," HN1[
] Act of October 15, 1914, c. 323, § 7, 38 Stat. 731; U. S. C. Title 15, § 18.  The relevant paragraph is as follows: ""No corporation shall acquire, directly or indirectly, the whole or any part of the stock or other share capital of two or more 
corporations engaged in commerce where the effect of such acquisition, or the use of such stock by the voting or granting of 
proxies or otherwise, may be to substantially lessen competition between such corporations, or any of them, whose stock or 
other share capital is so acquired, or to restrain such commerce in any section or community, or tend to create a monopoly of 
any line of commerce."" "
81,3," U. S. C., Title 15, § 21. "
135,1,"  Sherman Act (July 2, 1890, c. The Puerto Rico Act of March"
135,647," , 26 Stat. 209):"
135,14," , 1907 (Laws 1907, p. 328): ""Sec. 3. Every contract, com- ""Section 1. Every contract, bination in form of trust or other- combination in the form of trust wise, or conspiracy, in restraint of or otherwise, or conspiracy, in re- trade or commerce in any Terri- straint of trade, commerce, busi- tory of the United States or of ness transactions, and lawful and the District of Columbia, or in free competition in a town, or restraint of trade or commerce among the several towns of between any such Territory and "
136,," Puerto Rico is hereby declared another, or between any such to be illegal.  Every person who Territory or Territories and any shall make any such contract or State or States or the District of engage in any such conspiracy, Columbia, or with foreign na- shall be deemed guilty of a mis- tions, or between the District of demeanor, and, on conviction Columbia and any State or States thereof, shall be punished by fine or foreign nations, is hereby de- not exceeding five thousand dol- clared illegal.  Every person who lars, or by imprisonment not ex- shall make any such contract or ceeding one year, or by both such engage in any such combination punishments in the discretion of or conspiracy, shall be deemed the court. guilty of a misdemeanor, and, on .  .  . conviction thereof, shall be pun- ished by fine not exceeding $ 5,000 or by imprisonment not exceeding one year, or by both said pun- ishments, in the discretion of the court. ""Section 3. The district courts of the island are hereby vested ""Sec. 4. The several district with jurisdiction to prevent, pro- courts of the United States are hibit, enjoin and punish violations "
137,," hereby invested with jurisdiction of this law; and it shall be the to prevent and restrain violations duty of the attorneys of the dis- of this act; and it shall be the trict courts of the island to insti- duty of the several district attor- tute proceedings of injunction or neys of the United States, in their any other civil proceeding to pre- respective districts, under the di- vent, prohibit, enjoin, and re- rection of the Attorney-General, strain such violations. . . ."" to institute proceedings in equity to prevent and restrain such vio- lations. . . ."" By § 24 (2) of the Judicial"
137,28," U. S. C. § 41Code, (2), the district courts of the United States are given jurisdiction -- ""Of all crimes and offenses cognizable under the authority of the United States."" "
138,, 
141,2," The Fifth Amendment to the Constitution provides, ""nor shall any person be subject for the same offence to be twice put in 
jeopardy of life or limb."" Section 2 (the Bill of Rights) of the Puerto Rico Organic Act of 1917, 39 Stat. 951, provides that ""no 
person for the same offense shall be twice put in jeopardy of punishment."""
141,3," ""All crimes not capital . . . which officers and soldiers may be guilty of . . . are to be taken cognizance of by a general . . . court-
[martial], . . . and punished at the discretion of such court."" "
202,*, NOTE: Throughout this opinion all citations of trial minutes refer to the typewritten transcript. 
384,*, No separate classification of these items in the years indicated. 
385,*," The indicated sales includes sales made for the account of the other parties to the Zurich Agreement; the elimination of sales 
for the account of others would result in a corresponding increase in the percentage of sales in all other markets (Aluminium 
interrogatory 166). "
395,*, The 1930 balance sheet is not in evidence against Alcoa. 
408,*, Half of total imports 1931. 
414,*," Whether the profit for 1934 should be 22/100th or 23/100th of a cent depends upon a choice between two fractional 
thousandths of a cent in making the computation; 22/100th would disregard a slightly smaller fraction. "
415,**," So stated in subdivision (q) of Alcoa's answer to interrogatory 351, though erroneously taken from there in Ex. 718 as 1.23.  
Unless in column B of Ex. 718 the direct subsidiaries' profit for 1936 be taken as 1.28, the figure of 8.74 in column D of the 
exhibit for 1936 would not result from computation in conformity with the method therefor prescribed in the heading of that 
column. "
428,*," $27,000 called ""capital"" was borrowed and paid off out of earnings (minutes, pp. 28419-22); but due to uncertainty as to 
whether stock was issued for it, it is omitted from the table. "
460,1," 72 App.D.C. 12, 110 F.2d 703, certiorari denied 310 U.S. 644, 60 S.Ct. 1096, 84 L.Ed. 1411."
460,2," 310 U.S. 469, 60 S.Ct. 982, 84 L.Ed. 1311, 128 A.L.R. 1044."
460,3," 310 U.S. 469, 480, 60 S.Ct. 982, 985, 84 L.Ed. 1311, 128 A.L.R. 1044."
460,4," Apex Hosiery Co. v. Leader, 310 U.S. 469, 484, 60 S.Ct. 982, 987, 84 L.Ed. 1311, 128 A.L.R. 1044: ""Cessation of petitioner's 
manufacturing operations, which respondents compelled, indubitably meant the cessation of shipment interstate.  The effect 
upon the commerce resulted naturally and inevitably from the cause.  The occupancy of petitioner's factory by the strikers 
prevented the shipment of the substantial amount of merchandise on hand when the strike was called.  In point of the immediacy 
of the effect of the strikers' acts upon the interstate transportation involved and of its volume, the case does not differ from many 
others in which we have sustained the Congressional exercise of the commerce power."" "
461,5," Apex Hosiery Co. v. Leader, 310 U.S. 469, 487, 490, 60 S.Ct. 982, 988, 84 L.Ed. 1311, 128 A.L.R. 1044: "" * * * the question to 
which we must address ourselves is whether a conspiracy of strikers in a labor dispute to stop the operation of the employer's 
factory in order to enforce their demands against the employer is the kind of restraint of trade or commerce at which the Act is 
aimed * * * .  Since in the present case, as we have seen, the natural and predictable consequence of the strike was the restraint 
of interstate transportation the precise question which we are called upon to decide is whether that restraint resulting from the 
strike maintained to enforce union demands by compelling a shutdown of petitioner's factory is the kind of 'restraint of trade or 
commerce' which the Act condemns."""
461,6," Apex Hosiery Co. v. Leader, 310 U.S. 469, 497, 498, 60 S.Ct. 982, 84 L.Ed. 1311, 128 A.L.R. 1044."
461,7," Apex Hosiery Co. v. Leader, 310 U.S. 469, 486, 491, 60 S.Ct. 982, 84 L.Ed. 1311, 128 A.L.R. 1044."
461,8," Id., 310 U.S. at page 489, 60 S.Ct. 982, 84 L.Ed. 1311, 128 A.L.R. 1044."
461,9, Ibid.
461,10," Id., 310 U.S. at page 493, 60 S.Ct. at page 992, 84 L.Ed. 1311, 128 A.L.R. 1044."
461,11, Ibid. and see note 15.
461,12," Apex Hosiery Co. v. Leader, 310 U.S. 469, 500, 501, 60 S.Ct. 982, 996, 84 L.Ed. 1311, 128 A.L.R. 1044."
461,13," United States v. American Medical Association, 72 App.D.C. 12, 20, 110 F.2d 703, 711, certiorari denied 310 U.S. 644, 60 
S.Ct. 1096, 84 L.Ed. 1411."
461,14," Id., 72 App.D.C. at pages 20, 21, 110 F.2d at pages 711, 712. "
462,15," Nonprofit cooperative associations have been held to be ""doing business"" in a variety of situations.  For purposes of taxation: 
Maryland & Virginia Milk Producers' Ass'n Inc., v. District of Columbia, 73 App.D.C. 399, 119 F.2d 787, certiorari denied 314 
U.S. 646, 62 S.Ct. 87, 86 L.Ed.    ; Hazen v. National Rifle Ass'n 69 App.D.C. 339, 347, 101 F.2d 432, 440; Memphis Chamber 
of Commerce v. City of Memphis, 144 Tenn. 291, 296, 297, 232 S.W. 73, 74; Sears, Roebuck & Co. Employees' Savings & 
Profit-Sharing Pension Fund v. Commissioner of Internal Revenue, 7 Cir., 45 F.2d 506, 509. For purposes of qualifying to do 
business under the corporation laws of a foreign state: Ku Klux Klan v. Commonwealth ex rel. State Corporation Commission, 
138 Va. 500, 509, 122 S.E. 122, 125; State ex rel. Griffith v. Knights of Ku Klux Klan, 117 Kan. 564, 572, 573, 232 P. 254, 258, 
37 A.L.R. 1267; 17 Fletcher Cyc. Corp. (Perm. Ed.) § 8467.  For purposes of compliance with legislation regulating corrupt 
political practices: La Belle v. Hennepin County Bar Ass'n, 206 Minn. 290, 294, 288 N.W. 788, 790, 125 A.L.R. 1023. For 
purposes of service of process on agents: Pacific Typesetting Co. v. International Typographical Union, 125 Wash. 273, 277, 
216 P. 358, 360, 32 A.L.R. 767. Cf.  Roman Catholic Archbishop v. Industrial Accident Commission, 194 Cal. 660, 670, 671, 230 
P. 1, 5 (religious corporation sole held sufficiently engaged ""in trade or business"" to warrant application of Workmen's 
Compensation Law); Gardner v. Trustees of Main Street M.E. Church, 217 Iowa 1390, 1395, 250 N.W. 740, 745, 746, 
superseding opinion in 244 N.W. 667, 668; Note, 18 Iowa L. Rev. 557."
462,16," Hazen v. National Rifle Ass'n, 69 App.D.C. 339, 345, 101 F.2d 432, 438, and authorities there cited."
462,17," D.C., 24 F.Supp. 445, 446."
462,18," Virginia Iron, Coal & Coke Co. v. Odle's Adm'r, 128 Va. 280, 305, 105 S.E. 107, 115; McCord, The Economics of Industrial 
Medicine, Proceedings of the Annual Congress on Medical Education, Medical Licensure and Hospitals (1932) 83; Leland, 
Contract Practice, Id. at 75, 81: ""That there are many conditions under which contract practice is not only legitimate and ethical, 
but in fact the only way in which competent medical service can be provided, becomes evident on analysis.  For instance, when 
large numbers of workmen are employed remote from urban centers, as in some mining or logging camps, efficient medical 
service can be secured only by contracting with some competent physician to do the work.  Certain industrial situations arise 
wherein large employers of labor are compelled by law to provide medical services for their employees under certain conditions, 
and this at times can be secured only by some form of contract.""; Laufer, Ethical and Legal Restrictions on Contract and 
Corporate Practice of Medicine, 6 Law and Contemp.Prob. 516, 524-527; Note, 48 Yale L.J. 346, 349. Similar questions have arisen in connection with other professions. For a general discussion see Note, 44 Harv.L.Rev. 1114. As 
applied to practice of law see Merrick v. American Security & Trust Co., 71 App.D.C. 72, 77, 107 F.2d 271, 276, certiorari denied 
308 U.S. 625, 60 S.Ct. 380, 84 L.Ed. 521; 6 Fletcher Cyc. Corp. (Perm.Ed.) § 2524; 5 Law and Contemp. Prob. No. 1 (pp. 1-
174). "
463,19," Pearl v. West End St. Ry. Co., 176 Mass. 177, 179, 57 N.E. 339, 49 L.R.A. 826, 79 Am.St.Rep. 302."
463,20," 53 Stat. (Part I) 12, 26 U.S.C.A.  Int. Rev. Code, § 23(a)(1); Corning Glass Works v. Lucas, 59 App.D.C. 168, 170, 171, 37 
F.2d 798, 800, 801, 68 A.L.R. 736, certiorari denied 281 U.S. 742, 50 S.Ct. 348, 74 L.Ed. 1155; Elm City Cotton Mills v. 
Commissioner of Internal Revenue, 5 B.T.A. 309, 312; 1 Montgomery, Federal Tax Handbood (1940) 417."
463,21," Private hospitals, suppported by appropriations and charity, held not an industry, and its employees not engaged in ""industry, 
trade, craft or occupation"" within the meaning of Anti-Injunction Act, 43 P.S.Pa.  § 206a et seq.  Western Pennsylvania Hospital 
v. Lichliter, 340 Pa. 382, 387, 17 A.2d 206, 209, 132 A.L.R. 1146. A charitable home for girls held not a ""business, trade, or 
industry"" within legitimate operation of power to make city zoning laws.  City of Rochester v. Rochester Girls' Home, Sup., 194 
N.Y.S. 236, 237.A charitable home for the aged not a business within the sense of a restrictive covenant.  Easterbrook v. 
Hebrew Ladies' Orphan Society, 85 Conn. 289, 298, 82 a. 561, 564; Note, 41 L.R.A., N.S., 615.  A municipal ordinance 
declaring hospitals for profit to be nuisances does not discriminate in favor of charitable hospitals, as the distinction is 
reasonable.  The former are and the latter are not ""businesses."" Lawrence v. Nissen, 173 N.C. 359, 364, 91 S.E. 1036, 1038."
463,22," In Jordan v. Tashiro, 278 U.S. 123, 127-129, 49 S.Ct. 47, 48, 73 L.Ed. 214, it was held that operation of a hospital was 
included within the meaning of the words ""trade"" and ""commerce"" as used in a treaty authorizing Japanese subjects in the 
United States ""to carry on trade"" and to ""do anything incident to or necessary for trade upon the same terms as native citizens or 
subjects * * * ."" Cf.  Lawrence v. Nissen, 173 N.C. 359, 364, 91 S.E. 1036, 1038: ""The establishment and conduct of hospitals for 
pay is now a recognized and established business."" In Armendarez v. Hotel Dieu, Tex. Civ. App., 145 S.W. 1030, 1031, it was 
held that in so far as a hospital accepted paying patients for the purpose of obtaining revenue to carry on its charitable work, it 
was carring on a business."
