Page,Label,Text
27,1," In the electrostatic process, the surface of the original (the document or other object to be copied) is exposed to light and 
reflected onto an electrically charged surface.  Xerox copy machines, using the ""indirect"" process, reflect the light from the 
original onto an electrically charged drum, where the image is formed by brushing with a powder toner.  This image is then 
transferred to copy paper, which may be ordinary bond paper. All other electrostatic copiers use the ""direct"" copying process, in which light is reflected from the original onto a special coated 
copy paper which has been electrically charged.  The visible image is formed on the coated paper by a liquid ""toner,"" and the 
copy is dried in the machines. This process requires the use of special copy paper. "
28,2," HN3[
] Section 3 of the Clayton Act, 15 U.S.C. § 14, provides: It shall be unlawful for any person engaged in commerce, in the course of such commerce, to lease or make a sale or 
contract for sale of goods, wares, merchandise, machinery, supplies, or other commodities * * * on the condition, 
agreement or understanding that the lessee or purchaser thereof shall not use or deal in the goods * * * of a competitor or 
competitors of the lessor or seller, where the effect of such lease, sale or contract for sale or such condition, agreement, or 
understanding may be to substantially lessen competition or tend to create a monopoly in any line of commerce.  Although the literal terms of section 3 refer to exclusive dealing contracts, it has been interpreted as applying to tying conditions, 
which "" operates in the manner forbidden by the statute."" International Business Machines v. United States, 298 U.S. 131, 135, 
80 L. Ed. 1085, 56 S. Ct. 701 (1936). "
29,3," HN5[
] Section 1 of the Sherman Act prohibits ""every contract, combination in the form of trust or otherwise, or conspiracy, in restraint of trade or commerce,"" but the statute has been construed as proscribing only those restraints on trade which are 
""undue"" or ""unreasonable."" Standard Oil of New Jersey v. United States, 221 U.S. 1, 55 L. Ed. 619, 31 S. Ct. 502 (1911)."
29,4," With respect to the Model 55 tying arrangement, the District Court considered only antitrust violations occurring after March 1, 
1967, since ""plaintiff has not proved any damage to it with respect to any Model 55 prior to March 1967."" "
30,5," A still more recent expression of the Court's keen concern with the public interest attaching to private antitrust litigation is Utah 
Public Service Comm'n v. El Paso Natural Gas Co., et al., 395 U.S. 464, 89 S. Ct. 1860, 23 L. Ed. 2d 474, 37 U.S.L.W. 4575 
(1969)."
30,6," HN9[
] Section 4 of the Clayton Act, 15 U.S.C. § 15, provides "
31,," Any person who shall be injured in his business or property by reason of anything forbidden in the antitrust laws may sue 
therefor in any district court * * * Section HN10[
] 16 of the Act, 15 U.S.C. § 26, provides Any person, firm or corporation, or association shall be entitled to sue for and have injunctive relief * * * against threatened 
loss or damage by a violation of the antitrust laws * * * "
32,7," With regard to both the rental agreements and the service maintenance contracts, the District Court's finding that a substantial 
amount of commerce is affected is not questioned by the defendant and is amply supported by the record. "
34,8," See Fortner Enterprises, Inc. v. United States Steel Corp., 394 U.S. 495, 521, 22 L. Ed. 2d 495, 89 S. Ct. 1252 (1969) (Fortas, 
J., dissenting): But Northern Pacific, in effect, applied the same standards to tying arrangements under the Sherman Act as under the 
Clayton Act, on the theory that the anticompetitive effect of a tie-in was such as to make the difference in language in the 
two statutes immaterial. And see Northern Pacific Ry. v. United States, 356 U.S. 1, 7-8, 2 L. Ed. 2d 545, 78 S. Ct. 514 (1958); Lessig v. Tidewater Oil 
Co., 327 F.2d 459, 470 (9th Cir. 1964); American Bar Ass'n, Antitrust Developments 1955-68 at 107 (1968); M. Handler, Recent 
Antitrust Developments, 13 The Record 417, 420 (1958) (The Association of the Bar of the City of New York); D. Turner, The 
Validity of Tying Arrangements Under the Antitrust Laws, 72 Harv. L. Rev. 50, 64 (1958); Note, 74 Yale L. J. 691, 693 (1965)."
34,9," Justice White's dissent explicitly declares what is implicit in the majority opinion when he challenges the Court's holding that 
""buyers' acceptance of the tie-in -- the simple fact that there are customers -- will always suffice to prove market power in the 
tying product."" 394 U.S. at 518. "
35,10," In the Fortner case, prefabricated houses supplied by United States Steel Corporation were tied to loans made by its wholly- 
owned subsidiary, the U.S. Steel Homes Credit Corporation.  Discussing the seller's power over credit, the tying product, the 
Court noted that the houses cost the buyer more than the going market rate, a disadvantage suggesting some special economic 
power in the seller. The Court also referred to the seller's unique financing offer, amounting to 100% of the purchase price of the 
land to be acquired, offered at low interest.  To the Court, these facts suggested the seller's ""unique economic advantages over 
his competitors."" 394 U.S. at 505."
35,11," HN21[
] Tying arrangements may be legitimate in order to preserve good will when the seller's tying product works 
satisfactorily only in conjunction with another product made by the seller, or to protect a new business.  Good will: Dehydrating 
Process Co. v. A. O. Smith Corp., 292 F.2d 653 (1st Cir. 1961), cert. denied, 368 U.S. 931, 7 L. Ed. 2d 194, 82 S. Ct. 368 
(1961); Standard Oil Co. of California v. United States, 337 U.S. 293, 306, 93 L. Ed. 1371, 69 S. Ct. 1051 (1949). New business: 
United States v. Jerrold Electronics Corp., 187 F. Supp. 545 (E.D. Pa. 1960), aff'd per curiam, 365 U.S. 567, 81 S. Ct. 755, 5 L. 
Ed. 2d 806 (1961); White Motor Co. v. United States, 372 U.S. 253, 263, 9 L. Ed. 2d 738, 83 S. Ct. 696 (1963)."
35,12," HN23[
] Once the existence of a successful tie-in is shown, the defendant has the burden of showing a legitimate business 
reason for imposing the condition.  United States v. Jerrold Electronics Corp., 187 F. Supp. 545, 548 (E.D. Pa. 1960), aff'd per 
curiam, 365 U.S. 567, 81 S. Ct. 755, 5 L. Ed. 2d 806 (1961); Comment, 62 Mich. L. Rev. 1413, 1422 (1964); see Northern 
Pacific Ry. v. United States, 356 U.S. 1, 8, 2 L. Ed. 2d 545, 78 S. Ct. 514 (1958). "
36,13," The District Court found that approximately 25% of SCM machine owners and lessees in the Baltimore area had entered into 
service maintenance contracts imposing the tying condition. "
78,1," The question arose in a number of cases prior to Minnesota Mining, and the lower courts reached conflicting decisions.  See 
Farmington Dowel Prods. Co. v. Forster Mfg. Co., 223 F. Supp. 967 (D. Me. 1963); Volasco Prods. Co. v. Fry Roofing Co., 223 
F. Supp. 712 (E.D. Tenn. 1963); Highland Supply Corp. v. Reynolds Metals Co., 221 F. Supp. 15 (E.D. Mo. 1963); New Jersey 
Wood Finishing Co. v. Minnesota Mining & Mfg. Co., 216 F. Supp. 507 (D.N.J. 1963)."
78,2," Section 5 of the Clayton Act contains not only the tolling provision but also a provision dealing with the use of Government 
judgments as prima facie evidence in related private treble damage actions.  This provision by its terms applies ""to all matters 
respecting which [the Government judgment] would be an estoppel as between the parties thereto."" 15 U.S.C. § 16(a) (1964). The major part of the defendant's argument in Minnesota Mining was based on the assumption that the two provisions in section 
5 are co-extensive - that is, if one encompasses FTC proceedings them the other must also.  From this assumption, the 
defendant argued that findings in FTC proceedings could not be used as prima facie evidence in private treble damage actions 
and thus could not have tolling effect.  The Supreme Court found, however, that the two provisions are not co-extensive and 
stated that if FTC findings could not be used as prima facie evidence, this does not mean that an FTC proceeding could not 
have tolling effect."
78,3," The lower court decisions treating the issue prior to Minnesota Mining discussed the statutory wording extensively.  See, e.g.  
Farmington Dowel Prods. Co. v. Forster Mfg. Co., 223 F. Supp. 967 (D. Me. 1963). "
80,4," See Leh v. General Petroleum Corp., 382 U.S. 54, 15 L. Ed. 2d 134, 86 S. Ct. 203 (1965) discussed infra."
