Page,Footnote
24,"1  The corporate defendants are International Boxing Club of New York, Inc., International Boxing Club, and Madison Square"
24,2   and  .  These sections provide: HN1 [
24,"3  The District Court's opinion was oral and not transcribed.  All the parties agree, however, that the dismissal was based on"
25,"4  The complaint further alleges that ""With the progressive and continuing expansion of television facilities, the proportion of the"
26,5  All three media are concededly engaged in interstate commerce.
26,"6   (C. A. 7th Cir.), was decided subsequent to the decision below.  So also was   v."
27,"7  H. R. 4229, 4230, 4231, and S. 1526, 82d Cong., 1st Sess.  These bills were introduced ""by friends of baseball because they"
27,"8  The House hearings were stated to be on ""the problem of whether or not organized baseball should be exempted from the"
27,"9  H. R. Rep. No. 2002 (entitled ""Organized Baseball""), 82d Cong., 2d Sess., p. 230.  Between the hearings and the report, the"
27,10  .
29,"*  This opinion is concerned only with the sport as such, and not with the arrangements by which mass media show or report"
40,1
40,"2  Ezzard Charles, Joe Walcott, Lee Savold, and Gus Lesnevich."
40,3  The importance of Madison Square Garden in the present context is shown by the fact that of all the championship contests
41,"4  Between 1937 and 1948, 50% of all championship contests were staged in either Madison Square Garden, Yankee Stadium,"
41,"5  At the time the I. B. C.'s were formed, Joe Louis owned 20% of the stock of each and the other 80% was split evenly between"
42,"6  According to the District Court, the ""Nielsen Average Audience rating is a percentage which purports to show the number of"
43,7  Approximately 25% of the revenue produced by the appellants' championship fights during the period covered by the complaint
43,"8  By analogy, it bears those sufficiently ""peculiar characteristics"" found in automobile fabrics and finishes such as to bring them"
45,"9  Norris and Wirtz were given five years to sell their stock in Madison Square Garden, which stock is listed on the New York"
47,"10  This provision of the decree, applying only to championship contests, ordered appellants to lease their respective buildings"
49,"1  Apart from its divestiture and dissolution provisions, the decree imposes wide-ranging and pervasive restrictions on appellants'"
49,"2  The District Court put the matter in this way: ""I don't charge them [Norris and Wirtz] with malicious intentional and moral"
59,"1  Under present FCC regulations, NBC can own no more than five stations, 47 CFR, 1958, § 3.636, so that acquisition of a new"
59,"2  Federal Communications Commission Report No. 2793, Public Notice 27067, December 28, 1955."
60,"3  Commissioner Bartley dissented from the action, urging that hearings should have been held because the facts theretofore"
61,"4  44 Stat. 1162.  See H. R. Conf. Rep. No. 1918, 73d Cong., 2d Sess. 47, 49."
61,"5  ""The Secretary of Commerce is hereby directed to refuse a station license and/or the permit hereinafter required for the"
61,"6  ""All laws of the United States relating to unlawful restraints and monopolies and to combinations, contracts, or agreements in"
61,"7  As then phrased, the Act was to be administered primarily by the Secretary of Commerce."
61,"8  Hearings before the House Committee on the Merchant Marine and Fisheries on H. R. 5589, 69th Cong., 1st Sess. 27."
61,"9  ., at 29."
62,"10  See H. R. Rep. No. 404, 69th Cong., 1st Sess. 6, 16, 23."
62,11  67 Cong. Rec. 12507.
62,"12  H. R. Conf. Rep. No. 1918, 73d Cong., 2d Sess. 47, 49."
63,"13  H. R. Conf. Rep. No. 2426, 82d Cong., 2d Sess. 19."
63,14  We recently explained the nature of the doctrine in   : HN4 [
64,"15  See, generally, 3 Davis, Administrative Law Treatise, §§ 19.05, 19.06; Jaffe, Primary Jurisdiction Reconsidered: The Anti- Trust Laws, 102 U. of Pa. L. Rev. 577; Schwartz, Legal Restriction of Competition in the Regulated Industries: An Abdication of  Judicial Responsibility,  67 Harv. L. Rev. 436; von Mehren, The Antitrust Laws and Regulated Industries: The Doctrine of  Primary Jurisdiction,  67 Harv. L. Rev. 929. 16  This followed because, in the words of Mr. Justice Brandeis in   , "". . . a"
65,"17  Under Title II, common carriers are required to furnish communications service on reasonable request and may charge only"
65,18  This conclusion is re-enforced by the Commission's disavowal of either the power or the desire to foreclose the Government
66,"19  See also Report on Uniform Policy as to Violation by Applicants of Laws of United States, FCC Docket No. 9572, 1 Pike and"
66,20  It is relevant to note that the Commission is not expressly required to give the Government notice that antitrust issues have
